"name"	"taxRank"	"taxID"	"Max"	"Loman_centrifuge.kreport.cladeReads"	"Max.1"	"Loman_centrifuge.kreport.cladeReads.."	"lineage"
"Escherichia coli O157:H7 str. EC4115"	"-"	444450	6	6	0.0001919	0.0001919	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O157:H7"
"Escherichia coli O157:H7 str. EDL933"	"-"	155864	4	4	0.0001279	0.0001279	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O157:H7"
"Escherichia coli O157:H7 str. Sakai"	"-"	386585	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O157:H7"
"Escherichia coli O157:H7 str. TW14359"	"-"	544404	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O157:H7"
"Escherichia coli UMNK88"	"-"	696406	607	607	0.01942	0.01942	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O6:H16"	"-"	1446746	588	588	0.01881	0.01881	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli PCN033"	"-"	1001989	450	450	0.01439	0.01439	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli NCCP15648"	"-"	1200752	399	399	0.01276	0.01276	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O157:H16"	"-"	930406	395	395	0.01263	0.01263	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O157"	"-"	1045010	388	388	0.01241	0.01241	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775"	"-"	866789	376	376	0.01203	0.01203	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O44:H18"	"-"	861906	360	360	0.01152	0.01152	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli 042"	"-"	216592	360	360	0.01152	0.01152	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O44:H18"
"Escherichia coli VR50"	"-"	941323	269	269	0.008604	0.008604	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli 1303"	"-"	745156	235	235	0.007517	0.007517	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli PCN061"	"-"	1358422	221	221	0.007069	0.007069	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli SMS-3-5"	"-"	439855	213	213	0.006813	0.006813	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli HS"	"-"	331112	207	207	0.006621	0.006621	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O25:H16"	"-"	2048780	182	182	0.005822	0.005822	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli 55989"	"-"	585055	176	176	0.00563	0.00563	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O139:H28"	"-"	1603259	167	167	0.005342	0.005342	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O139:H28 str. E24377A"	"-"	331111	167	167	0.005342	0.005342	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O139:H28"
"Escherichia coli UM146"	"-"	869729	161	161	0.00515	0.00515	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O104:H4"	"-"	1038927	139	139	0.004446	0.004446	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O104:H4 str. C227-11"	"-"	1048254	32	32	0.001024	0.001024	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O104:H4"
"Escherichia coli O104:H4 str. 2011C-3493"	"-"	1133852	9	9	0.0002879	0.0002879	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O104:H4"
"Escherichia coli O104:H4 str. 2009EL-2050"	"-"	1134782	5	5	0.0001599	0.0001599	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O104:H4"
"Escherichia coli O104:H4 str. 2009EL-2071"	"-"	1133853	3	3	9.596e-05	9.596e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O104:H4"
"Escherichia coli O145:H28"	"-"	1078034	133	133	0.004254	0.004254	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli C"	"-"	498388	130	130	0.004158	0.004158	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli ATCC 8739"	"-"	481805	110	110	0.003519	0.003519	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;C"
"Escherichia coli APEC IMT5155"	"-"	1329907	123	123	0.003934	0.003934	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli IAI39"	"-"	585057	113	113	0.003614	0.003614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O121:H19"	"-"	991915	95	95	0.003039	0.003039	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli M8"	"-"	1392854	87	87	0.002783	0.002783	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O43"	"-"	2233553	84	84	0.002687	0.002687	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O43 str. RM10042"	"-"	1055541	84	84	0.002687	0.002687	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O43"
"Escherichia coli O27:H7"	"-"	2048781	78	78	0.002495	0.002495	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O7:K1"	"-"	1072458	60	60	0.001919	0.001919	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O7:K1 str. CE10"	"-"	1072459	60	60	0.001919	0.001919	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O7:K1"
"Escherichia coli O169:H41"	"-"	1446701	57	57	0.001823	0.001823	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli SE11"	"-"	409438	54	54	0.001727	0.001727	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli ECC-1470"	"-"	758831	54	54	0.001727	0.001727	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O128:H27"	"-"	2048776	48	48	0.001535	0.001535	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli B"	"-"	37762	47	47	0.001503	0.001503	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli B str. REL606"	"-"	413997	24	24	0.0007677	0.0007677	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;B"
"Escherichia coli 536"	"-"	362663	44	44	0.001407	0.001407	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O103:H2"	"-"	376725	43	43	0.001375	0.001375	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O103:H2 str. 12009"	"-"	585395	43	43	0.001375	0.001375	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O103:H2"
"Escherichia coli O55:H7"	"-"	244320	41	41	0.001311	0.001311	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O55:H7 str. CB9615"	"-"	701177	22	22	0.0007037	0.0007037	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O55:H7"
"Escherichia coli O55:H7 str. RM12579"	"-"	1048689	18	18	0.0005758	0.0005758	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O55:H7"
"Escherichia coli CFT073"	"-"	199310	40	40	0.001279	0.001279	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O178:H19"	"-"	2048778	40	40	0.001279	0.001279	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli ACN001"	"-"	1311757	39	39	0.001247	0.001247	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O25:NM"	"-"	1446707	38	38	0.001215	0.001215	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli APEC O2-211"	"-"	1954351	38	38	0.001215	0.001215	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli IAI1"	"-"	585034	36	36	0.001152	0.001152	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O91"	"-"	1055539	34	34	0.001088	0.001088	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O91 str. RM7190"	"-"	1055545	34	34	0.001088	0.001088	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O91"
"Escherichia coli ABU 83972"	"-"	655817	33	33	0.001056	0.001056	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O103"	"-"	1055536	28	28	0.0008956	0.0008956	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O103 str. RM8385"	"-"	1055540	28	28	0.0008956	0.0008956	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O103"
"Escherichia coli O121"	"-"	1055537	24	24	0.0007677	0.0007677	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O121 str. RM8352"	"-"	1055543	24	24	0.0007677	0.0007677	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O121"
"Escherichia coli 'BL21-Gold(DE3)pLysS AG'"	"-"	866768	23	23	0.0007357	0.0007357	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli IHE3034"	"-"	714962	21	21	0.0006717	0.0006717	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O25b:H4"	"-"	941280	19	19	0.0006077	0.0006077	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli str. Sanji"	"-"	1441627	18	18	0.0005758	0.0005758	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli APEC O1"	"-"	405955	17	17	0.0005438	0.0005438	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli KO11FL"	"-"	595495	17	17	0.0005438	0.0005438	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli APEC O78"	"-"	1274814	14	14	0.0004478	0.0004478	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli APEC O18"	"-"	1401688	12	12	0.0003838	0.0003838	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O26"	"-"	404399	11	11	0.0003519	0.0003519	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O26 str. RM10386"	"-"	1055534	8	8	0.0002559	0.0002559	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O26"
"Escherichia coli O26 str. RM8426"	"-"	1055533	3	3	9.596e-05	9.596e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O26"
"Escherichia coli LF82"	"-"	591946	11	11	0.0003519	0.0003519	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli Xuzhou21"	"-"	741093	11	11	0.0003519	0.0003519	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli Nissle 1917"	"-"	316435	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli SE15"	"-"	431946	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O111"	"-"	1055535	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O111 str. RM9322"	"-"	1055542	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O111"
"Escherichia coli O145"	"-"	1055538	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O145 str. RM9872"	"-"	1055544	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O145"
"Escherichia coli ATCC 25922"	"-"	1322345	9	9	0.0002879	0.0002879	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O111:H-"	"-"	168927	7	7	0.0002239	0.0002239	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O111:H- str. 11128"	"-"	585396	7	7	0.0002239	0.0002239	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O111:H&#x2011;"
"Escherichia coli W"	"-"	566546	7	7	0.0002239	0.0002239	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O83:H1"	"-"	685037	7	7	0.0002239	0.0002239	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O83:H1 str. NRG 857C"	"-"	685038	7	7	0.0002239	0.0002239	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O83:H1"
"Escherichia coli LY180"	"-"	1335916	7	7	0.0002239	0.0002239	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O114:H49"	"-"	2048775	6	6	0.0001919	0.0001919	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli DH1"	"-"	536056	5	5	0.0001599	0.0001599	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli S88"	"-"	585035	4	4	0.0001279	0.0001279	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O25b:H4-ST131"	"-"	941322	4	4	0.0001279	0.0001279	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O26:H11"	"-"	244319	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O26:H11 str. 11368"	"-"	573235	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O26:H11"
"Escherichia coli JJ1887"	"-"	1355101	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli KLY"	"-"	1435461	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli ETEC H10407"	"-"	316401	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O104:H21"	"-"	1335302	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia coli O104:H21 str. CFSAN002236"	"-"	1335303	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli>Escherichia&nbsp;coli&nbsp;O104:H21"
"Escherichia coli JJ1886"	"-"	1355100	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;coli"
"Escherichia albertii"	"S"	208962	2378	2378	0.07606	0.07606	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Escherichia albertii KF1"	"-"	1440052	96	96	0.003071	0.003071	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;albertii"
"Escherichia fergusonii"	"S"	564	551	551	0.01762	0.01762	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Escherichia fergusonii ATCC 35469"	"-"	585054	551	551	0.01762	0.01762	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;fergusonii"
"Escherichia marmotae"	"S"	1499973	414	414	0.01324	0.01324	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Shigella"	"G"	620	6063	6063	0.1939	0.1939	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Shigella dysenteriae"	"S"	622	3544	3544	0.1134	0.1134	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"Shigella dysenteriae Sd197"	"-"	300267	924	924	0.02956	0.02956	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella>Shigella&nbsp;dysenteriae"
"Shigella flexneri"	"S"	623	1448	1448	0.04632	0.04632	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"Shigella flexneri 2a"	"-"	42897	44	44	0.001407	0.001407	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella>Shigella&nbsp;flexneri"
