"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Faecalibacterium"	"G"	2057	6	NA	NA	1	NA	NA	6	NA	NA	6	NA	0.006766	NA	NA	0.0006291	NA	NA	0.003371	NA	NA	0.006766	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Candidatus Soleaferrea"	"G"	11350	4	NA	NA	1	3	NA	1	NA	NA	4	NA	0.004511	NA	NA	0.0006291	0.001587	NA	0.0005618	NA	NA	0.004511	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Butyrivibrio"	"G"	1993	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Epulopiscium"	"G"	1998	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Marvinbryantia"	"G"	2005	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Oribacterium"	"G"	2008	1	NA	NA	1	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"uncultured"	"G"	1899	2	NA	NA	2	2	NA	1	NA	NA	NA	NA	0.001258	NA	NA	0.001258	0.001058	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 11"	"G"	1875	2	NA	NA	1	2	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	0.001058	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Family XIII"	"F"	1957	2	NA	NA	2	NA	NA	1	NA	NA	NA	NA	0.001258	NA	NA	0.001258	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Mogibacterium"	"G"	1960	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"[Eubacterium] nodatum group"	"G"	11297	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Christensenellaceae"	"F"	1866	14	NA	NA	1	5	NA	14	NA	NA	5	NA	0.007865	NA	NA	0.0006291	0.002644	NA	0.007865	NA	NA	0.005639	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Christensenellaceae R-7 group"	"G"	11283	4	NA	NA	1	4	NA	3	NA	NA	3	NA	0.003383	NA	NA	0.0006291	0.002116	NA	0.001685	NA	NA	0.003383	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Christensenellaceae"
"Clostridiaceae 2"	"F"	1900	2	NA	NA	1	2	NA	NA	NA	NA	2	NA	0.002255	NA	NA	0.0006291	0.001058	NA	NA	NA	NA	0.002255	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Alkaliphilus"	"G"	1901	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;2"
"Terrisporobacter"	"G"	11348	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Anaerovibrio"	"G"	2180	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"[Clostridium] innocuum group"	"G"	14397	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Rothia"	"G"	646	2	NA	NA	1	2	NA	2	NA	NA	2	NA	0.002255	NA	NA	0.0006291	0.001058	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Intrasporangiaceae"	"F"	557	1	NA	NA	1	1	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Tetrasphaera"	"G"	576	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Pseudonocardiales"	"O"	735	2	NA	NA	1	NA	NA	2	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Pseudonocardiaceae"	"F"	736	2	NA	NA	1	NA	NA	2	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Actinobacteria>Pseudonocardiales"
"Saccharomonospora"	"G"	756	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Iamiaceae"	"F"	24484	3	NA	NA	1	1	NA	3	NA	NA	NA	NA	0.001685	NA	NA	0.0006291	0.0005289	NA	0.001685	NA	NA	NA	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Microtrichales"
"Iamia"	"G"	24485	3	NA	NA	1	1	NA	3	NA	NA	NA	NA	0.001685	NA	NA	0.0006291	0.0005289	NA	0.001685	NA	NA	NA	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Microtrichales>Iamiaceae"
"Coriobacteriaceae"	"F"	811	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales"
"Collinsella"	"G"	815	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales>Coriobacteriaceae"
"Slackia"	"G"	24557	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales>Eggerthellaceae"
"Gaiellales"	"O"	845	2	NA	NA	2	1	NA	2	NA	NA	2	NA	0.002255	NA	NA	0.001258	0.0005289	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Thermoleophilia"
"uncultured"	"F"	848	2	NA	NA	2	NA	NA	2	NA	NA	2	NA	0.002255	NA	NA	0.001258	NA	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Thermoleophilia>Gaiellales"
"uncultured"	"O"	27008	8	NA	NA	6	8	NA	NA	NA	NA	2	NA	0.004231	NA	NA	0.003775	0.004231	NA	NA	NA	NA	0.002255	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Rubritaleaceae"	"F"	4034	3	NA	NA	1	1	NA	NA	NA	NA	3	NA	0.003383	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.003383	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Roseibacillus"	"G"	27006	2	NA	NA	1	1	NA	NA	NA	NA	2	NA	0.002255	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.002255	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Rubritaleaceae"
"IMCC26134"	"G"	26977	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Opitutales>Opitutaceae"
"S085"	"O"	25184	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Chloroflexi>Dehalococcoidia"
"Kallotenuales"	"O"	11231	5	NA	NA	1	NA	NA	5	NA	NA	NA	NA	0.002809	NA	NA	0.0006291	NA	NA	0.002809	NA	NA	NA	NA	"Bacteria>Chloroflexi>Chloroflexia"
"Kallotenuaceae"	"F"	11233	4	NA	NA	1	NA	NA	4	NA	NA	NA	NA	0.002247	NA	NA	0.0006291	NA	NA	0.002247	NA	NA	NA	NA	"Bacteria>Chloroflexi>Chloroflexia>Kallotenuales"
"Kallotenue"	"G"	11234	4	NA	NA	1	NA	NA	4	NA	NA	NA	NA	0.002247	NA	NA	0.0006291	NA	NA	0.002247	NA	NA	NA	NA	"Bacteria>Chloroflexi>Chloroflexia>Kallotenuales>Kallotenuaceae"
"Thermomicrobiales"	"O"	25163	2	NA	NA	1	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Chloroflexi>Chloroflexia"
"AKYG1722"	"F"	25164	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Chloroflexi>Chloroflexia>Thermomicrobiales"
"uncultured"	"G"	25857	3	NA	NA	1	3	NA	NA	NA	NA	2	NA	0.002255	NA	NA	0.0006291	0.001587	NA	NA	NA	NA	0.002255	NA	"Bacteria>Planctomycetes>Planctomycetacia>Gemmatales>Gemmataceae"
"Schlesneriaceae"	"F"	25894	2	NA	NA	1	2	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	0.001058	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Planctomycetales"
"Planctopirus"	"G"	25895	2	NA	NA	1	2	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	0.001058	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Planctomycetales>Schlesneriaceae"
"OM190"	"C"	2299	2	NA	NA	1	2	NA	1	NA	NA	NA	NA	0.001058	NA	NA	0.0006291	0.001058	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Planctomycetes"
"Saccharimonadaceae"	"F"	25823	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Patescibacteria>Saccharimonadia>Saccharimonadales"
"Candidatus Buchananbacteria"	"O"	25754	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Patescibacteria>ABY1"
"Microgenomatia"	"C"	25772	5	NA	NA	1	5	NA	3	NA	NA	3	NA	0.003383	NA	NA	0.0006291	0.002644	NA	0.001685	NA	NA	0.003383	NA	"Bacteria>Patescibacteria"
"Candidatus Levybacteria"	"O"	25780	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Patescibacteria>Microgenomatia"
"Parcubacteria"	"C"	25786	2	NA	NA	1	NA	NA	2	NA	NA	NA	NA	0.001124	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Patescibacteria"
"Candidatus Vogelbacteria"	"O"	25809	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Patescibacteria>Parcubacteria"
"Pyrinomonadales"	"O"	24462	3	NA	NA	1	3	NA	3	NA	NA	1	NA	0.001685	NA	NA	0.0006291	0.001587	NA	0.001685	NA	NA	0.001128	NA	"Bacteria>Acidobacteria>Blastocatellia&nbsp;(Subgroup&nbsp;4)"
"Pyrinomonadaceae"	"F"	24463	3	NA	NA	1	3	NA	3	NA	NA	1	NA	0.001685	NA	NA	0.0006291	0.001587	NA	0.001685	NA	NA	0.001128	NA	"Bacteria>Acidobacteria>Blastocatellia&nbsp;(Subgroup&nbsp;4)>Pyrinomonadales"
"RB41"	"G"	24465	3	NA	NA	1	3	NA	3	NA	NA	1	NA	0.001685	NA	NA	0.0006291	0.001587	NA	0.001685	NA	NA	0.001128	NA	"Bacteria>Acidobacteria>Blastocatellia&nbsp;(Subgroup&nbsp;4)>Pyrinomonadales>Pyrinomonadaceae"
"uncultured"	"G"	24426	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Acidobacteria>Acidobacteriia>Acidobacteriales>Acidobacteriaceae&nbsp;(Subgroup&nbsp;1)"
"Thermoanaerobaculia"	"C"	24469	2	NA	NA	1	NA	NA	2	NA	NA	2	NA	0.002255	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Acidobacteria"
"Thermoanaerobaculales"	"O"	24470	2	NA	NA	1	NA	NA	2	NA	NA	2	NA	0.002255	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Acidobacteria>Thermoanaerobaculia"
"Thermoanaerobaculaceae"	"F"	24471	2	NA	NA	1	NA	NA	2	NA	NA	2	NA	0.002255	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Acidobacteria>Thermoanaerobaculia>Thermoanaerobaculales"
"Subgroup 10"	"G"	24473	2	NA	NA	1	NA	NA	2	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	0.001124	NA	NA	0.001128	NA	"Bacteria>Acidobacteria>Thermoanaerobaculia>Thermoanaerobaculales>Thermoanaerobaculaceae"
"uncultured"	"C"	14241	6	NA	NA	2	NA	NA	6	NA	NA	4	NA	0.004511	NA	NA	0.001258	NA	NA	0.003371	NA	NA	0.004511	NA	"Bacteria>Armatimonadetes"
"Fusobacterium"	"G"	2210	11	NA	NA	3	5	NA	11	NA	NA	3	NA	0.00618	NA	NA	0.001887	0.002644	NA	0.00618	NA	NA	0.003383	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae"
"Entomoplasmatales"	"O"	3930	3	NA	NA	2	3	NA	NA	NA	NA	1	NA	0.001587	NA	NA	0.001258	0.001587	NA	NA	NA	NA	0.001128	NA	"Bacteria>Tenericutes>Mollicutes"
"Entomoplasmatales Incertae Sedis"	"F"	3935	2	NA	NA	2	2	NA	NA	NA	NA	1	NA	0.001258	NA	NA	0.001258	0.001058	NA	NA	NA	NA	0.001128	NA	"Bacteria>Tenericutes>Mollicutes>Entomoplasmatales"
"Candidatus Hepatoplasma"	"G"	3936	2	NA	NA	2	2	NA	NA	NA	NA	1	NA	0.001258	NA	NA	0.001258	0.001058	NA	NA	NA	NA	0.001128	NA	"Bacteria>Tenericutes>Mollicutes>Entomoplasmatales>Entomoplasmatales&nbsp;Incertae&nbsp;Sedis"
"Izimaplasmatales"	"O"	26943	1	NA	NA	1	1	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.001128	NA	"Bacteria>Tenericutes>Mollicutes"
"Izimaplasmataceae"	"F"	26944	1	NA	NA	1	1	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.001128	NA	"Bacteria>Tenericutes>Mollicutes>Izimaplasmatales"
"Lineage IIa"	"C"	25556	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Elusimicrobia"
"Chlamydiae"	"P"	1334	7	NA	NA	1	NA	NA	7	NA	NA	2	NA	0.003933	NA	NA	0.0006291	NA	NA	0.003933	NA	NA	0.002255	NA	"Bacteria"
"LD1-PA32"	"C"	14326	5	NA	NA	1	NA	NA	5	NA	NA	2	NA	0.002809	NA	NA	0.0006291	NA	NA	0.002809	NA	NA	0.002255	NA	"Bacteria>Chlamydiae"
"Thermales"	"O"	1620	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci"
"Thermaceae"	"F"	1621	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Thermales"
"Thermus"	"G"	1625	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Thermales>Thermaceae"
"Marinimicrobia (SAR406 clade)"	"P"	11409	2	NA	NA	1	1	NA	NA	NA	NA	2	NA	0.002255	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	0.002255	NA	"Bacteria"
"FBP"	"P"	14342	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria"
"Dependentiae"	"P"	25541	1	NA	NA	1	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria"
"Babeliae"	"C"	25542	1	NA	NA	1	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Dependentiae"
"Babeliales"	"O"	25543	1	NA	NA	1	NA	NA	1	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	0.0005618	NA	NA	0.001128	NA	"Bacteria>Dependentiae>Babeliae"
"Termite Treponema cluster"	"G"	26933	11	NA	NA	1	NA	NA	11	NA	NA	NA	NA	0.00618	NA	NA	0.0006291	NA	NA	0.00618	NA	NA	NA	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"WPS-2"	"P"	27010	5	NA	NA	1	NA	NA	5	NA	NA	2	NA	0.002809	NA	NA	0.0006291	NA	NA	0.002809	NA	NA	0.002255	NA	"Bacteria"
"Mollusca"	"P"	13196	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)>Eumetazoa>Bilateria"
"Polyplacophora"	"C"	13237	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)>Eumetazoa>Bilateria>Mollusca"
"Neoloricata"	"O"	13238	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)>Eumetazoa>Bilateria>Mollusca>Polyplacophora"
"Solanales"	"O"	5549	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>Archaeplastida>Chloroplastida>Charophyta>Phragmoplastophyta>Streptophyta>Embryophyta>Tracheophyta>Spermatophyta>Magnoliophyta"
"Capsicum"	"G"	10129	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>Archaeplastida>Chloroplastida>Charophyta>Phragmoplastophyta>Streptophyta>Embryophyta>Tracheophyta>Spermatophyta>Magnoliophyta>Solanales"
"Pseudoparrellidae"	"G"	28817	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>SAR>Rhizaria>Retaria>Foraminifera>Globothalamea>Rotaliida"
"Epistominella"	"G"	28818	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>SAR>Rhizaria>Retaria>Foraminifera>Globothalamea>Rotaliida>Pseudoparrellidae"
"Cercozoa"	"P"	9388	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>SAR>Rhizaria"
"Incertae Sedis"	"C"	9471	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>SAR>Rhizaria>Cercozoa"
"Gymnophrys"	"G"	9473	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>SAR>Rhizaria>Cercozoa>Incertae&nbsp;Sedis"
"Amoebozoa"	"K"	4052	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota"
"Discosea"	"P"	4064	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota>Amoebozoa"
"Longamoebia"	"C"	4078	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota>Amoebozoa>Discosea"
"Centramoebida"	"O"	4079	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota>Amoebozoa>Discosea>Longamoebia"
"Acanthamoeba"	"G"	4081	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	0.0005289	NA	NA	NA	NA	NA	NA	"Eukaryota>Amoebozoa>Discosea>Longamoebia>Centramoebida"
"Bathyarchaeia"	"C"	24234	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Archaea>Crenarchaeota"
"Crenarchaeota Incertae Sedis"	"C"	24235	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Archaea>Crenarchaeota"
"Aigarchaeales"	"O"	24236	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Archaea>Crenarchaeota>Crenarchaeota&nbsp;Incertae&nbsp;Sedis"
"Caldiarchaeaceae"	"F"	24237	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Archaea>Crenarchaeota>Crenarchaeota&nbsp;Incertae&nbsp;Sedis>Aigarchaeales"
"Candidatus Caldiarchaeum"	"G"	24238	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Archaea>Crenarchaeota>Crenarchaeota&nbsp;Incertae&nbsp;Sedis>Aigarchaeales>Caldiarchaeaceae"
"Euryarchaeota"	"P"	55	6	NA	NA	1	3	NA	2	NA	NA	6	NA	0.006766	NA	NA	0.0006291	0.001587	NA	0.001124	NA	NA	0.006766	NA	"Archaea"
"Thermoplasmata"	"C"	210	1	NA	NA	1	1	NA	1	NA	NA	1	NA	0.001128	NA	NA	0.0006291	0.0005289	NA	0.0005618	NA	NA	0.001128	NA	"Archaea>Euryarchaeota"
"Methanomassiliicoccales"	"O"	24347	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	NA	NA	0.0006291	NA	NA	NA	NA	NA	0.001128	NA	"Archaea>Euryarchaeota>Thermoplasmata"
"uncultured"	"F"	24357	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	NA	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Archaea>Euryarchaeota>Thermoplasmata>Methanomassiliicoccales"
"Polaromonas"	"G"	26436	4	NA	NA	NA	3	NA	NA	NA	NA	4	NA	0.004511	NA	NA	NA	0.001587	NA	NA	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	3	NA	NA	NA	2	NA	NA	NA	NA	3	NA	0.003383	NA	NA	NA	0.001058	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	5	NA	NA	NA	2	NA	5	NA	NA	1	NA	0.002809	NA	NA	NA	0.001058	NA	0.002809	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001058	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
