"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.kreport.cladeReads"	"kraken2_classification_june_BC02.kreport.cladeReads"	"kraken2_classification_june_BC03.kreport.cladeReads"	"kraken2_classification_june_BC04.kreport.cladeReads"	"kraken2_classification_june_BC05.kreport.cladeReads"	"kraken2_classification_june_BC06.kreport.cladeReads"	"kraken2_classification_june_BC07.kreport.cladeReads"	"kraken2_classification_june_BC08.kreport.cladeReads"	"kraken2_classification_june_BC09.kreport.cladeReads"	"kraken2_classification_june_BC10.kreport.cladeReads"	"kraken2_classification_june_BC11.kreport.cladeReads"	"kraken2_classification_june_BC12.kreport.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.kreport.cladeReads.."	"kraken2_classification_june_BC02.kreport.cladeReads.."	"kraken2_classification_june_BC03.kreport.cladeReads.."	"kraken2_classification_june_BC04.kreport.cladeReads.."	"kraken2_classification_june_BC05.kreport.cladeReads.."	"kraken2_classification_june_BC06.kreport.cladeReads.."	"kraken2_classification_june_BC07.kreport.cladeReads.."	"kraken2_classification_june_BC08.kreport.cladeReads.."	"kraken2_classification_june_BC09.kreport.cladeReads.."	"kraken2_classification_june_BC10.kreport.cladeReads.."	"kraken2_classification_june_BC11.kreport.cladeReads.."	"kraken2_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Opitutales"	"O"	415000	208	53	NA	21	1	208	NA	1	1	NA	NA	88	NA	1.087	0.02702	NA	0.01321	0.6289	0.11	NA	1.087	0.0005618	NA	NA	0.09924	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae"
"Opitutaceae"	"F"	134623	208	53	NA	21	1	208	NA	1	1	NA	NA	88	NA	1.087	0.02702	NA	0.01321	0.6289	0.11	NA	1.087	0.0005618	NA	NA	0.09924	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales"
"Opitutus"	"G"	178440	20	11	NA	3	1	20	NA	NA	NA	NA	NA	15	NA	0.6289	0.005607	NA	0.001887	0.6289	0.01058	NA	NA	NA	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae"
"Opitutus terrae"	"S"	107709	9	6	NA	3	1	9	NA	NA	NA	NA	NA	7	NA	0.6289	0.003058	NA	0.001887	0.6289	0.00476	NA	NA	NA	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae>Opitutus"
"Opitutus terrae PB90-1"	"-"	452637	9	6	NA	3	1	9	NA	NA	NA	NA	NA	7	NA	0.6289	0.003058	NA	0.001887	0.6289	0.00476	NA	NA	NA	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae>Opitutus>Opitutus&nbsp;terrae"
"Opitutus sp. GAS368"	"S"	1882749	11	5	NA	NA	NA	11	NA	NA	NA	NA	NA	8	NA	0.009022	0.002549	NA	NA	NA	0.005818	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae>Opitutus"
"unclassified Opitutaceae"	"-"	278955	75	6	NA	3	NA	75	NA	NA	1	NA	NA	25	NA	0.03967	0.003058	NA	0.001887	NA	0.03967	NA	NA	0.0005618	NA	NA	0.02819	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae"
"Opitutaceae bacterium TAV5"	"S"	794903	75	6	NA	3	NA	75	NA	NA	1	NA	NA	25	NA	0.03967	0.003058	NA	0.001887	NA	0.03967	NA	NA	0.0005618	NA	NA	0.02819	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae>unclassified&nbsp;Opitutaceae"
"Ereboglobus"	"G"	2028344	13	3	NA	NA	NA	11	NA	NA	NA	NA	NA	13	NA	0.01466	0.001529	NA	NA	NA	0.005818	NA	NA	NA	NA	NA	0.01466	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae"
"Ereboglobus luteus"	"S"	1796921	13	3	NA	NA	NA	11	NA	NA	NA	NA	NA	13	NA	0.01466	0.001529	NA	NA	NA	0.005818	NA	NA	NA	NA	NA	0.01466	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae>Ereboglobus"
"Lacunisphaera"	"G"	1961799	2	2	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	1.087	0.001019	NA	NA	NA	0.0005289	NA	1.087	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae"
"Lacunisphaera limnophila"	"S"	1838286	2	2	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	1.087	0.001019	NA	NA	NA	0.0005289	NA	1.087	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae>Lacunisphaera"
"Verrucomicrobiae"	"C"	203494	41	41	NA	40	NA	36	NA	NA	NA	NA	NA	19	NA	0.02516	0.0209	NA	0.02516	NA	0.01904	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
"Verrucomicrobiales"	"O"	48461	41	41	NA	40	NA	36	NA	NA	NA	NA	NA	19	NA	0.02516	0.0209	NA	0.02516	NA	0.01904	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae"
"Verrucomicrobiaceae"	"F"	203557	25	25	NA	22	NA	23	NA	NA	NA	NA	NA	12	NA	0.01384	0.01274	NA	0.01384	NA	0.01216	NA	NA	NA	NA	NA	0.01353	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Verrucomicrobium"	"G"	2735	25	25	NA	22	NA	23	NA	NA	NA	NA	NA	12	NA	0.01384	0.01274	NA	0.01384	NA	0.01216	NA	NA	NA	NA	NA	0.01353	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae"
"Verrucomicrobium spinosum"	"S"	2736	10	6	NA	10	NA	7	NA	NA	NA	NA	NA	3	NA	0.006291	0.003058	NA	0.006291	NA	0.003702	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae>Verrucomicrobium"
"Verrucomicrobium spinosum DSM 4136 = JCM 18804"	"-"	240016	10	6	NA	10	NA	7	NA	NA	NA	NA	NA	3	NA	0.006291	0.003058	NA	0.006291	NA	0.003702	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae>Verrucomicrobium>Verrucomicrobium&nbsp;spinosum"
"Verrucomicrobium sp. GAS474"	"S"	1882831	7	1	NA	5	NA	7	NA	NA	NA	NA	NA	3	NA	0.003702	0.0005097	NA	0.003146	NA	0.003702	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae>Verrucomicrobium"
"Akkermansiaceae"	"F"	1647988	18	14	NA	18	NA	12	NA	NA	NA	NA	NA	6	NA	0.01132	0.007136	NA	0.01132	NA	0.006347	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Akkermansia"	"G"	239934	18	14	NA	18	NA	12	NA	NA	NA	NA	NA	6	NA	0.01132	0.007136	NA	0.01132	NA	0.006347	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Akkermansiaceae"
"Akkermansia glycaniphila"	"S"	1679444	10	9	NA	10	NA	5	NA	NA	NA	NA	NA	1	NA	0.006291	0.004588	NA	0.006291	NA	0.002644	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Akkermansiaceae>Akkermansia"
"Akkermansia muciniphila"	"S"	239935	5	4	NA	5	NA	5	NA	NA	NA	NA	NA	5	NA	0.005639	0.002039	NA	0.003146	NA	0.002644	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Akkermansiaceae>Akkermansia"
"unclassified Verrucomicrobia"	"-"	326457	380	30	NA	12	NA	380	NA	NA	1	NA	NA	172	NA	0.201	0.01529	NA	0.007549	NA	0.201	NA	NA	0.0005618	NA	NA	0.194	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
"unclassified Verrucomicrobia (miscellaneous)"	"-"	417295	380	30	NA	12	NA	380	NA	NA	1	NA	NA	172	NA	0.201	0.01529	NA	0.007549	NA	0.201	NA	NA	0.0005618	NA	NA	0.194	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>unclassified&nbsp;Verrucomicrobia"
"Verrucomicrobia bacterium IMCC26134"	"S"	1637999	363	26	NA	9	NA	363	NA	NA	1	NA	NA	164	NA	0.192	0.01325	NA	0.005662	NA	0.192	NA	NA	0.0005618	NA	NA	0.1849	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>unclassified&nbsp;Verrucomicrobia>unclassified&nbsp;Verrucomicrobia&nbsp;(miscellaneous)"
"Verrucomicrobia bacterium"	"S"	2026799	11	4	NA	3	NA	11	NA	NA	NA	NA	NA	8	NA	0.009022	0.002039	NA	0.001887	NA	0.005818	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>unclassified&nbsp;Verrucomicrobia>unclassified&nbsp;Verrucomicrobia&nbsp;(miscellaneous)"
"Methylacidiphilae"	"C"	1955630	17	3	NA	2	NA	17	NA	NA	NA	NA	NA	6	NA	0.008991	0.001529	NA	0.001258	NA	0.008991	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
"Methylacidiphilales"	"O"	717963	17	3	NA	2	NA	17	NA	NA	NA	NA	NA	6	NA	0.008991	0.001529	NA	0.001258	NA	0.008991	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Methylacidiphilae"
"Methylacidiphilaceae"	"F"	717964	17	3	NA	2	NA	17	NA	NA	NA	NA	NA	6	NA	0.008991	0.001529	NA	0.001258	NA	0.008991	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Methylacidiphilae>Methylacidiphilales"
"Methylacidiphilum"	"G"	511745	17	3	NA	2	NA	17	NA	NA	NA	NA	NA	6	NA	0.008991	0.001529	NA	0.001258	NA	0.008991	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Methylacidiphilae>Methylacidiphilales>Methylacidiphilaceae"
"Methylacidiphilum infernorum"	"S"	511746	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Methylacidiphilae>Methylacidiphilales>Methylacidiphilaceae>Methylacidiphilum"
"Methylacidiphilum infernorum V4"	"-"	481448	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Methylacidiphilae>Methylacidiphilales>Methylacidiphilaceae>Methylacidiphilum>Methylacidiphilum&nbsp;infernorum"
"Spartobacteria"	"C"	134549	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
"Candidatus Xiphinematobacter"	"G"	134550	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Spartobacteria"
"Candidatus Xiphinematobacter sp. Idaho Grape"	"S"	1704307	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Spartobacteria>Candidatus&nbsp;Xiphinematobacter"
"Planctomycetes"	"P"	203682	96	42	5	30	NA	96	NA	NA	NA	NA	NA	61	NA	0.06879	0.02141	0.06809	0.01887	NA	0.05077	NA	NA	NA	NA	NA	0.06879	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"Planctomycetia"	"C"	203683	82	36	5	25	NA	82	NA	NA	NA	NA	NA	53	NA	0.06809	0.01835	0.06809	0.01573	NA	0.04337	NA	NA	NA	NA	NA	0.05977	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes"
"Planctomycetales"	"O"	112	76	31	5	23	NA	76	NA	NA	NA	NA	NA	50	NA	0.06809	0.0158	0.06809	0.01447	NA	0.04019	NA	NA	NA	NA	NA	0.05639	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia"
"Planctomycetaceae"	"F"	126	39	21	2	20	NA	39	NA	NA	NA	NA	NA	24	NA	0.02724	0.0107	0.02724	0.01258	NA	0.02063	NA	NA	NA	NA	NA	0.02707	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales"
"Thermogutta"	"G"	1676125	12	11	1	12	NA	10	NA	NA	NA	NA	NA	1	NA	0.01362	0.005607	0.01362	0.007549	NA	0.005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"Thermogutta terrifontis"	"S"	1331910	12	11	1	12	NA	10	NA	NA	NA	NA	NA	1	NA	0.01362	0.005607	0.01362	0.007549	NA	0.005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Thermogutta"
"Fuerstia"	"G"	1936111	4	4	NA	2	NA	2	NA	NA	NA	NA	NA	4	NA	0.004511	0.002039	NA	0.001258	NA	0.001058	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"Fuerstia marisgermanicae"	"S"	1891926	4	4	NA	2	NA	2	NA	NA	NA	NA	NA	4	NA	0.004511	0.002039	NA	0.001258	NA	0.001058	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Fuerstia"
"Planctomyces"	"G"	118	10	2	NA	3	NA	10	NA	NA	NA	NA	NA	8	NA	0.009022	0.001019	NA	0.001887	NA	0.005289	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"Planctomyces sp. SH-PL14"	"S"	1632864	10	2	NA	2	NA	10	NA	NA	NA	NA	NA	8	NA	0.009022	0.001019	NA	0.001258	NA	0.005289	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Planctomyces"
"Planctopirus"	"G"	1649480	4	2	NA	1	NA	4	NA	NA	NA	NA	NA	1	NA	0.002116	0.001019	NA	0.0006291	NA	0.002116	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae"
"Planctopirus limnophila"	"S"	120	4	2	NA	1	NA	4	NA	NA	NA	NA	NA	1	NA	0.002116	0.001019	NA	0.0006291	NA	0.002116	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Planctopirus"
"Planctopirus limnophila DSM 3776"	"-"	521674	4	2	NA	1	NA	4	NA	NA	NA	NA	NA	1	NA	0.002116	0.001019	NA	0.0006291	NA	0.002116	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Planctomycetaceae>Planctopirus>Planctopirus&nbsp;limnophila"
"Gemmataceae"	"F"	1914233	31	6	3	3	NA	31	NA	NA	NA	NA	NA	19	NA	0.04086	0.003058	0.04086	0.001887	NA	0.0164	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales"
"Gemmata"	"G"	113	31	6	3	3	NA	31	NA	NA	NA	NA	NA	19	NA	0.04086	0.003058	0.04086	0.001887	NA	0.0164	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Gemmataceae"
"Gemmata obscuriglobus"	"S"	114	12	4	2	1	NA	12	NA	NA	NA	NA	NA	5	NA	0.02724	0.002039	0.02724	0.0006291	NA	0.006347	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Gemmataceae>Gemmata"
"Isosphaeraceae"	"F"	1763524	4	3	NA	NA	NA	3	NA	NA	NA	NA	NA	4	NA	0.004511	0.001529	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales"
"Isosphaera"	"G"	127	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Isosphaeraceae"
"Isosphaera pallida"	"S"	128	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Isosphaeraceae>Isosphaera"
"Isosphaera pallida ATCC 43644"	"-"	575540	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Isosphaeraceae>Isosphaera>Isosphaera&nbsp;pallida"
"Singulisphaera"	"G"	466152	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Isosphaeraceae"
"Singulisphaera acidiphila"	"S"	466153	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Isosphaeraceae>Singulisphaera"
"Singulisphaera acidiphila DSM 18658"	"-"	886293	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Planctomycetales>Isosphaeraceae>Singulisphaera>Singulisphaera&nbsp;acidiphila"
"Candidatus Brocadiales"	"O"	1127829	6	5	NA	2	NA	6	NA	NA	NA	NA	NA	3	NA	0.003383	0.002549	NA	0.001258	NA	0.003173	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia"
"Candidatus Brocadiaceae"	"F"	1127830	6	5	NA	2	NA	6	NA	NA	NA	NA	NA	3	NA	0.003383	0.002549	NA	0.001258	NA	0.003173	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Candidatus&nbsp;Brocadiales"
"Candidatus Kuenenia"	"G"	380738	6	5	NA	2	NA	6	NA	NA	NA	NA	NA	3	NA	0.003383	0.002549	NA	0.001258	NA	0.003173	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Candidatus&nbsp;Brocadiales>Candidatus&nbsp;Brocadiaceae"
"Candidatus Kuenenia stuttgartiensis"	"S"	174633	6	5	NA	2	NA	6	NA	NA	NA	NA	NA	3	NA	0.003383	0.002549	NA	0.001258	NA	0.003173	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Candidatus&nbsp;Brocadiales>Candidatus&nbsp;Brocadiaceae>Candidatus&nbsp;Kuenenia"
"Phycisphaerae"	"C"	666505	14	5	NA	5	NA	14	NA	NA	NA	NA	NA	6	NA	0.007404	0.002549	NA	0.003146	NA	0.007404	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes"
"Phycisphaerales"	"O"	666506	12	4	NA	5	NA	12	NA	NA	NA	NA	NA	6	NA	0.006766	0.002039	NA	0.003146	NA	0.006347	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae"
"Phycisphaeraceae"	"F"	666507	12	4	NA	5	NA	12	NA	NA	NA	NA	NA	6	NA	0.006766	0.002039	NA	0.003146	NA	0.006347	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales"
"Phycisphaera"	"G"	666508	12	4	NA	5	NA	12	NA	NA	NA	NA	NA	6	NA	0.006766	0.002039	NA	0.003146	NA	0.006347	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae"
"Phycisphaera mikurensis"	"S"	547188	12	4	NA	5	NA	12	NA	NA	NA	NA	NA	6	NA	0.006766	0.002039	NA	0.003146	NA	0.006347	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae>Phycisphaera"
"Phycisphaera mikurensis NBRC 102666"	"-"	1142394	12	4	NA	5	NA	12	NA	NA	NA	NA	NA	6	NA	0.006766	0.002039	NA	0.003146	NA	0.006347	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae>Phycisphaera>Phycisphaera&nbsp;mikurensis"
"Chlamydiae"	"P"	204428	12	9	NA	5	NA	12	NA	NA	NA	NA	NA	6	1	0.5495	0.004588	NA	0.003146	NA	0.006347	NA	NA	NA	NA	NA	0.006766	0.5495	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"Chlamydiia"	"C"	204429	12	9	NA	5	NA	12	NA	NA	NA	NA	NA	6	1	0.5495	0.004588	NA	0.003146	NA	0.006347	NA	NA	NA	NA	NA	0.006766	0.5495	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae"
"Chlamydiales"	"O"	51291	10	9	NA	4	NA	10	NA	NA	NA	NA	NA	6	1	0.5495	0.004588	NA	0.002516	NA	0.005289	NA	NA	NA	NA	NA	0.006766	0.5495	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia"
"Chlamydiaceae"	"F"	809	10	9	NA	4	NA	10	NA	NA	NA	NA	NA	6	1	0.5495	0.004588	NA	0.002516	NA	0.005289	NA	NA	NA	NA	NA	0.006766	0.5495	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales"
"Chlamydia/Chlamydophila group"	"-"	1113537	10	9	NA	4	NA	10	NA	NA	NA	NA	NA	6	1	0.5495	0.004588	NA	0.002516	NA	0.005289	NA	NA	NA	NA	NA	0.006766	0.5495	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae"
"Chlamydia"	"G"	810	10	9	NA	4	NA	10	NA	NA	NA	NA	NA	6	1	0.5495	0.004588	NA	0.002516	NA	0.005289	NA	NA	NA	NA	NA	0.006766	0.5495	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group"
"Chlamydia pecorum"	"S"	85991	3	3	NA	NA	NA	1	NA	NA	NA	NA	NA	3	1	0.5495	0.001529	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.003383	0.5495	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group>Chlamydia"
"Chlamydia pecorum MC/MarsBar"	"-"	1427369	3	3	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003383	0.001529	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group>Chlamydia>Chlamydia&nbsp;pecorum"
