"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_loman_loman.kreport.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_loman_loman.kreport.cladeReads.."	"lineage"
"CHKCI001"	"G"	25648	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnoclostridium 1"	"G"	11309	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Vallitalea"	"G"	2017	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"GCA-900066755"	"G"	25652	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Parasporobacterium"	"G"	2009	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"possible genus Sk003-Sk004"	"G"	2018	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Cuneatibacter"	"G"	25649	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lactonifactor"	"G"	11332	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnobacterium"	"G"	11307	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Hespellia"	"G"	1999	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnospiraceae UCG-007"	"G"	11327	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Acetatifactor"	"G"	1988	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Eubacterium] cellulosolvens group"	"G"	11337	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Incertae Sedis"	"G"	2001	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Lachnotalea"	"G"	14367	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Murimonas"	"G"	14368	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Ruminococcaceae"	"F"	2050	6144	6144	4.854	4.854	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Ruminococcaceae UCG-014"	"G"	11371	1155	1155	0.9126	0.9126	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"uncultured"	"G"	2071	1009	1009	0.7972	0.7972	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Faecalibacterium"	"G"	2057	481	481	0.38	0.38	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-010"	"G"	11367	375	375	0.2963	0.2963	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"[Eubacterium] coprostanoligenes group"	"G"	11375	335	335	0.2647	0.2647	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-005"	"G"	11363	251	251	0.1983	0.1983	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcus 1"	"G"	11373	180	180	0.1422	0.1422	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Subdoligranulum"	"G"	2070	132	132	0.1043	0.1043	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae NK4A214 group"	"G"	11358	119	119	0.09402	0.09402	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcus 2"	"G"	11374	118	118	0.09323	0.09323	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 1"	"G"	11354	115	115	0.09086	0.09086	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-013"	"G"	11370	90	90	0.07111	0.07111	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-002"	"G"	11360	87	87	0.06874	0.06874	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium"	"G"	11353	81	81	0.064	0.064	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Candidatus Soleaferrea"	"G"	11350	72	72	0.05689	0.05689	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Fastidiosipila"	"G"	2058	70	70	0.05531	0.05531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 6"	"G"	11356	53	53	0.04188	0.04188	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 5"	"G"	11355	36	36	0.02844	0.02844	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Oscillibacter"	"G"	2063	35	35	0.02765	0.02765	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 9"	"G"	11357	34	34	0.02686	0.02686	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Caproiciproducens"	"G"	14382	34	34	0.02686	0.02686	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Butyricicoccus"	"G"	2055	29	29	0.02291	0.02291	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Saccharofermentans"	"G"	2068	28	28	0.02212	0.02212	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-012"	"G"	11369	27	27	0.02133	0.02133	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Papillibacter"	"G"	2065	26	26	0.02054	0.02054	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Anaerotruncus"	"G"	2054	19	19	0.01501	0.01501	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Hydrogenoanaerobacterium"	"G"	2060	14	14	0.01106	0.01106	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"CAG-352"	"G"	25663	13	13	0.01027	0.01027	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-009"	"G"	11366	13	13	0.01027	0.01027	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ercella"	"G"	14383	11	11	0.008691	0.008691	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"GCA-900066225"	"G"	25666	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Fournierella"	"G"	25665	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Intestinimonas"	"G"	2062	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae V9D2013 group"	"G"	11372	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-011"	"G"	11368	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-004"	"G"	11362	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-003"	"G"	11361	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Anaerofilum"	"G"	2053	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"UBA1819"	"G"	25671	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Anaerobacterium"	"G"	11349	6	6	0.004741	0.004741	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Oscillospira"	"G"	2064	6	6	0.004741	0.004741	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Negativibacillus"	"G"	25668	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Acetivibrio"	"G"	2052	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Cellulosibacter"	"G"	11351	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Pygmaiobacter"	"G"	25670	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-001"	"G"	11359	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Flavonifractor"	"G"	2059	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Harryflintia"	"G"	25667	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-008"	"G"	11365	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Pseudobacteroides"	"G"	11352	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Sporobacter"	"G"	2069	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Pseudoflavonifractor"	"G"	2066	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ethanoligenens"	"G"	2056	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Acetanaerobacterium"	"G"	2051	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Christensenellaceae"	"F"	1866	826	826	0.6526	0.6526	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Christensenellaceae R-7 group"	"G"	11283	817	817	0.6455	0.6455	"Bacteria>Firmicutes>Clostridia>Clostridiales>Christensenellaceae"
"uncultured"	"G"	1868	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Christensenellaceae"
"Family XI"	"F"	1936	327	327	0.2584	0.2584	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Anaerococcus"	"G"	1937	154	154	0.1217	0.1217	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Peptoniphilus"	"G"	1946	33	33	0.02607	0.02607	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Sedimentibacter"	"G"	1947	31	31	0.02449	0.02449	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Tissierella"	"G"	1950	23	23	0.01817	0.01817	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Finegoldia"	"G"	1940	18	18	0.01422	0.01422	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Helcococcus"	"G"	1942	13	13	0.01027	0.01027	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Parvimonas"	"G"	1945	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Tepidimicrobium"	"G"	1949	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Ezakiella"	"G"	11289	6	6	0.004741	0.004741	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"W5053"	"G"	25639	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Murdochiella"	"G"	1944	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"uncultured"	"G"	1951	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Soehngenia"	"G"	1948	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Gallicola"	"G"	1941	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Sporanaerobacter"	"G"	11292	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Anaerosphaera"	"G"	1939	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XI"
"Peptococcaceae"	"F"	2024	320	320	0.2528	0.2528	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"uncultured"	"G"	2041	112	112	0.08849	0.08849	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfotomaculum"	"G"	2033	80	80	0.06321	0.06321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfosporosinus"	"G"	2032	41	41	0.03239	0.03239	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfitobacterium"	"G"	2030	14	14	0.01106	0.01106	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Peptococcus"	"G"	2037	13	13	0.01027	0.01027	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Pelotomaculum"	"G"	2036	12	12	0.009481	0.009481	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfitibacter"	"G"	2028	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfurispora"	"G"	2035	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Thermincola"	"G"	2040	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"SCADC1-2-3"	"G"	25659	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Cryptanaerobacter"	"G"	2025	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"BRH-c8a"	"G"	25657	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Dehalobacter"	"G"	2026	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Dehalobacterium"	"G"	2027	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfonispora"	"G"	2031	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Candidatus Dichloromethanomonas"	"G"	25658	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Clostridiaceae 1"	"F"	1869	289	289	0.2283	0.2283	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Clostridium sensu stricto 1"	"G"	1873	178	178	0.1406	0.1406	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 18"	"G"	1882	19	19	0.01501	0.01501	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"uncultured"	"G"	1899	12	12	0.009481	0.009481	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Caloramator"	"G"	1871	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Oxobacter"	"G"	1894	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 13"	"G"	1877	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Fonticella"	"G"	1893	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 12"	"G"	1876	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Thermobrachium"	"G"	1897	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Sarcina"	"G"	1896	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Candidatus Arthromitus"	"G"	1872	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 7"	"G"	1889	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 11"	"G"	1875	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 8"	"G"	1890	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 2"	"G"	1884	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 3"	"G"	1885	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Proteiniclasticum"	"G"	1895	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 19"	"G"	1883	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 17"	"G"	1881	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 15"	"G"	1879	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Clostridium sensu stricto 14"	"G"	1878	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;1"
"Family XIII"	"F"	1957	150	150	0.1185	0.1185	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Anaerovorax"	"G"	1958	31	31	0.02449	0.02449	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Mogibacterium"	"G"	1960	29	29	0.02291	0.02291	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"uncultured"	"G"	1961	28	28	0.02212	0.02212	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Family XIII AD3011 group"	"G"	11293	22	22	0.01738	0.01738	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"[Eubacterium] nodatum group"	"G"	11297	20	20	0.0158	0.0158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Family XIII UCG-001"	"G"	11294	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"S5-A14a"	"G"	25640	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"[Eubacterium] brachy group"	"G"	11296	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"[Eubacterium] saphenum group"	"G"	14363	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XIII"
"Clostridiales vadinBB60 group"	"F"	11286	97	97	0.07664	0.07664	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Syntrophomonadaceae"	"F"	2072	62	62	0.04899	0.04899	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Syntrophomonas"	"G"	2076	39	39	0.03081	0.03081	"Bacteria>Firmicutes>Clostridia>Clostridiales>Syntrophomonadaceae"
"uncultured"	"G"	2079	17	17	0.01343	0.01343	"Bacteria>Firmicutes>Clostridia>Clostridiales>Syntrophomonadaceae"
"Dethiobacter"	"G"	2074	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Syntrophomonadaceae"
"Thermosyntropha"	"G"	2078	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Syntrophomonadaceae"
"Peptostreptococcaceae"	"F"	2042	57	57	0.04504	0.04504	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Romboutsia"	"G"	11347	14	14	0.01106	0.01106	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"uncultured"	"G"	2049	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Peptostreptococcus"	"G"	2045	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Clostridioides"	"G"	25660	6	6	0.004741	0.004741	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Paraclostridium"	"G"	14379	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Peptoclostridium"	"G"	11346	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Intestinibacter"	"G"	11345	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Filifactor"	"G"	2043	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Tepidibacter"	"G"	2048	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Acetoanaerobium"	"G"	11343	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Terrisporobacter"	"G"	11348	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Paeniclostridium"	"G"	14378	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"[Eubacterium] yurii group"	"G"	14381	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae"
"Family XII"	"F"	1952	45	45	0.03555	0.03555	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Fusibacter"	"G"	1954	38	38	0.03002	0.03002	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XII"
"Guggenheimella"	"G"	1955	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XII"
"Acidaminobacter"	"G"	1953	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XII"
"Family XVIII"	"F"	1970	32	32	0.02528	0.02528	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"uncultured"	"G"	1973	32	32	0.02528	0.02528	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XVIII"
"Caldicoprobacteraceae"	"F"	1864	17	17	0.01343	0.01343	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Caldicoprobacter"	"G"	1865	17	17	0.01343	0.01343	"Bacteria>Firmicutes>Clostridia>Clostridiales>Caldicoprobacteraceae"
"Clostridiaceae 2"	"F"	1900	15	15	0.01185	0.01185	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Alkaliphilus"	"G"	1901	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;2"
"Anoxynatronum"	"G"	1903	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;2"
"Natronincola"	"G"	1905	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;2"
"Clostridium sensu stricto"	"G"	1904	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;2"
"Serpentinicella"	"G"	25632	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Clostridiaceae&nbsp;2"
"Eubacteriaceae"	"F"	1928	15	15	0.01185	0.01185	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Acetobacterium"	"G"	1929	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Anaerofustis"	"G"	1931	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"uncultured"	"G"	1935	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Alkalibacter"	"G"	1930	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Eubacterium"	"G"	1932	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Garciella"	"G"	1933	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Pseudoramibacter"	"G"	1934	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Alkalibaculum"	"G"	11288	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Defluviitaleaceae"	"F"	1924	12	12	0.009481	0.009481	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Defluviitaleaceae UCG-011"	"G"	11287	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Defluviitaleaceae"
"Defluviitalea"	"G"	1925	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Defluviitaleaceae"
"Heliobacteriaceae"	"F"	1979	10	10	0.007901	0.007901	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Hydrogenispora"	"G"	14365	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Clostridia>Clostridiales>Heliobacteriaceae"
"Gracilibacteraceae"	"F"	1975	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Lutispora"	"G"	1977	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Gracilibacteraceae"
"Gracilibacter"	"G"	1976	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Gracilibacteraceae"
"uncultured"	"G"	1978	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Clostridia>Clostridiales>Gracilibacteraceae"
"Family XVII"	"F"	1966	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Sulfobacillus"	"G"	1967	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XVII"
"uncultured"	"G"	1969	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Clostridia>Clostridiales>Family&nbsp;XVII"
