"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"lineage"
"Corynebacterium aurimucosum ATCC 700975"	"-"	548476	36	36	NA	NA	NA	12	5	12	NA	NA	3	10	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;aurimucosum"
"Corynebacterium kutscheri"	"S"	35755	31	31	5	NA	NA	22	13	13	1	NA	6	20	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium testudinoris"	"S"	136857	20	20	3	NA	1	9	3	6	NA	NA	2	6	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium atypicum"	"S"	191610	20	20	3	NA	NA	19	8	16	NA	NA	4	9	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium halotolerans"	"S"	225326	56	11	5	NA	NA	25	56	44	NA	NA	2	8	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium halotolerans YIM 70093 = DSM 44683"	"-"	1121362	56	11	5	NA	NA	25	56	44	NA	NA	2	8	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;halotolerans"
"Corynebacterium sp. ATCC 6931"	"S"	1487956	15	10	2	NA	NA	4	15	5	NA	NA	NA	8	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium aquilae"	"S"	203263	13	5	1	NA	NA	2	6	13	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium aquilae DSM 44791"	"-"	1431546	13	5	1	NA	NA	2	6	13	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;aquilae"
"Corynebacterium striatum"	"S"	43770	4	4	NA	NA	NA	NA	3	3	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium xerosis"	"S"	1725	3	3	NA	NA	NA	1	NA	1	NA	NA	1	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium ulcerans"	"S"	65058	4	3	NA	NA	NA	1	3	NA	NA	NA	NA	4	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium epidermidicanis"	"S"	1050174	7	2	1	1	NA	NA	2	7	NA	NA	4	7	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium genitalium"	"S"	38288	6	2	NA	NA	NA	3	1	6	NA	NA	NA	6	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium genitalium ATCC 33030"	"-"	585529	6	2	NA	NA	NA	3	1	6	NA	NA	NA	6	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;genitalium"
"Corynebacterium sp. NML98-0116"	"S"	702967	5	2	NA	NA	NA	1	3	2	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium singulare"	"S"	161899	2	2	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium callunae"	"S"	1721	3	2	NA	NA	NA	1	3	1	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium callunae DSM 20147"	"-"	1121353	3	2	NA	NA	NA	1	3	1	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;callunae"
"Corynebacterium mustelae"	"S"	571915	3	1	NA	NA	NA	1	2	2	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium efficiens"	"S"	152794	3	1	NA	NA	NA	2	3	1	NA	NA	2	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium efficiens YS-314"	"-"	196164	3	1	NA	NA	NA	2	3	1	NA	NA	2	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;efficiens"
"Corynebacterium maris"	"S"	575200	3	1	NA	NA	NA	NA	2	3	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium maris DSM 45190"	"-"	1224163	3	1	NA	NA	NA	NA	2	3	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;maris"
"Corynebacterium falsenii"	"S"	108486	2	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium falsenii DSM 44353"	"-"	1451189	2	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;falsenii"
"Corynebacterium glaucum"	"S"	187491	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium sphenisci"	"S"	191493	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium sphenisci DSM 44792"	"-"	1437874	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;sphenisci"
"Corynebacterium jeikeium"	"S"	38289	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium cystitidis"	"S"	35757	1	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium ammoniagenes"	"S"	1697	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Nocardiaceae"	"F"	85025	512	512	90	1	3	212	229	341	6	1	95	201	10	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Rhodococcus"	"G"	1827	488	488	84	1	3	202	217	323	5	NA	85	189	10	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae"
"Rhodococcus sp. P1Y"	"S"	1302308	310	310	48	1	1	104	92	171	3	NA	57	125	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus sp. S2-17"	"S"	1990687	88	88	21	NA	NA	34	36	61	1	NA	15	40	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus pyridinivorans"	"S"	103816	31	31	4	NA	NA	9	5	8	NA	NA	3	7	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus aetherivorans"	"S"	191292	68	20	2	NA	NA	37	68	59	NA	NA	2	6	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus ruber"	"S"	1830	5	5	NA	NA	NA	2	1	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus hoagii"	"S"	43767	3	3	2	NA	1	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus coprophilus"	"S"	38310	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus sp. PBTS 2"	"S"	1653479	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus sp. B7740"	"S"	1564114	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Nocardia"	"G"	1817	19	19	4	NA	NA	8	11	16	NA	1	6	11	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae"
"Nocardia brasiliensis"	"S"	37326	7	7	1	NA	NA	2	3	1	NA	NA	2	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia farcinica"	"S"	37329	5	5	NA	NA	NA	5	4	5	NA	NA	2	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia farcinica IFM 10152"	"-"	247156	5	5	NA	NA	NA	5	4	5	NA	NA	2	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia>Nocardia&nbsp;farcinica"
"Nocardia sp. Y48"	"S"	2213200	5	5	NA	NA	NA	NA	2	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia seriolae"	"S"	37332	1	1	NA	NA	NA	NA	1	1	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia sp. CFHS0054"	"S"	2382165	4	1	NA	NA	NA	NA	NA	4	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Mycobacteriaceae"	"F"	1762	316	211	52	6	6	264	316	289	20	7	54	124	13	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Mycobacterium"	"G"	1763	118	106	25	3	4	106	118	96	18	3	21	74	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"Mycobacterium marinum"	"S"	1781	90	90	13	NA	NA	74	74	41	NA	1	14	50	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium tuberculosis complex"	"-"	77643	26	6	NA	NA	NA	13	16	26	NA	NA	1	5	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium tuberculosis"	"S"	1773	25	6	NA	NA	NA	13	15	25	NA	NA	1	5	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;tuberculosis&nbsp;complex"
"Mycobacterium tuberculosis TRS11"	"-"	1334057	10	4	NA	NA	NA	3	9	10	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;tuberculosis&nbsp;complex>Mycobacterium&nbsp;tuberculosis"
"Mycobacterium avium complex (MAC)"	"-"	120793	6	4	1	1	1	2	NA	6	NA	NA	2	2	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium avium"	"S"	1764	4	3	1	NA	NA	1	NA	4	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;avium&nbsp;complex&nbsp;(MAC)"
"Mycobacterium avium subsp. hominissuis"	"-"	439334	3	3	NA	NA	NA	NA	NA	2	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;avium&nbsp;complex&nbsp;(MAC)>Mycobacterium&nbsp;avium"
"Mycobacterium colombiense"	"S"	339268	1	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;avium&nbsp;complex&nbsp;(MAC)"
"Mycobacterium colombiense CECT 3035"	"-"	1041522	1	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;avium&nbsp;complex&nbsp;(MAC)>Mycobacterium&nbsp;colombiense"
"Mycobacterium dioxanotrophicus"	"S"	482462	5	2	2	NA	1	3	2	5	2	NA	1	4	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium sp. MS1601"	"S"	1936029	2	1	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Mycolicibacterium"	"G"	1866885	160	63	18	3	2	124	160	120	2	4	5	22	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"Mycolicibacterium aurum"	"S"	1791	147	35	6	NA	NA	109	147	100	NA	NA	2	10	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium neoaurum"	"S"	1795	20	20	NA	NA	NA	9	5	8	NA	NA	3	8	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium gilvum"	"S"	1804	2	2	NA	1	NA	NA	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium gilvum PYR-GCK"	"-"	350054	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium>Mycolicibacterium&nbsp;gilvum"
"Mycolicibacterium hassiacum"	"S"	46351	2	2	NA	NA	NA	2	1	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium hassiacum DSM 44199"	"-"	1122247	2	2	NA	NA	NA	2	1	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium>Mycolicibacterium&nbsp;hassiacum"
"Mycolicibacterium thermoresistibile"	"S"	1797	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium vaccae"	"S"	1810	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium vaccae 95051"	"-"	1354275	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium>Mycolicibacterium&nbsp;vaccae"
"Mycolicibacterium vanbaalenii"	"S"	110539	1	1	1	1	NA	1	1	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium vanbaalenii PYR-1"	"-"	350058	1	1	1	1	NA	1	1	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium>Mycolicibacterium&nbsp;vanbaalenii"
"Mycobacteroides"	"G"	670516	5	2	1	NA	NA	5	2	4	NA	NA	2	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"[Mycobacterium] stephanolepidis"	"S"	1520670	2	2	NA	NA	NA	1	NA	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacteroides"
"Hoyosella"	"G"	697025	2	1	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"Hoyosella subflava"	"S"	639313	2	1	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Hoyosella"
"Hoyosella subflava DQS3-9A1"	"-"	443218	2	1	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Hoyosella>Hoyosella&nbsp;subflava"
"Dietziaceae"	"F"	85029	216	59	10	NA	NA	169	216	164	2	NA	2	10	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Dietzia"	"G"	37914	216	59	10	NA	NA	169	216	164	2	NA	2	10	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Dietziaceae"
"Gordoniaceae"	"F"	85026	35	15	1	NA	NA	20	35	16	1	NA	3	12	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Gordonia"	"G"	2053	35	15	1	NA	NA	20	35	16	1	NA	3	12	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae"
"Gordonia polyisoprenivorans"	"S"	84595	32	8	1	NA	NA	20	32	16	1	NA	1	7	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae>Gordonia"
"Gordonia polyisoprenivorans VH2"	"-"	1112204	32	8	1	NA	NA	20	32	16	1	NA	1	7	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae>Gordonia>Gordonia&nbsp;polyisoprenivorans"
"Gordonia iterans"	"S"	1004901	4	4	NA	NA	NA	NA	2	NA	NA	NA	2	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae>Gordonia"
"Gordonia sp. KTR9"	"S"	337191	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae>Gordonia"
"unclassified Corynebacteriales"	"-"	697024	14	14	2	NA	NA	6	8	13	NA	NA	2	10	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Lawsonella"	"G"	1847725	14	14	2	NA	NA	6	8	13	NA	NA	2	10	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>unclassified&nbsp;Corynebacteriales"
"Lawsonella clevelandensis"	"S"	1528099	14	14	2	NA	NA	6	8	13	NA	NA	2	10	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>unclassified&nbsp;Corynebacteriales>Lawsonella"
"Segniliparaceae"	"F"	316606	6	1	NA	NA	NA	1	6	5	NA	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Segniliparus"	"G"	286801	6	1	NA	NA	NA	1	6	5	NA	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Segniliparaceae"
"Segniliparus rotundus"	"S"	286802	6	1	NA	NA	NA	1	6	5	NA	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Segniliparaceae>Segniliparus"
"Segniliparus rotundus DSM 44985"	"-"	640132	6	1	NA	NA	NA	1	6	5	NA	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Segniliparaceae>Segniliparus>Segniliparus&nbsp;rotundus"
"Bifidobacteriales"	"O"	85004	600	600	102	2	1	511	502	475	36	NA	140	396	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Bifidobacteriaceae"	"F"	31953	600	600	102	2	1	511	502	475	36	NA	140	396	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales"
"Bifidobacterium"	"G"	1678	532	532	94	2	1	462	459	422	36	NA	133	359	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Bifidobacterium kashiwanohense"	"S"	630129	188	188	28	NA	NA	103	74	102	2	NA	45	94	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
