"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Candidatus Brocadiales"	"O"	1127829	6	5	NA	3	NA	6	NA	NA	NA	NA	3	NA	0.003297	0.002493	NA	0.001839	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia"
"Candidatus Brocadiaceae"	"F"	1127830	6	5	NA	3	NA	6	NA	NA	NA	NA	3	NA	0.003297	0.002493	NA	0.001839	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Candidatus&nbsp;Brocadiales"
"Candidatus Kuenenia"	"G"	380738	6	5	NA	3	NA	6	NA	NA	NA	NA	3	NA	0.003297	0.002493	NA	0.001839	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Candidatus&nbsp;Brocadiales>Candidatus&nbsp;Brocadiaceae"
"Candidatus Kuenenia stuttgartiensis"	"S"	174633	6	5	NA	3	NA	6	NA	NA	NA	NA	3	NA	0.003297	0.002493	NA	0.001839	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Planctomycetia>Candidatus&nbsp;Brocadiales>Candidatus&nbsp;Brocadiaceae>Candidatus&nbsp;Kuenenia"
"Phycisphaerae"	"C"	666505	14	5	NA	5	NA	14	NA	1	NA	NA	7	NA	0.007692	0.002493	NA	0.003065	NA	0.007198	NA	0.0005497	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes"
"Phycisphaerales"	"O"	666506	12	4	NA	5	NA	12	NA	NA	NA	NA	6	NA	0.006593	0.001995	NA	0.003065	NA	0.00617	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae"
"Phycisphaeraceae"	"F"	666507	12	4	NA	5	NA	12	NA	NA	NA	NA	6	NA	0.006593	0.001995	NA	0.003065	NA	0.00617	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales"
"Phycisphaera"	"G"	666508	12	4	NA	5	NA	12	NA	NA	NA	NA	6	NA	0.006593	0.001995	NA	0.003065	NA	0.00617	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae"
"Phycisphaera mikurensis"	"S"	547188	12	4	NA	5	NA	12	NA	NA	NA	NA	6	NA	0.006593	0.001995	NA	0.003065	NA	0.00617	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae>Phycisphaera"
"Phycisphaera mikurensis NBRC 102666"	"-"	1142394	12	4	NA	5	NA	12	NA	NA	NA	NA	6	NA	0.006593	0.001995	NA	0.003065	NA	0.00617	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae>Phycisphaera>Phycisphaera&nbsp;mikurensis"
"Chlamydiae"	"P"	204428	15	10	NA	7	NA	15	NA	NA	NA	NA	6	1	0.5435	0.004986	NA	0.004291	NA	0.007713	NA	NA	NA	NA	0.006593	0.5435	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"Chlamydiia"	"C"	204429	15	10	NA	7	NA	15	NA	NA	NA	NA	6	1	0.5435	0.004986	NA	0.004291	NA	0.007713	NA	NA	NA	NA	0.006593	0.5435	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae"
"Chlamydiales"	"O"	51291	13	10	NA	6	NA	13	NA	NA	NA	NA	5	1	0.5435	0.004986	NA	0.003678	NA	0.006684	NA	NA	NA	NA	0.005494	0.5435	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia"
"Chlamydiaceae"	"F"	809	13	10	NA	6	NA	13	NA	NA	NA	NA	5	1	0.5435	0.004986	NA	0.003678	NA	0.006684	NA	NA	NA	NA	0.005494	0.5435	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales"
"Chlamydia/Chlamydophila group"	"-"	1113537	13	10	NA	6	NA	13	NA	NA	NA	NA	5	1	0.5435	0.004986	NA	0.003678	NA	0.006684	NA	NA	NA	NA	0.005494	0.5435	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae"
"Chlamydia"	"G"	810	13	10	NA	6	NA	13	NA	NA	NA	NA	5	1	0.5435	0.004986	NA	0.003678	NA	0.006684	NA	NA	NA	NA	0.005494	0.5435	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group"
"Chlamydia pecorum"	"S"	85991	3	3	NA	NA	NA	3	NA	NA	NA	NA	3	1	0.5435	0.001496	NA	NA	NA	0.001543	NA	NA	NA	NA	0.003297	0.5435	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group>Chlamydia"
"Chlamydia pecorum MC/MarsBar"	"-"	1427369	3	3	NA	NA	NA	3	NA	NA	NA	NA	3	NA	0.003297	0.001496	NA	NA	NA	0.001543	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group>Chlamydia>Chlamydia&nbsp;pecorum"
"Chlamydia gallinacea"	"S"	1457153	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Chlamydiae>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group>Chlamydia"
"Lentisphaerae"	"P"	256845	5	5	NA	1	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.002493	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"Lentisphaeria"	"C"	1313211	5	5	NA	1	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.002493	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Lentisphaerae"
"Victivallales"	"O"	278082	5	5	NA	1	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.002493	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Lentisphaerae>Lentisphaeria"
"unclassified Victivallales"	"-"	1674876	5	5	NA	1	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.002493	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Lentisphaerae>Lentisphaeria>Victivallales"
"Victivallales bacterium CCUG 44730"	"S"	2094242	5	5	NA	1	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.002493	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Lentisphaerae>Lentisphaeria>Victivallales>unclassified&nbsp;Victivallales"
"Kiritimatiellaeota"	"P"	134625	8	1	NA	NA	NA	8	NA	NA	NA	NA	2	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"Kiritimatiellae"	"C"	1921781	8	1	NA	NA	NA	8	NA	NA	NA	NA	2	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Kiritimatiellaeota"
"Kiritimatiellales"	"O"	1921782	8	1	NA	NA	NA	8	NA	NA	NA	NA	2	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Kiritimatiellaeota>Kiritimatiellae"
"Kiritimatiellaceae"	"F"	1921783	8	1	NA	NA	NA	8	NA	NA	NA	NA	2	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Kiritimatiellaeota>Kiritimatiellae>Kiritimatiellales"
"Kiritimatiella"	"G"	1921784	8	1	NA	NA	NA	8	NA	NA	NA	NA	2	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Kiritimatiellaeota>Kiritimatiellae>Kiritimatiellales>Kiritimatiellaceae"
"Kiritimatiella glycovorans"	"S"	1307763	8	1	NA	NA	NA	8	NA	NA	NA	NA	2	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Kiritimatiellaeota>Kiritimatiellae>Kiritimatiellales>Kiritimatiellaceae>Kiritimatiella"
"Aquificae"	"P"	200783	198	198	8	144	NA	136	NA	1	NA	NA	14	NA	0.1085	0.09873	0.1085	0.08827	NA	0.06993	NA	0.0005497	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria"
"Aquificae"	"C"	187857	198	198	8	144	NA	136	NA	1	NA	NA	14	NA	0.1085	0.09873	0.1085	0.08827	NA	0.06993	NA	0.0005497	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Aquificae"
"Aquificales"	"O"	32069	196	196	8	139	NA	133	NA	1	NA	NA	14	NA	0.1085	0.09773	0.1085	0.0852	NA	0.06839	NA	0.0005497	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae"
"Hydrogenothermaceae"	"F"	224027	162	162	6	119	NA	120	NA	NA	NA	NA	10	NA	0.08137	0.08078	0.08137	0.07294	NA	0.0617	NA	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales"
"Sulfurihydrogenibium"	"G"	212790	162	162	6	119	NA	120	NA	NA	NA	NA	9	NA	0.08137	0.08078	0.08137	0.07294	NA	0.0617	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales>Hydrogenothermaceae"
"Sulfurihydrogenibium azorense"	"S"	309806	141	141	5	100	NA	101	NA	NA	NA	NA	6	NA	0.07031	0.07031	0.06781	0.0613	NA	0.05193	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales>Hydrogenothermaceae>Sulfurihydrogenibium"
"Sulfurihydrogenibium azorense Az-Fu1"	"-"	204536	141	141	5	100	NA	101	NA	NA	NA	NA	6	NA	0.07031	0.07031	0.06781	0.0613	NA	0.05193	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales>Hydrogenothermaceae>Sulfurihydrogenibium>Sulfurihydrogenibium&nbsp;azorense"
"Aquificaceae"	"F"	64898	28	28	1	10	NA	12	NA	1	NA	NA	2	NA	0.01396	0.01396	0.01356	0.00613	NA	0.00617	NA	0.0005497	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales"
"Hydrogenobaculum"	"G"	168657	26	26	1	10	NA	12	NA	1	NA	NA	1	NA	0.01356	0.01296	0.01356	0.00613	NA	0.00617	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales>Aquificaceae"
"Hydrogenobaculum sp. HO"	"S"	547144	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales>Aquificaceae>Hydrogenobaculum"
"Thermocrinis"	"G"	75905	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Aquificales>Aquificaceae"
"Desulfurobacteriales"	"O"	1485951	5	2	NA	5	NA	3	NA	NA	NA	NA	NA	NA	0.003065	0.0009973	NA	0.003065	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae"
"Desulfurobacteriaceae"	"F"	558314	5	2	NA	5	NA	3	NA	NA	NA	NA	NA	NA	0.003065	0.0009973	NA	0.003065	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Desulfurobacteriales"
"Desulfurobacterium"	"G"	64159	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Desulfurobacteriales>Desulfurobacteriaceae"
"Desulfurobacterium thermolithotrophum"	"S"	64160	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Desulfurobacteriales>Desulfurobacteriaceae>Desulfurobacterium"
"Desulfurobacterium thermolithotrophum DSM 11699"	"-"	868864	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Aquificae>Aquificae>Desulfurobacteriales>Desulfurobacteriaceae>Desulfurobacterium>Desulfurobacterium&nbsp;thermolithotrophum"
"Nitrospirae"	"P"	40117	83	83	1	77	1	12	NA	1	NA	NA	17	NA	0.625	0.04139	0.01356	0.0472	0.625	0.00617	NA	0.0005497	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria"
"Nitrospira"	"C"	203693	83	83	1	77	1	12	NA	1	NA	NA	17	NA	0.625	0.04139	0.01356	0.0472	0.625	0.00617	NA	0.0005497	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae"
"Nitrospirales"	"O"	189778	83	83	1	77	1	12	NA	1	NA	NA	17	NA	0.625	0.04139	0.01356	0.0472	0.625	0.00617	NA	0.0005497	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira"
"Nitrospiraceae"	"F"	189779	83	83	1	77	1	12	NA	1	NA	NA	17	NA	0.625	0.04139	0.01356	0.0472	0.625	0.00617	NA	0.0005497	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales"
"Nitrospira"	"G"	1234	81	81	1	75	1	8	NA	NA	NA	NA	16	NA	0.625	0.04039	0.01356	0.04597	0.625	0.004113	NA	NA	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae"
"Nitrospira defluvii"	"S"	330214	76	76	1	73	1	4	NA	NA	NA	NA	4	NA	0.625	0.0379	0.01356	0.04475	0.625	0.002057	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae>Nitrospira"
"Nitrospira japonica"	"S"	1325564	9	3	NA	1	NA	3	NA	NA	NA	NA	9	NA	0.00989	0.001496	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae>Nitrospira"
"Thermodesulfovibrio"	"G"	28261	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae"
"Thermodesulfovibrio yellowstonii"	"S"	28262	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae>Thermodesulfovibrio"
"Thermodesulfovibrio yellowstonii DSM 11347"	"-"	289376	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Nitrospirae>Nitrospira>Nitrospirales>Nitrospiraceae>Thermodesulfovibrio>Thermodesulfovibrio&nbsp;yellowstonii"
"Chrysiogenetes"	"P"	200938	64	64	1	47	NA	38	NA	NA	NA	NA	4	NA	0.03191	0.03191	0.01356	0.02881	NA	0.01954	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria"
"Chrysiogenetes"	"C"	118001	64	64	1	47	NA	38	NA	NA	NA	NA	4	NA	0.03191	0.03191	0.01356	0.02881	NA	0.01954	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Chrysiogenetes"
"Chrysiogenales"	"O"	189769	64	64	1	47	NA	38	NA	NA	NA	NA	4	NA	0.03191	0.03191	0.01356	0.02881	NA	0.01954	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Chrysiogenetes>Chrysiogenetes"
"Chrysiogenaceae"	"F"	189770	64	64	1	47	NA	38	NA	NA	NA	NA	4	NA	0.03191	0.03191	0.01356	0.02881	NA	0.01954	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Chrysiogenetes>Chrysiogenetes>Chrysiogenales"
"Desulfurispirillum"	"G"	393029	64	64	1	47	NA	38	NA	NA	NA	NA	4	NA	0.03191	0.03191	0.01356	0.02881	NA	0.01954	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Chrysiogenetes>Chrysiogenetes>Chrysiogenales>Chrysiogenaceae"
"Desulfurispirillum indicum"	"S"	936456	64	64	1	47	NA	38	NA	NA	NA	NA	4	NA	0.03191	0.03191	0.01356	0.02881	NA	0.01954	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Chrysiogenetes>Chrysiogenetes>Chrysiogenales>Chrysiogenaceae>Desulfurispirillum"
"Desulfurispirillum indicum S5"	"-"	653733	64	64	1	47	NA	38	NA	NA	NA	NA	4	NA	0.03191	0.03191	0.01356	0.02881	NA	0.01954	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Chrysiogenetes>Chrysiogenetes>Chrysiogenales>Chrysiogenaceae>Desulfurispirillum>Desulfurispirillum&nbsp;indicum"
"Spirochaetes"	"P"	203691	58	58	2	45	NA	35	NA	NA	NA	NA	48	NA	0.05275	0.02892	0.02712	0.02758	NA	0.018	NA	NA	NA	NA	0.05275	NA	"cellular&nbsp;organisms>Bacteria"
"Spirochaetia"	"C"	203692	58	58	2	45	NA	35	NA	NA	NA	NA	48	NA	0.05275	0.02892	0.02712	0.02758	NA	0.018	NA	NA	NA	NA	0.05275	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes"
"Spirochaetales"	"O"	136	35	35	2	17	NA	19	NA	NA	NA	NA	28	NA	0.03077	0.01745	0.02712	0.01042	NA	0.009769	NA	NA	NA	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia"
"Spirochaetaceae"	"F"	137	18	18	2	8	NA	12	NA	NA	NA	NA	12	NA	0.02712	0.008975	0.02712	0.004904	NA	0.00617	NA	NA	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales"
"Treponema"	"G"	157	14	14	1	8	NA	11	NA	NA	NA	NA	10	NA	0.01356	0.006981	0.01356	0.004904	NA	0.005656	NA	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"Treponema denticola"	"S"	158	4	1	NA	1	NA	3	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema"
"Treponema pedis"	"S"	409322	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema"
"Treponema pedis str. T A4"	"-"	1291379	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema>Treponema&nbsp;pedis"
"Spirochaeta"	"G"	146	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"Spirochaeta africana"	"S"	46355	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Spirochaeta"
"Spirochaeta africana DSM 8902"	"-"	889378	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Spirochaeta>Spirochaeta&nbsp;africana"
"Borreliaceae"	"F"	1643685	4	4	NA	1	NA	2	NA	NA	NA	NA	1	NA	0.001995	0.001995	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales"
"Borrelia"	"G"	138	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae"
"Borrelia hermsii"	"S"	140	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borrelia"
"Borrelia miyamotoi"	"S"	47466	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borrelia"
"Borreliella"	"G"	64895	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae"
"Borreliella garinii"	"S"	29519	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borreliella"
"Borreliella garinii BgVir"	"-"	1081646	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borreliella>Borreliella&nbsp;garinii"
"Leptospirales"	"-"	1643688	22	14	NA	22	NA	7	NA	NA	NA	NA	9	NA	0.01348	0.006981	NA	0.01348	NA	0.003599	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia"
"Leptospiraceae"	"F"	170	22	14	NA	22	NA	7	NA	NA	NA	NA	9	NA	0.01348	0.006981	NA	0.01348	NA	0.003599	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales"
"Leptospira"	"G"	171	21	10	NA	21	NA	4	NA	NA	NA	NA	1	NA	0.01287	0.004986	NA	0.01287	NA	0.002057	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae"
"Leptospira interrogans"	"S"	173	7	3	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	0.004291	0.001496	NA	0.004291	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae>Leptospira"
"Leptospira interrogans serovar Manilae"	"-"	214675	7	3	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	0.004291	0.001496	NA	0.004291	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae>Leptospira>Leptospira&nbsp;interrogans"
"Leptospira biflexa"	"S"	172	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.001226	0.0009973	NA	0.001226	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae>Leptospira"
