"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Holosporales"	"O"	1921002	13	5	1	7	NA	9	NA	NA	NA	NA	13	NA	0.01555	0.002742	0.01506	0.004727	NA	0.004988	NA	NA	NA	NA	0.01555	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Candidatus Paracaedibacteraceae"	"F"	1777752	8	5	NA	5	NA	7	NA	NA	NA	NA	8	NA	0.009571	0.002742	NA	0.003377	NA	0.003879	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales"
"Candidatus Paracaedibacter"	"G"	1521255	8	5	NA	5	NA	7	NA	NA	NA	NA	8	NA	0.009571	0.002742	NA	0.003377	NA	0.003879	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Candidatus&nbsp;Paracaedibacteraceae"
"Candidatus Paracaedibacter acanthamoebae"	"S"	91604	8	5	NA	5	NA	7	NA	NA	NA	NA	8	NA	0.009571	0.002742	NA	0.003377	NA	0.003879	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Candidatus&nbsp;Paracaedibacteraceae>Candidatus&nbsp;Paracaedibacter"
"Magnetococcales"	"O"	1191478	4	4	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002393	0.002194	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Magnetococcaceae"	"F"	1191479	4	4	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002393	0.002194	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Magnetococcales"
"Magnetococcus"	"G"	162171	4	4	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002393	0.002194	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Magnetococcales>Magnetococcaceae"
"Magnetococcus marinus"	"S"	1124597	4	4	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002393	0.002194	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Magnetococcales>Magnetococcaceae>Magnetococcus"
"Parvularculales"	"O"	255473	3	3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001645	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Parvularculaceae"	"F"	255474	3	3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001645	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Parvularculales"
"Parvularcula"	"G"	208215	3	3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001645	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Parvularculales>Parvularculaceae"
"Parvularcula bermudensis"	"S"	208216	3	3	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001645	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Parvularculales>Parvularculaceae>Parvularcula"
"unclassified Alphaproteobacteria"	"-"	82117	11	3	1	NA	NA	7	NA	NA	NA	NA	11	NA	0.01506	0.001645	0.01506	NA	NA	0.003879	NA	NA	NA	NA	0.01316	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Micavibrio"	"G"	213485	7	3	1	NA	NA	7	NA	NA	NA	NA	7	NA	0.01506	0.001645	0.01506	NA	NA	0.003879	NA	NA	NA	NA	0.008375	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria"
"Micavibrio aeruginosavorus"	"S"	349221	7	3	1	NA	NA	7	NA	NA	NA	NA	7	NA	0.01506	0.001645	0.01506	NA	NA	0.003879	NA	NA	NA	NA	0.008375	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria>Micavibrio"
"delta/epsilon subdivisions"	"-"	68525	1382	1352	41	1382	NA	1207	2	33	1	NA	761	2	1.481	0.7415	0.6173	0.9333	NA	0.6689	1.481	0.01816	0.9804	NA	0.9105	1.205	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Epsilonproteobacteria"	"C"	29547	1160	1160	35	1126	NA	958	1	24	1	NA	638	NA	0.9804	0.6362	0.5269	0.7605	NA	0.5309	0.7407	0.01321	0.9804	NA	0.7633	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions"
"Campylobacterales"	"O"	213849	1152	1152	35	1124	NA	954	1	23	1	NA	635	NA	0.9804	0.6318	0.5269	0.7591	NA	0.5287	0.7407	0.01266	0.9804	NA	0.7597	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria"
"Campylobacteraceae"	"F"	72294	621	607	17	621	NA	399	1	20	1	NA	434	NA	0.9804	0.3329	0.2559	0.4194	NA	0.2211	0.7407	0.01101	0.9804	NA	0.5192	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales"
"Arcobacter group"	"-"	2321108	609	587	17	609	NA	386	NA	17	1	NA	354	NA	0.9804	0.3219	0.2559	0.4113	NA	0.2139	NA	0.009355	0.9804	NA	0.4235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae"
"Arcobacter"	"G"	28196	562	521	15	562	NA	361	NA	17	1	NA	310	NA	0.9804	0.2857	0.2258	0.3796	NA	0.2001	NA	0.009355	0.9804	NA	0.3709	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group"
"Arcobacter suis"	"S"	1278212	402	402	11	390	NA	306	NA	15	1	NA	99	NA	0.9804	0.2205	0.1656	0.2634	NA	0.1696	NA	0.008254	0.9804	NA	0.1184	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter cryaerophilus"	"S"	28198	125	66	1	88	NA	13	NA	1	NA	NA	125	NA	0.1496	0.0362	0.01506	0.05943	NA	0.007204	NA	0.0005503	NA	NA	0.1496	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter ellisii"	"S"	913109	56	39	NA	56	NA	21	NA	NA	NA	NA	39	NA	0.04666	0.02139	NA	0.03782	NA	0.01164	NA	NA	NA	NA	0.04666	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter marinus"	"S"	505249	12	4	NA	3	NA	1	NA	1	NA	NA	12	NA	0.01436	0.002194	NA	0.002026	NA	0.0005542	NA	0.0005503	NA	NA	0.01436	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter molluscorum"	"S"	1032072	11	3	NA	6	NA	NA	NA	NA	NA	NA	11	NA	0.01316	0.001645	NA	0.004052	NA	NA	NA	NA	NA	NA	0.01316	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter nitrofigilis"	"S"	28199	5	2	NA	5	NA	3	NA	NA	NA	NA	1	NA	0.003377	0.001097	NA	0.003377	NA	0.001663	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter trophiarum"	"S"	708186	4	1	NA	4	NA	NA	NA	NA	NA	NA	2	NA	0.002701	0.0005485	NA	0.002701	NA	NA	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter bivalviorum"	"S"	663364	5	1	1	2	NA	2	NA	NA	NA	NA	5	NA	0.01506	0.0005485	0.01506	0.001351	NA	0.001108	NA	NA	NA	NA	0.005982	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter halophilus"	"S"	197482	10	1	NA	NA	NA	10	NA	NA	NA	NA	8	NA	0.009571	0.0005485	NA	NA	NA	0.005542	NA	NA	NA	NA	0.009571	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"Arcobacter butzleri"	"S"	28197	4	1	NA	2	NA	1	NA	NA	NA	NA	4	NA	0.004786	0.0005485	NA	0.001351	NA	0.0005542	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"unclassified Arcobacter group"	"-"	2321207	66	66	NA	47	NA	3	NA	NA	NA	NA	44	NA	0.05264	0.0362	NA	0.03174	NA	0.001663	NA	NA	NA	NA	0.05264	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group"
"Arcobacter sp. PSE-93"	"S"	2320140	14	14	NA	6	NA	1	NA	NA	NA	NA	12	NA	0.01436	0.007678	NA	0.004052	NA	0.0005542	NA	NA	NA	NA	0.01436	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>unclassified&nbsp;Arcobacter&nbsp;group"
"Arcobacter sp. L"	"S"	944547	52	52	NA	41	NA	NA	NA	NA	NA	NA	26	NA	0.03111	0.02852	NA	0.02769	NA	NA	NA	NA	NA	NA	0.03111	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>unclassified&nbsp;Arcobacter&nbsp;group"
"Sulfurospirillum"	"G"	57665	73	17	NA	10	NA	9	1	3	NA	NA	73	NA	0.7407	0.009324	NA	0.006754	NA	0.004988	0.7407	0.001651	NA	NA	0.08734	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae"
"Sulfurospirillum deleyianum"	"S"	65553	18	5	NA	1	NA	NA	1	NA	NA	NA	18	NA	0.7407	0.002742	NA	0.0006754	NA	NA	0.7407	NA	NA	NA	0.02154	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Sulfurospirillum sp. UCH001"	"S"	1581011	5	3	NA	NA	NA	1	NA	NA	NA	NA	5	NA	0.005982	0.001645	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.005982	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Sulfurospirillum cavolei"	"S"	366522	3	2	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001097	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Campylobacter"	"G"	194	6	3	NA	2	NA	2	NA	NA	NA	NA	6	NA	0.007178	0.001645	NA	0.001351	NA	0.001108	NA	NA	NA	NA	0.007178	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae"
"Campylobacter coli"	"S"	195	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacter ureolyticus"	"S"	827	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.0006754	0.0005485	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Helicobacteraceae"	"F"	72293	551	539	17	503	NA	551	NA	3	NA	NA	201	NA	0.3397	0.2956	0.2559	0.3397	NA	0.3054	NA	0.001651	NA	NA	0.2405	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales"
"Sulfuricurvum"	"G"	286130	510	484	15	458	NA	510	NA	NA	NA	NA	131	NA	0.3093	0.2654	0.2258	0.3093	NA	0.2826	NA	NA	NA	NA	0.1567	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae"
"Sulfuricurvum kujiense"	"S"	148813	510	484	15	458	NA	510	NA	NA	NA	NA	131	NA	0.3093	0.2654	0.2258	0.3093	NA	0.2826	NA	NA	NA	NA	0.1567	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Sulfuricurvum"
"Helicobacter"	"G"	209	38	38	2	36	NA	30	NA	2	NA	NA	17	NA	0.03011	0.02084	0.03011	0.02431	NA	0.01663	NA	0.001101	NA	NA	0.02034	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae"
"Helicobacter pylori"	"S"	210	37	37	2	36	NA	30	NA	2	NA	NA	15	NA	0.03011	0.02029	0.03011	0.02431	NA	0.01663	NA	0.001101	NA	NA	0.01795	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Helicobacter saguini"	"S"	1548018	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Sulfurimonas"	"G"	202746	53	15	NA	8	NA	10	NA	NA	NA	NA	53	NA	0.06341	0.008227	NA	0.005403	NA	0.005542	NA	NA	NA	NA	0.06341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae"
"Sulfurimonas gotlandica"	"S"	1176482	17	7	NA	5	NA	4	NA	NA	NA	NA	17	NA	0.02034	0.003839	NA	0.003377	NA	0.002217	NA	NA	NA	NA	0.02034	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Sulfurimonas"
"Sulfurimonas denitrificans"	"S"	39766	20	7	NA	1	NA	2	NA	NA	NA	NA	20	NA	0.02393	0.003839	NA	0.0006754	NA	0.001108	NA	NA	NA	NA	0.02393	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Sulfurimonas"
"Wolinella"	"G"	843	1	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0006754	0.0005485	NA	0.0006754	NA	NA	NA	0.0005503	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae"
"Wolinella succinogenes"	"S"	844	1	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0006754	0.0005485	NA	0.0006754	NA	NA	NA	0.0005503	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Wolinella"
"unclassified Campylobacterales"	"-"	438853	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales"
"Nitratifractor"	"G"	269260	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>unclassified&nbsp;Campylobacterales"
"Nitratifractor salsuginis"	"S"	269261	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>unclassified&nbsp;Campylobacterales>Nitratifractor"
"Nautiliales"	"O"	235899	5	5	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.002742	0.002742	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria"
"Nautiliaceae"	"F"	224467	5	5	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.002742	0.002742	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Nautiliales"
"Nautilia"	"G"	191291	5	5	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.002742	0.002742	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Nautiliales>Nautiliaceae"
"Nautilia profundicola"	"S"	244787	5	5	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.002742	0.002742	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Nautiliales>Nautiliaceae>Nautilia"
"unclassified Epsilonproteobacteria"	"-"	34035	2	2	NA	1	NA	1	NA	1	NA	NA	1	NA	0.001196	0.001097	NA	0.0006754	NA	0.0005542	NA	0.0005503	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria"
"Nitratiruptor"	"G"	269258	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>unclassified&nbsp;Epsilonproteobacteria"
"Nitratiruptor sp. SB155-2"	"S"	387092	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>unclassified&nbsp;Epsilonproteobacteria>Nitratiruptor"
"Sulfurovum"	"G"	265570	1	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0006754	0.0005485	NA	0.0006754	NA	NA	NA	0.0005503	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>unclassified&nbsp;Epsilonproteobacteria"
"Deltaproteobacteria"	"C"	28221	250	190	5	250	NA	246	1	9	NA	NA	123	2	1.205	0.1042	0.07528	0.1688	NA	0.1363	0.7407	0.004952	NA	NA	0.1472	1.205	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions"
"Myxococcales"	"O"	29	185	109	3	185	NA	104	1	2	NA	NA	62	1	0.7407	0.05978	0.04517	0.1249	NA	0.05763	0.7407	0.001101	NA	NA	0.07418	0.6024	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria"
"Sorangiineae"	"-"	80812	79	51	NA	79	NA	45	1	NA	NA	NA	17	NA	0.7407	0.02797	NA	0.05335	NA	0.02494	0.7407	NA	NA	NA	0.02034	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales"
"Polyangiaceae"	"F"	49	46	28	NA	46	NA	27	1	NA	NA	NA	13	NA	0.7407	0.01536	NA	0.03107	NA	0.01496	0.7407	NA	NA	NA	0.01555	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae"
"Sorangium"	"G"	39643	30	17	NA	30	NA	21	1	NA	NA	NA	6	NA	0.7407	0.009324	NA	0.02026	NA	0.01164	0.7407	NA	NA	NA	0.007178	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae>Polyangiaceae"
"Sorangium cellulosum"	"S"	56	30	17	NA	30	NA	21	1	NA	NA	NA	6	NA	0.7407	0.009324	NA	0.02026	NA	0.01164	0.7407	NA	NA	NA	0.007178	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae>Polyangiaceae>Sorangium"
"Pajaroellobacter"	"G"	1882917	4	3	NA	2	NA	4	NA	NA	NA	NA	3	NA	0.003589	0.001645	NA	0.001351	NA	0.002217	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae>Polyangiaceae"
"Pajaroellobacter abortibovis"	"S"	1882918	4	3	NA	2	NA	4	NA	NA	NA	NA	3	NA	0.003589	0.001645	NA	0.001351	NA	0.002217	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae>Polyangiaceae>Pajaroellobacter"
"Sandaracinaceae"	"F"	1055686	28	23	NA	28	NA	16	NA	NA	NA	NA	4	NA	0.01891	0.01261	NA	0.01891	NA	0.008867	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae"
"Sandaracinus"	"G"	1055688	28	23	NA	28	NA	16	NA	NA	NA	NA	4	NA	0.01891	0.01261	NA	0.01891	NA	0.008867	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae>Sandaracinaceae"
"Sandaracinus amylolyticus"	"S"	927083	28	23	NA	28	NA	16	NA	NA	NA	NA	4	NA	0.01891	0.01261	NA	0.01891	NA	0.008867	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae>Sandaracinaceae>Sandaracinus"
"Nannocystineae"	"-"	224462	85	43	1	85	NA	40	NA	1	NA	NA	37	NA	0.05741	0.02358	0.01506	0.05741	NA	0.02217	NA	0.0005503	NA	NA	0.04427	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales"
"Kofleriaceae"	"F"	224464	85	43	1	85	NA	40	NA	1	NA	NA	37	NA	0.05741	0.02358	0.01506	0.05741	NA	0.02217	NA	0.0005503	NA	NA	0.04427	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Nannocystineae"
"Haliangium"	"G"	162027	85	43	1	85	NA	40	NA	1	NA	NA	37	NA	0.05741	0.02358	0.01506	0.05741	NA	0.02217	NA	0.0005503	NA	NA	0.04427	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Nannocystineae>Kofleriaceae"
