"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"environmental samples"	"-"	167971	143	NA	NA	4	NA	1	NA	143	NA	NA	NA	NA	0.0786	NA	NA	0.002452	NA	0.0005142	NA	0.0786	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"uncultured Enterococcus sp."	"S"	167972	133	NA	NA	4	NA	1	NA	133	NA	NA	NA	NA	0.07311	NA	NA	0.002452	NA	0.0005142	NA	0.07311	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus>environmental&nbsp;samples"
"Enterococcus hirae"	"S"	1354	195	NA	NA	1	NA	1	NA	195	NA	NA	NA	NA	0.1072	NA	NA	0.000613	NA	0.0005142	NA	0.1072	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Trichococcus sp. N1"	"S"	1155393	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Trichococcus"
"unclassified Alkalibacterium"	"-"	261054	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Alkalibacterium"
"environmental samples"	"-"	261052	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Alkalibacterium>unclassified&nbsp;Alkalibacterium"
"uncultured Alkalibacterium sp."	"S"	261053	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Alkalibacterium>unclassified&nbsp;Alkalibacterium>environmental&nbsp;samples"
"Leuconostoc garlicum"	"S"	255248	2	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	0.001226	NA	NA	0.001226	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae>Leuconostoc"
"environmental samples"	"-"	339166	3	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	0.001649	NA	NA	0.000613	NA	NA	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales"
"uncultured Lactobacillales bacterium"	"S"	339167	3	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	0.001649	NA	NA	0.000613	NA	NA	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>environmental&nbsp;samples"
"Clostridium sp."	"S"	1506	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. AL06-1"	"S"	573265	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Caloramator"	"G"	44258	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae"
"environmental samples"	"-"	263861	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Caloramator"
"uncultured Caloramator sp."	"S"	263862	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Caloramator>environmental&nbsp;samples"
"Romboutsia lituseburensis"	"S"	1537	1	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Romboutsia"
"environmental samples"	"-"	135026	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Butyrivibrio"
"uncultured Butyrivibrio sp."	"S"	370801	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Butyrivibrio>environmental&nbsp;samples"
"Coprococcus"	"G"	33042	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Coprococcus sp. DJF_CR49"	"S"	537278	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Coprococcus"
"Eubacterium sp. oral clone DO008"	"S"	163590	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Eubacterium>environmental&nbsp;samples"
"environmental samples"	"-"	135071	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Heliobacteriaceae"
"uncultured Heliobacteriaceae bacterium"	"S"	1421433	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Heliobacteriaceae>environmental&nbsp;samples"
"Syntrophomonas sp. MGB-C1"	"S"	86169	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Syntrophomonadaceae>Syntrophomonas"
"Clostridiales bacterium feline oral taxon 148"	"S"	1577269	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>unclassified&nbsp;Clostridiales&nbsp;(miscellaneous)"
"Hungateiclostridiaceae"	"F"	2304686	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Ruminiclostridium"	"G"	1508657	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae"
"Ruminiclostridium hungatei"	"S"	48256	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Ruminiclostridium"
"Thermoanaerobacteraceae"	"F"	186814	1	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales"
"environmental samples"	"-"	303758	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae"
"uncultured Thermoanaerobacteraceae bacterium"	"S"	303759	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>environmental&nbsp;samples"
"Selenomonas lacticifex"	"S"	86957	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"environmental samples"	"-"	89312	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"Selenomonas sp. enrichment culture clone yan11"	"S"	572375	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>environmental&nbsp;samples"
"uncultured Veillonella sp."	"S"	159268	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae>Veillonella>environmental&nbsp;samples"
"uncultured bacterium "	"S"	117755	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>environmental&nbsp;samples"
"Herpetosiphonales"	"O"	189772	4	NA	NA	4	NA	NA	NA	NA	NA	NA	2	NA	0.002452	NA	NA	0.002452	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Chloroflexia"
"Herpetosiphonaceae"	"F"	189773	4	NA	NA	4	NA	NA	NA	NA	NA	NA	2	NA	0.002452	NA	NA	0.002452	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Chloroflexia>Herpetosiphonales"
"Herpetosiphon"	"G"	64	4	NA	NA	4	NA	NA	NA	NA	NA	NA	2	NA	0.002452	NA	NA	0.002452	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Chloroflexia>Herpetosiphonales>Herpetosiphonaceae"
"Herpetosiphon geysericola"	"S"	70996	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	0.002452	NA	NA	0.002452	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Chloroflexia>Herpetosiphonales>Herpetosiphonaceae>Herpetosiphon"
"Ktedonobacteria"	"C"	388447	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi"
"Ktedonobacterales"	"O"	388448	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Ktedonobacteria"
"16SrII (Peanut WB group)"	"S"	85621	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Candidatus&nbsp;Phytoplasma"
"Alfalfa witches'-broom phytoplasma"	"S"	181497	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Candidatus&nbsp;Phytoplasma>16SrII&nbsp;(Peanut&nbsp;WB&nbsp;group)"
"16SrIII (X-disease group)"	"S"	85623	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Candidatus&nbsp;Phytoplasma"
"'Catharanthus roseus' malformation phytoplasma"	"S"	985746	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Candidatus&nbsp;Phytoplasma>16SrIII&nbsp;(X&#x2011;disease&nbsp;group)"
"16SrXIII (Mexican periwinkle virescence group)"	"S"	85633	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Candidatus&nbsp;Phytoplasma"
"Mexican potato purple top phytoplasma SINPV"	"S"	641556	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Candidatus&nbsp;Phytoplasma>16SrXIII&nbsp;(Mexican&nbsp;periwinkle&nbsp;virescence&nbsp;group)"
"Entomoplasmatales"	"O"	186328	3	NA	NA	2	NA	NA	NA	3	NA	NA	NA	NA	0.001649	NA	NA	0.001226	NA	NA	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes"
"Spiroplasmataceae"	"F"	2131	3	NA	NA	2	NA	NA	NA	3	NA	NA	NA	NA	0.001649	NA	NA	0.001226	NA	NA	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales"
"Spiroplasma"	"G"	2132	3	NA	NA	2	NA	NA	NA	3	NA	NA	NA	NA	0.001649	NA	NA	0.001226	NA	NA	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae"
"Spiroplasma citri"	"S"	2133	2	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.001099	NA	NA	0.000613	NA	NA	NA	0.001099	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"environmental samples"	"-"	319048	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"uncultured Spiroplasma sp."	"S"	319049	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma>environmental&nbsp;samples"
"Comamonas sp. PJ111"	"S"	167059	4	NA	NA	1	NA	4	NA	NA	NA	NA	NA	NA	0.002057	NA	NA	0.000613	NA	0.002057	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. BM-9_6"	"S"	283473	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas sp. SDGD13"	"S"	1246543	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Limnohabitans curvus"	"S"	323423	10	NA	NA	1	NA	10	NA	NA	NA	NA	8	NA	0.008791	NA	NA	0.000613	NA	0.005142	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 2KL-3"	"S"	1100700	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. KL3"	"S"	1835760	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Comamonadaceae bacterium PIC-C34"	"S"	351574	10	NA	NA	2	NA	10	NA	NA	NA	NA	4	NA	0.005142	NA	NA	0.001226	NA	0.005142	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Acidovorax temperans"	"S"	80878	2	NA	NA	1	NA	2	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax wohlfahrtii"	"S"	121873	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Albidiferax sp. 7B-398"	"S"	1391250	19	NA	NA	1	NA	19	NA	NA	NA	NA	13	NA	0.01429	NA	NA	0.000613	NA	0.009769	NA	NA	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax sp. K151"	"S"	1793940	3	NA	NA	1	NA	3	NA	NA	NA	NA	2	NA	0.002198	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Variovorax sp. R-21938"	"S"	288993	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. 43"	"S"	697444	10	NA	NA	1	NA	10	NA	NA	NA	NA	5	NA	0.005494	NA	NA	0.000613	NA	0.005142	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Polaromonas sp. LHG-2BY2"	"S"	1266704	1	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Delftia sp. GW456-R20"	"S"	1827145	10	NA	NA	1	NA	10	NA	NA	NA	NA	3	NA	0.005142	NA	NA	0.000613	NA	0.005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Hydrogenophaga electricum"	"S"	1230953	3	NA	NA	1	NA	3	NA	NA	NA	NA	1	NA	0.001543	NA	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"environmental samples"	"-"	310577	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Diaphorobacter"
"uncultured Diaphorobacter sp."	"S"	310579	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Diaphorobacter>environmental&nbsp;samples"
"Simplicispira psychrophila"	"S"	80882	1	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Xenophilus"	"G"	151754	5	NA	NA	1	NA	5	NA	NA	NA	NA	2	NA	0.002571	NA	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Xenophilus sp. canine oral taxon 174"	"S"	1151502	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	NA	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Xenophilus"
"Burkholderia pseudomallei MSHR3960"	"-"	1434203	3	NA	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group>Burkholderia&nbsp;pseudomallei"
"Burkholderia sp. BDU19"	"S"	1385589	1	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001099	NA	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
