"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"1921-3"	"G"	25192	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Chloroflexi>Ktedonobacteria>Ktedonobacterales>Ktedonobacteraceae"
"SL56 marine group"	"C"	1480	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"Bacteria>Chloroflexi"
"Planctomycetes"	"P"	2293	89	25	2	18	NA	89	1	2	NA	NA	75	NA	0.6757	0.01247	0.02712	0.01103	NA	0.04576	0.6757	0.001099	NA	NA	0.08242	NA	"Bacteria"
"Planctomycetacia"	"C"	2337	63	15	2	14	NA	63	NA	2	NA	NA	48	NA	0.05275	0.00748	0.02712	0.008581	NA	0.03239	NA	0.001099	NA	NA	0.05275	NA	"Bacteria>Planctomycetes"
"Gemmatales"	"O"	25851	43	7	1	6	NA	43	NA	NA	NA	NA	24	NA	0.02637	0.00349	0.01356	0.003678	NA	0.02211	NA	NA	NA	NA	0.02637	NA	"Bacteria>Planctomycetes>Planctomycetacia"
"Gemmataceae"	"F"	25852	43	7	1	6	NA	43	NA	NA	NA	NA	24	NA	0.02637	0.00349	0.01356	0.003678	NA	0.02211	NA	NA	NA	NA	0.02637	NA	"Bacteria>Planctomycetes>Planctomycetacia>Gemmatales"
"uncultured"	"G"	25857	22	3	1	3	NA	22	NA	NA	NA	NA	12	NA	0.01356	0.001496	0.01356	0.001839	NA	0.01131	NA	NA	NA	NA	0.01319	NA	"Bacteria>Planctomycetes>Planctomycetacia>Gemmatales>Gemmataceae"
"Fimbriiglobus"	"G"	25853	5	2	NA	NA	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.0009973	NA	NA	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"Bacteria>Planctomycetes>Planctomycetacia>Gemmatales>Gemmataceae"
"Gemmata"	"G"	25854	16	2	NA	3	NA	16	NA	NA	NA	NA	8	NA	0.008791	0.0009973	NA	0.001839	NA	0.008227	NA	NA	NA	NA	0.008791	NA	"Bacteria>Planctomycetes>Planctomycetacia>Gemmatales>Gemmataceae"
"Pirellulales"	"O"	25866	9	4	1	5	NA	2	NA	1	NA	NA	9	NA	0.01356	0.001995	0.01356	0.003065	NA	0.001028	NA	0.0005497	NA	NA	0.00989	NA	"Bacteria>Planctomycetes>Planctomycetacia"
"Pirellulaceae"	"F"	25867	9	4	1	5	NA	2	NA	1	NA	NA	9	NA	0.01356	0.001995	0.01356	0.003065	NA	0.001028	NA	0.0005497	NA	NA	0.00989	NA	"Bacteria>Planctomycetes>Planctomycetacia>Pirellulales"
"uncultured"	"G"	25884	4	1	NA	4	NA	NA	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	0.002452	NA	NA	NA	NA	NA	NA	0.004396	NA	"Bacteria>Planctomycetes>Planctomycetacia>Pirellulales>Pirellulaceae"
"Termite planctomycete cluster"	"G"	25880	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Pirellulales>Pirellulaceae"
"Blastopirellula"	"G"	25868	1	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	0.0005142	NA	0.0005497	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Pirellulales>Pirellulaceae"
"Rhodopirellula"	"G"	25877	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Pirellulales>Pirellulaceae"
"Planctomycetales"	"O"	2349	13	2	NA	2	NA	13	NA	NA	NA	NA	8	NA	0.008791	0.0009973	NA	0.001226	NA	0.006684	NA	NA	NA	NA	0.008791	NA	"Bacteria>Planctomycetes>Planctomycetacia"
"Rubinisphaeraceae"	"F"	25888	8	1	NA	2	NA	8	NA	NA	NA	NA	5	NA	0.005494	0.0004986	NA	0.001226	NA	0.004113	NA	NA	NA	NA	0.005494	NA	"Bacteria>Planctomycetes>Planctomycetacia>Planctomycetales"
"uncultured"	"G"	25893	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Planctomycetacia>Planctomycetales>Rubinisphaeraceae"
"uncultured"	"F"	25897	4	1	NA	NA	NA	4	NA	NA	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	0.002057	NA	NA	NA	NA	0.003297	NA	"Bacteria>Planctomycetes>Planctomycetacia>Planctomycetales"
"Isosphaerales"	"O"	25858	5	2	NA	NA	NA	5	NA	NA	NA	NA	4	NA	0.004396	0.0009973	NA	NA	NA	0.002571	NA	NA	NA	NA	0.004396	NA	"Bacteria>Planctomycetes>Planctomycetacia"
"Isosphaeraceae"	"F"	25859	5	2	NA	NA	NA	5	NA	NA	NA	NA	4	NA	0.004396	0.0009973	NA	NA	NA	0.002571	NA	NA	NA	NA	0.004396	NA	"Bacteria>Planctomycetes>Planctomycetacia>Isosphaerales"
"Singulisphaera"	"G"	25864	3	2	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"Bacteria>Planctomycetes>Planctomycetacia>Isosphaerales>Isosphaeraceae"
"Phycisphaerae"	"C"	2300	20	6	NA	2	NA	20	1	NA	NA	NA	8	NA	0.6757	0.002992	NA	0.001226	NA	0.01028	0.6757	NA	NA	NA	0.008791	NA	"Bacteria>Planctomycetes"
"Phycisphaerales"	"O"	2312	14	4	NA	2	NA	14	NA	NA	NA	NA	3	NA	0.007198	0.001995	NA	0.001226	NA	0.007198	NA	NA	NA	NA	0.003297	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"Phycisphaeraceae"	"F"	2316	14	3	NA	2	NA	14	NA	NA	NA	NA	3	NA	0.007198	0.001496	NA	0.001226	NA	0.007198	NA	NA	NA	NA	0.003297	NA	"Bacteria>Planctomycetes>Phycisphaerae>Phycisphaerales"
"SM1A02"	"G"	2323	6	3	NA	2	NA	6	NA	NA	NA	NA	3	NA	0.003297	0.001496	NA	0.001226	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"Bacteria>Planctomycetes>Phycisphaerae>Phycisphaerales>Phycisphaeraceae"
"AKAU3564 sediment group"	"F"	2314	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae>Phycisphaerales"
"CCM11a"	"O"	2305	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"Tepidisphaerales"	"O"	14496	2	1	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"Bacteria>Planctomycetes>Phycisphaerae"
"WD2101 soil group"	"F"	25850	2	1	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Planctomycetes>Phycisphaerae>Tepidisphaerales"
"OM190"	"C"	2299	4	2	NA	2	NA	3	NA	NA	NA	NA	4	NA	0.004396	0.0009973	NA	0.001226	NA	0.001543	NA	NA	NA	NA	0.004396	NA	"Bacteria>Planctomycetes"
"vadinHA49"	"C"	2374	13	1	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	0.01429	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.01429	NA	"Bacteria>Planctomycetes"
"Gemmatimonadetes"	"P"	2224	54	20	NA	9	NA	54	NA	NA	NA	NA	28	NA	0.03077	0.009973	NA	0.005517	NA	0.02777	NA	NA	NA	NA	0.03077	NA	"Bacteria"
"Gemmatimonadetes"	"C"	2225	53	20	NA	9	NA	53	NA	NA	NA	NA	22	NA	0.02725	0.009973	NA	0.005517	NA	0.02725	NA	NA	NA	NA	0.02418	NA	"Bacteria>Gemmatimonadetes"
"Gemmatimonadales"	"O"	2228	53	20	NA	9	NA	53	NA	NA	NA	NA	22	NA	0.02725	0.009973	NA	0.005517	NA	0.02725	NA	NA	NA	NA	0.02418	NA	"Bacteria>Gemmatimonadetes>Gemmatimonadetes"
"Gemmatimonadaceae"	"F"	2229	53	20	NA	9	NA	53	NA	NA	NA	NA	22	NA	0.02725	0.009973	NA	0.005517	NA	0.02725	NA	NA	NA	NA	0.02418	NA	"Bacteria>Gemmatimonadetes>Gemmatimonadetes>Gemmatimonadales"
"uncultured"	"G"	2231	41	20	NA	7	NA	41	NA	NA	NA	NA	19	NA	0.02108	0.009973	NA	0.004291	NA	0.02108	NA	NA	NA	NA	0.02088	NA	"Bacteria>Gemmatimonadetes>Gemmatimonadetes>Gemmatimonadales>Gemmatimonadaceae"
"Spirochaetes"	"P"	26899	25	19	1	25	NA	14	NA	2	NA	NA	11	NA	0.01532	0.009474	0.01356	0.01532	NA	0.007198	NA	0.001099	NA	NA	0.01209	NA	"Bacteria"
"Leptospirae"	"C"	26907	19	9	1	19	NA	NA	NA	NA	NA	NA	1	NA	0.01356	0.004488	0.01356	0.01165	NA	NA	NA	NA	NA	NA	0.001099	NA	"Bacteria>Spirochaetes"
"Leptospirales"	"O"	26908	19	9	1	19	NA	NA	NA	NA	NA	NA	1	NA	0.01356	0.004488	0.01356	0.01165	NA	NA	NA	NA	NA	NA	0.001099	NA	"Bacteria>Spirochaetes>Leptospirae"
"Leptospiraceae"	"F"	26909	19	9	1	19	NA	NA	NA	NA	NA	NA	1	NA	0.01356	0.004488	0.01356	0.01165	NA	NA	NA	NA	NA	NA	0.001099	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales"
"Leptospira"	"G"	26911	17	7	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	0.01042	0.00349	NA	0.01042	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales>Leptospiraceae"
"uncultured"	"G"	26915	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales>Leptospiraceae"
"Spirochaetia"	"C"	26917	10	8	NA	6	NA	10	NA	2	NA	NA	10	NA	0.01099	0.003989	NA	0.003678	NA	0.005142	NA	0.001099	NA	NA	0.01099	NA	"Bacteria>Spirochaetes"
"Spirochaetales"	"O"	26921	10	8	NA	6	NA	10	NA	2	NA	NA	10	NA	0.01099	0.003989	NA	0.003678	NA	0.005142	NA	0.001099	NA	NA	0.01099	NA	"Bacteria>Spirochaetes>Spirochaetia"
"Spirochaetaceae"	"F"	26922	10	8	NA	6	NA	10	NA	2	NA	NA	10	NA	0.01099	0.003989	NA	0.003678	NA	0.005142	NA	0.001099	NA	NA	0.01099	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales"
"Borreliella"	"G"	26925	5	5	NA	2	NA	5	NA	NA	NA	NA	NA	NA	0.002571	0.002493	NA	0.001226	NA	0.002571	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"Spirochaeta 2"	"G"	26932	4	2	NA	3	NA	4	NA	NA	NA	NA	1	NA	0.002057	0.0009973	NA	0.001839	NA	0.002057	NA	NA	NA	NA	0.001099	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"Treponema"	"G"	26934	5	1	NA	1	NA	NA	NA	1	NA	NA	5	NA	0.005494	0.0004986	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	0.005494	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"MVP-15"	"C"	26916	3	2	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.001543	0.0009973	NA	NA	NA	0.001543	NA	NA	NA	NA	NA	NA	"Bacteria>Spirochaetes"
"Dependentiae"	"P"	25541	17	17	NA	13	NA	11	NA	NA	NA	NA	1	NA	0.008477	0.008477	NA	0.007968	NA	0.005656	NA	NA	NA	NA	0.001099	NA	"Bacteria"
"Babeliae"	"C"	25542	17	17	NA	13	NA	11	NA	NA	NA	NA	1	NA	0.008477	0.008477	NA	0.007968	NA	0.005656	NA	NA	NA	NA	0.001099	NA	"Bacteria>Dependentiae"
"Babeliales"	"O"	25543	17	17	NA	13	NA	11	NA	NA	NA	NA	1	NA	0.008477	0.008477	NA	0.007968	NA	0.005656	NA	NA	NA	NA	0.001099	NA	"Bacteria>Dependentiae>Babeliae"
"Vermiphilaceae"	"F"	25548	15	15	NA	10	NA	8	NA	NA	NA	NA	NA	NA	0.00748	0.00748	NA	0.00613	NA	0.004113	NA	NA	NA	NA	NA	NA	"Bacteria>Dependentiae>Babeliae>Babeliales"
"Omnitrophicaeota"	"P"	25747	37	16	NA	5	NA	37	NA	1	NA	NA	25	NA	0.02747	0.007978	NA	0.003065	NA	0.01902	NA	0.0005497	NA	NA	0.02747	NA	"Bacteria"
"Omnitrophia"	"C"	25748	24	6	NA	2	NA	24	NA	1	NA	NA	13	NA	0.01429	0.002992	NA	0.001226	NA	0.01234	NA	0.0005497	NA	NA	0.01429	NA	"Bacteria>Omnitrophicaeota"
"Omnitrophales"	"O"	25749	24	5	NA	2	NA	24	NA	1	NA	NA	13	NA	0.01429	0.002493	NA	0.001226	NA	0.01234	NA	0.0005497	NA	NA	0.01429	NA	"Bacteria>Omnitrophicaeota>Omnitrophia"
"Omnitrophaceae"	"F"	25750	24	5	NA	2	NA	24	NA	1	NA	NA	13	NA	0.01429	0.002493	NA	0.001226	NA	0.01234	NA	0.0005497	NA	NA	0.01429	NA	"Bacteria>Omnitrophicaeota>Omnitrophia>Omnitrophales"
"Candidatus Omnitrophus"	"G"	25751	24	5	NA	2	NA	24	NA	1	NA	NA	13	NA	0.01429	0.002493	NA	0.001226	NA	0.01234	NA	0.0005497	NA	NA	0.01429	NA	"Bacteria>Omnitrophicaeota>Omnitrophia>Omnitrophales>Omnitrophaceae"
"Fibrobacteres"	"P"	1646	43	7	NA	1	NA	16	NA	NA	NA	NA	43	NA	0.04725	0.00349	NA	0.000613	NA	0.008227	NA	NA	NA	NA	0.04725	NA	"Bacteria"
"Fibrobacteria"	"C"	1647	43	7	NA	1	NA	16	NA	NA	NA	NA	43	NA	0.04725	0.00349	NA	0.000613	NA	0.008227	NA	NA	NA	NA	0.04725	NA	"Bacteria>Fibrobacteres"
"Fibrobacterales"	"O"	1648	43	7	NA	1	NA	16	NA	NA	NA	NA	43	NA	0.04725	0.00349	NA	0.000613	NA	0.008227	NA	NA	NA	NA	0.04725	NA	"Bacteria>Fibrobacteres>Fibrobacteria"
"Fibrobacteraceae"	"F"	1654	42	5	NA	NA	NA	15	NA	NA	NA	NA	42	NA	0.04615	0.002493	NA	NA	NA	0.007713	NA	NA	NA	NA	0.04615	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales"
"uncultured"	"G"	1659	38	3	NA	NA	NA	15	NA	NA	NA	NA	38	NA	0.04176	0.001496	NA	NA	NA	0.007713	NA	NA	NA	NA	0.04176	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales>Fibrobacteraceae"
"possible genus 04"	"G"	1656	3	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales>Fibrobacteraceae"
"possible genus 05"	"G"	1657	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales>Fibrobacteraceae"
"09D2Z48"	"F"	1650	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales"
"possible family 01"	"F"	1665	1	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales"
"Latescibacteria"	"P"	11403	4	4	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.001995	0.001995	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	NA	NA	"Bacteria"
"Latescibacteria"	"C"	25716	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Latescibacteria"
"Latescibacterales"	"O"	25717	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Latescibacteria>Latescibacteria"
"Latescibacteraceae"	"F"	25718	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Latescibacteria>Latescibacteria>Latescibacterales"
"Candidatus Latescibacter"	"G"	25719	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Latescibacteria>Latescibacteria>Latescibacterales>Latescibacteraceae"
"Tenericutes"	"P"	3919	6	4	NA	2	1	3	NA	2	NA	NA	6	NA	0.625	0.001995	NA	0.001226	0.625	0.001543	NA	0.001099	NA	NA	0.006593	NA	"Bacteria"
"Mollicutes"	"C"	3920	6	4	NA	2	1	3	NA	2	NA	NA	6	NA	0.625	0.001995	NA	0.001226	0.625	0.001543	NA	0.001099	NA	NA	0.006593	NA	"Bacteria>Tenericutes"
"Acholeplasmatales"	"O"	3921	1	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	0.0005497	NA	NA	0.001099	NA	"Bacteria>Tenericutes>Mollicutes"
"Acholeplasmataceae"	"F"	3922	1	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	0.0005497	NA	NA	0.001099	NA	"Bacteria>Tenericutes>Mollicutes>Acholeplasmatales"
"Acholeplasma"	"G"	3923	1	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	0.0005497	NA	NA	0.001099	NA	"Bacteria>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae"
"Entomoplasmatales"	"O"	3930	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes"
"Entomoplasmatales Incertae Sedis"	"F"	3935	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes>Entomoplasmatales"
"Candidatus Hepatoplasma"	"G"	3936	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes>Entomoplasmatales>Entomoplasmatales&nbsp;Incertae&nbsp;Sedis"
"Mollicutes Incertae Sedis"	"O"	3943	2	1	NA	NA	1	1	NA	NA	NA	NA	2	NA	0.625	0.0004986	NA	NA	0.625	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Tenericutes>Mollicutes"
"Unknown Family"	"F"	3944	2	1	NA	NA	1	1	NA	NA	NA	NA	2	NA	0.625	0.0004986	NA	NA	0.625	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Tenericutes>Mollicutes>Mollicutes&nbsp;Incertae&nbsp;Sedis"
"Candidatus Phytoplasma"	"G"	3945	2	1	NA	NA	1	1	NA	NA	NA	NA	2	NA	0.625	0.0004986	NA	NA	0.625	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Tenericutes>Mollicutes>Mollicutes&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Mycoplasmatales"	"O"	3946	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes"
"Mycoplasmataceae"	"F"	3947	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes>Mycoplasmatales"
"Mycoplasma"	"G"	3950	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae"
"Elusimicrobia"	"P"	1632	10	3	NA	3	NA	1	NA	NA	NA	NA	10	NA	0.01099	0.001496	NA	0.001839	NA	0.0005142	NA	NA	NA	NA	0.01099	NA	"Bacteria"
"Elusimicrobia"	"C"	1633	10	2	NA	NA	NA	1	NA	NA	NA	NA	10	NA	0.01099	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.01099	NA	"Bacteria>Elusimicrobia"
"MVP-88"	"O"	1644	2	2	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Elusimicrobia>Elusimicrobia"
"Lineage IIb"	"C"	25557	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Elusimicrobia"
"Fusobacteria"	"P"	2203	13	3	1	3	NA	6	NA	1	NA	NA	13	NA	0.01429	0.001496	0.01356	0.001839	NA	0.003085	NA	0.0005497	NA	NA	0.01429	NA	"Bacteria"
"Fusobacteriia"	"C"	2204	13	3	1	3	NA	6	NA	1	NA	NA	13	NA	0.01429	0.001496	0.01356	0.001839	NA	0.003085	NA	0.0005497	NA	NA	0.01429	NA	"Bacteria>Fusobacteria"
"Fusobacteriales"	"O"	2205	13	3	1	3	NA	6	NA	1	NA	NA	13	NA	0.01429	0.001496	0.01356	0.001839	NA	0.003085	NA	0.0005497	NA	NA	0.01429	NA	"Bacteria>Fusobacteria>Fusobacteriia"
"Leptotrichiaceae"	"F"	2215	10	2	NA	1	NA	NA	NA	1	NA	NA	10	NA	0.01099	0.0009973	NA	0.000613	NA	NA	NA	0.0005497	NA	NA	0.01099	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales"
"Hypnocyclicus"	"G"	25680	9	2	NA	1	NA	NA	NA	NA	NA	NA	9	NA	0.00989	0.0009973	NA	0.000613	NA	NA	NA	NA	NA	NA	0.00989	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae"
"Fusobacteriaceae"	"F"	2208	6	1	1	2	NA	6	NA	NA	NA	NA	3	NA	0.01356	0.0004986	0.01356	0.001226	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales"
"Cetobacterium"	"G"	2209	3	1	1	1	NA	3	NA	NA	NA	NA	NA	NA	0.01356	0.0004986	0.01356	0.000613	NA	0.001543	NA	NA	NA	NA	NA	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae"
"Deinococcus-Thermus"	"P"	1610	3	3	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001496	0.001496	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria"
"Deinococci"	"C"	1611	3	3	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001496	0.001496	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Deinococcus&#x2011;Thermus"
"Deinococcales"	"O"	1612	3	3	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001496	0.001496	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci"
"Deinococcaceae"	"F"	1613	2	2	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	0.0009973	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Deinococcales"
"Deinobacterium"	"G"	1614	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Deinococcales>Deinococcaceae"
"uncultured"	"G"	1616	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Deinococcales>Deinococcaceae"
"Trueperaceae"	"F"	1617	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Deinococcales"
"Truepera"	"G"	1618	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Deinococcus&#x2011;Thermus>Deinococci>Deinococcales>Trueperaceae"
"Chlamydiae"	"P"	1334	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria"
