"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Bacillus"	"G"	1688	34848	145	18	127	1	207	2	34848	NA	NA	133	NA	19.42	0.07334	0.2549	0.07853	0.6289	0.1117	1.379	19.42	NA	NA	0.159	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Oceanobacillus"	"G"	1707	11	2	1	2	NA	1	NA	11	NA	NA	NA	NA	0.01416	0.001012	0.01416	0.001237	NA	0.0005394	NA	0.006131	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Anoxybacillus"	"G"	1686	23	2	1	1	NA	3	NA	23	NA	NA	NA	NA	0.01416	0.001012	0.01416	0.0006184	NA	0.001618	NA	0.01282	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"uncultured"	"G"	1729	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005573	0.0005058	NA	NA	NA	NA	NA	0.0005573	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Halobacillus"	"G"	1700	6	1	NA	1	NA	NA	NA	6	NA	NA	1	NA	0.003344	0.0005058	NA	0.0006184	NA	NA	NA	0.003344	NA	NA	0.001195	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Staphylococcaceae"	"F"	1775	17347	54	5	44	2	55	NA	17347	1	NA	29	1	9.668	0.02731	0.0708	0.02721	1.258	0.02967	NA	9.668	0.9259	NA	0.03466	0.5525	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Staphylococcus"	"G"	1780	17340	54	5	44	2	54	NA	17340	1	NA	29	1	9.664	0.02731	0.0708	0.02721	1.258	0.02913	NA	9.664	0.9259	NA	0.03466	0.5525	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Listeriaceae"	"F"	1737	5836	18	1	11	NA	12	1	5836	NA	NA	12	NA	3.253	0.009104	0.01416	0.006802	NA	0.006473	0.6897	3.253	NA	NA	0.01434	NA	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Listeria"	"G"	1739	5835	18	1	11	NA	12	1	5835	NA	NA	12	NA	3.252	0.009104	0.01416	0.006802	NA	0.006473	0.6897	3.252	NA	NA	0.01434	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Paenibacillaceae"	"F"	1740	38	5	NA	3	NA	21	NA	38	NA	NA	8	NA	0.02118	0.002529	NA	0.001855	NA	0.01133	NA	0.02118	NA	NA	0.009561	NA	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Brevibacillus"	"G"	1743	3	2	NA	2	NA	1	NA	3	NA	NA	NA	NA	0.001672	0.001012	NA	0.001237	NA	0.0005394	NA	0.001672	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Desulfuribacillus"	"G"	11271	1	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	0.0005573	0.0005058	NA	NA	NA	0.0005394	NA	0.0005573	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Paenibacillus"	"G"	1747	31	1	NA	1	NA	17	NA	31	NA	NA	7	NA	0.01728	0.0005058	NA	0.0006184	NA	0.00917	NA	0.01728	NA	NA	0.008366	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Cohnella"	"G"	1744	2	1	NA	NA	NA	NA	NA	2	NA	NA	1	NA	0.001195	0.0005058	NA	NA	NA	NA	NA	0.001115	NA	NA	0.001195	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Planococcaceae"	"F"	1753	58	4	NA	4	NA	9	NA	58	NA	NA	3	NA	0.03232	0.002023	NA	0.002474	NA	0.004855	NA	0.03232	NA	NA	0.003585	NA	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Lysinibacillus"	"G"	1762	40	2	NA	1	NA	1	NA	40	NA	NA	1	NA	0.02229	0.001012	NA	0.0006184	NA	0.0005394	NA	0.02229	NA	NA	0.001195	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Planococcus"	"G"	1764	2	1	NA	2	NA	2	NA	1	NA	NA	NA	NA	0.001237	0.0005058	NA	0.001237	NA	0.001079	NA	0.0005573	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Sporosarcina"	"G"	1768	2	1	NA	NA	NA	2	NA	1	NA	NA	2	NA	0.00239	0.0005058	NA	NA	NA	0.001079	NA	0.0005573	NA	NA	0.00239	NA	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Lactobacillales"	"O"	1800	14026	68	3	62	NA	60	NA	14026	1	NA	60	NA	7.817	0.03439	0.04248	0.03834	NA	0.03237	NA	7.817	0.9259	NA	0.07171	NA	"Bacteria>Firmicutes>Bacilli"
"Lactobacillaceae"	"F"	1836	8321	35	3	32	NA	27	NA	8321	1	NA	21	NA	4.637	0.0177	0.04248	0.01979	NA	0.01456	NA	4.637	0.9259	NA	0.0251	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Lactobacillus"	"G"	1837	8310	35	3	32	NA	27	NA	8310	1	NA	21	NA	4.631	0.0177	0.04248	0.01979	NA	0.01456	NA	4.631	0.9259	NA	0.0251	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Enterococcaceae"	"F"	1828	5259	15	NA	12	NA	11	NA	5259	NA	NA	14	NA	2.931	0.007587	NA	0.007421	NA	0.005934	NA	2.931	NA	NA	0.01673	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Enterococcus"	"G"	1831	5242	15	NA	12	NA	11	NA	5242	NA	NA	14	NA	2.921	0.007587	NA	0.007421	NA	0.005934	NA	2.921	NA	NA	0.01673	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Streptococcaceae"	"F"	1850	270	13	NA	11	NA	8	NA	270	NA	NA	15	NA	0.1505	0.006575	NA	0.006802	NA	0.004315	NA	0.1505	NA	NA	0.01793	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1853	249	11	NA	10	NA	5	NA	249	NA	NA	15	NA	0.1388	0.005564	NA	0.006184	NA	0.002697	NA	0.1388	NA	NA	0.01793	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactococcus"	"G"	1851	8	2	NA	1	NA	1	NA	8	NA	NA	NA	NA	0.004459	0.001012	NA	0.0006184	NA	0.0005394	NA	0.004459	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Leuconostocaceae"	"F"	1839	13	1	NA	1	NA	NA	NA	13	NA	NA	NA	NA	0.007245	0.0005058	NA	0.0006184	NA	NA	NA	0.007245	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Leuconostoc"	"G"	1841	6	1	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	0.003344	0.0005058	NA	NA	NA	NA	NA	0.003344	NA	NA	NA	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Carnobacteriaceae"	"F"	1811	49	1	NA	4	NA	8	NA	49	NA	NA	9	NA	0.02731	0.0005058	NA	0.002474	NA	0.004315	NA	0.02731	NA	NA	0.01076	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Trichococcus"	"G"	1826	8	1	NA	2	NA	2	NA	4	NA	NA	8	NA	0.009561	0.0005058	NA	0.001237	NA	0.001079	NA	0.002229	NA	NA	0.009561	NA	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Negativicutes"	"C"	2164	20	11	NA	14	NA	20	NA	1	NA	NA	18	NA	0.02151	0.005564	NA	0.008657	NA	0.01079	NA	0.0005573	NA	NA	0.02151	NA	"Bacteria>Firmicutes"
"Selenomonadales"	"O"	2165	20	11	NA	14	NA	20	NA	1	NA	NA	18	NA	0.02151	0.005564	NA	0.008657	NA	0.01079	NA	0.0005573	NA	NA	0.02151	NA	"Bacteria>Firmicutes>Negativicutes"
"Veillonellaceae"	"F"	2172	16	9	NA	10	NA	11	NA	1	NA	NA	16	NA	0.01912	0.004552	NA	0.006184	NA	0.005934	NA	0.0005573	NA	NA	0.01912	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales"
"uncultured"	"G"	2200	6	4	NA	1	NA	2	NA	NA	NA	NA	6	NA	0.007171	0.002023	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	0.007171	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Dialister"	"G"	2183	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001079	0.001012	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Veillonella"	"G"	2198	2	1	NA	2	NA	NA	NA	1	NA	NA	1	NA	0.001237	0.0005058	NA	0.001237	NA	NA	NA	0.0005573	NA	NA	0.001195	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Anaerosporomusa"	"G"	14403	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"uncultured"	"F"	2201	3	1	NA	NA	NA	3	NA	NA	NA	NA	2	NA	0.00239	0.0005058	NA	NA	NA	0.001618	NA	NA	NA	NA	0.00239	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales"
"Acidaminococcaceae"	"F"	2166	6	1	NA	4	NA	6	NA	NA	NA	NA	NA	NA	0.003237	0.0005058	NA	0.002474	NA	0.003237	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales"
"uncultured"	"G"	2171	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	0.001237	0.0005058	NA	0.001237	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Acidaminococcaceae"
"Erysipelotrichia"	"C"	2147	5	5	NA	5	NA	2	NA	NA	NA	NA	3	NA	0.003585	0.002529	NA	0.003092	NA	0.001079	NA	NA	NA	NA	0.003585	NA	"Bacteria>Firmicutes"
"Erysipelotrichales"	"O"	2148	5	5	NA	5	NA	2	NA	NA	NA	NA	3	NA	0.003585	0.002529	NA	0.003092	NA	0.001079	NA	NA	NA	NA	0.003585	NA	"Bacteria>Firmicutes>Erysipelotrichia"
"Erysipelotrichaceae"	"F"	2149	5	5	NA	5	NA	2	NA	NA	NA	NA	3	NA	0.003585	0.002529	NA	0.003092	NA	0.001079	NA	NA	NA	NA	0.003585	NA	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales"
"Catenisphaera"	"G"	14395	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001012	0.001012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Faecalibaculum"	"G"	14396	3	2	NA	3	NA	1	NA	NA	NA	NA	1	NA	0.001855	0.001012	NA	0.001855	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Holdemanella"	"G"	11393	1	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Actinobacteria"	"P"	400	4192	579	31	219	1	589	NA	21	NA	NA	4192	NA	5.01	0.2928	0.439	0.1354	0.6289	0.3177	NA	0.0117	NA	NA	5.01	NA	"Bacteria"
"Actinobacteria"	"C"	419	4084	499	29	183	1	546	NA	19	NA	NA	4084	NA	4.881	0.2524	0.4106	0.1132	0.6289	0.2945	NA	0.01059	NA	NA	4.881	NA	"Bacteria>Actinobacteria"
"Micrococcales"	"O"	510	3173	218	10	81	1	381	NA	9	NA	NA	3173	NA	3.792	0.1103	0.1416	0.05009	0.6289	0.2055	NA	0.005016	NA	NA	3.792	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Microbacteriaceae"	"F"	580	2960	182	8	58	1	338	NA	8	NA	NA	2960	NA	3.538	0.09205	0.1133	0.03587	0.6289	0.1823	NA	0.004459	NA	NA	3.538	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Rhodoluna"	"G"	24511	618	47	NA	14	NA	69	NA	1	NA	NA	618	NA	0.7386	0.02377	NA	0.008657	NA	0.03722	NA	0.0005573	NA	NA	0.7386	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microbacterium"	"G"	616	693	38	2	15	NA	82	NA	3	NA	NA	693	NA	0.8282	0.01922	0.02832	0.009276	NA	0.04423	NA	0.001672	NA	NA	0.8282	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Candidatus Aquiluna"	"G"	587	270	14	2	5	NA	16	NA	NA	NA	NA	270	NA	0.3227	0.007081	0.02832	0.003092	NA	0.008631	NA	NA	NA	NA	0.3227	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Candidatus Planktoluna"	"G"	590	217	13	NA	5	NA	28	NA	NA	NA	NA	217	NA	0.2593	0.006575	NA	0.003092	NA	0.0151	NA	NA	NA	NA	0.2593	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"MWH-Ta3"	"G"	614	109	12	NA	3	NA	22	NA	NA	NA	NA	109	NA	0.1303	0.006069	NA	0.001855	NA	0.01187	NA	NA	NA	NA	0.1303	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Curtobacterium"	"G"	596	45	4	1	NA	NA	3	NA	NA	NA	NA	45	NA	0.05378	0.002023	0.01416	NA	NA	0.001618	NA	NA	NA	NA	0.05378	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Frigoribacterium"	"G"	599	34	4	NA	NA	NA	2	NA	NA	NA	NA	34	NA	0.04063	0.002023	NA	NA	NA	0.001079	NA	NA	NA	NA	0.04063	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Aurantimicrobium"	"G"	24507	36	4	1	NA	NA	3	NA	NA	NA	NA	36	NA	0.04303	0.002023	0.01416	NA	NA	0.001618	NA	NA	NA	NA	0.04303	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"uncultured"	"G"	635	49	3	NA	3	NA	12	NA	NA	NA	NA	49	NA	0.05856	0.001517	NA	0.001855	NA	0.006473	NA	NA	NA	NA	0.05856	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Pseudoclavibacter"	"G"	624	25	3	NA	2	NA	4	NA	NA	NA	NA	25	NA	0.02988	0.001517	NA	0.001237	NA	0.002158	NA	NA	NA	NA	0.02988	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"ML602J-51"	"G"	613	48	3	NA	2	NA	7	NA	1	NA	NA	48	NA	0.05737	0.001517	NA	0.001237	NA	0.003776	NA	0.0005573	NA	NA	0.05737	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Lysinimonas"	"G"	611	36	3	NA	NA	NA	2	NA	NA	NA	NA	36	NA	0.04303	0.001517	NA	NA	NA	0.001079	NA	NA	NA	NA	0.04303	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Leucobacter"	"G"	610	36	3	NA	2	NA	7	NA	1	NA	NA	36	NA	0.04303	0.001517	NA	0.001237	NA	0.003776	NA	0.0005573	NA	NA	0.04303	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Leifsonia"	"G"	609	36	3	NA	NA	NA	4	NA	NA	NA	NA	36	NA	0.04303	0.001517	NA	NA	NA	0.002158	NA	NA	NA	NA	0.04303	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Agromyces"	"G"	583	63	2	NA	2	NA	8	NA	NA	NA	NA	63	NA	0.07529	0.001012	NA	0.001237	NA	0.004315	NA	NA	NA	NA	0.07529	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Yonghaparkia"	"G"	634	11	2	NA	NA	NA	1	NA	NA	NA	NA	11	NA	0.01315	0.001012	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.01315	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Diaminobutyricimonas"	"G"	598	6	2	NA	NA	NA	1	NA	NA	NA	NA	6	NA	0.007171	0.001012	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.007171	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Cryobacterium"	"G"	594	34	2	NA	NA	1	3	NA	NA	NA	NA	34	NA	0.6289	0.001012	NA	NA	0.6289	0.001618	NA	NA	NA	NA	0.04063	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Clavibacter"	"G"	592	42	1	1	NA	NA	6	NA	NA	NA	NA	42	NA	0.0502	0.0005058	0.01416	NA	NA	0.003237	NA	NA	NA	NA	0.0502	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Agrococcus"	"G"	582	25	1	1	NA	NA	4	NA	NA	NA	NA	25	NA	0.02988	0.0005058	0.01416	NA	NA	0.002158	NA	NA	NA	NA	0.02988	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Salinibacterium"	"G"	630	15	1	NA	NA	NA	1	NA	NA	NA	NA	15	NA	0.01793	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.01793	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microterricola"	"G"	618	10	1	NA	NA	NA	1	NA	NA	NA	NA	10	NA	0.01195	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.01195	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Micrococcaceae"	"F"	636	126	24	1	10	NA	29	NA	1	NA	NA	126	NA	0.1506	0.01214	0.01416	0.006184	NA	0.01564	NA	0.0005573	NA	NA	0.1506	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Zhihengliuella"	"G"	650	6	6	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.003035	0.003035	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Arthrobacter"	"G"	638	37	6	NA	2	NA	12	NA	NA	NA	NA	37	NA	0.04422	0.003035	NA	0.001237	NA	0.006473	NA	NA	NA	NA	0.04422	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Pseudarthrobacter"	"G"	14220	16	5	NA	2	NA	5	NA	NA	NA	NA	16	NA	0.01912	0.002529	NA	0.001237	NA	0.002697	NA	NA	NA	NA	0.01912	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Micrococcus"	"G"	643	24	2	NA	1	NA	4	NA	NA	NA	NA	24	NA	0.02868	0.001012	NA	0.0006184	NA	0.002158	NA	NA	NA	NA	0.02868	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Kocuria"	"G"	642	13	2	NA	NA	NA	2	NA	NA	NA	NA	13	NA	0.01554	0.001012	NA	NA	NA	0.001079	NA	NA	NA	NA	0.01554	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Glutamicibacter"	"G"	14216	3	1	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003585	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	0.003585	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Rothia"	"G"	646	5	1	NA	1	NA	3	NA	1	NA	NA	5	NA	0.005976	0.0005058	NA	0.0006184	NA	0.001618	NA	0.0005573	NA	NA	0.005976	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Intrasporangiaceae"	"F"	557	20	8	1	6	NA	2	NA	NA	NA	NA	20	NA	0.0239	0.004046	0.01416	0.00371	NA	0.001079	NA	NA	NA	NA	0.0239	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Tetrasphaera"	"G"	576	8	4	1	2	NA	NA	NA	NA	NA	NA	8	NA	0.01416	0.002023	0.01416	0.001237	NA	NA	NA	NA	NA	NA	0.009561	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Ornithinibacter"	"G"	568	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00239	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.00239	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Phycicoccus"	"G"	572	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Knoellia"	"G"	564	3	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003585	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.003585	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Dermabacteraceae"	"F"	534	5	1	NA	1	NA	NA	NA	NA	NA	NA	5	NA	0.005976	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	0.005976	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Brachybacterium"	"G"	535	4	1	NA	1	NA	NA	NA	NA	NA	NA	4	NA	0.004781	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	0.004781	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Dermabacteraceae"
"Frankiales"	"O"	475	553	164	9	49	NA	95	NA	3	NA	NA	553	NA	0.6609	0.08295	0.1274	0.0303	NA	0.05125	NA	0.001672	NA	NA	0.6609	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Sporichthyaceae"	"F"	491	543	158	7	49	NA	94	NA	3	NA	NA	543	NA	0.649	0.07991	0.09912	0.0303	NA	0.05071	NA	0.001672	NA	NA	0.649	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales"
"hgcI clade"	"G"	494	494	144	7	45	NA	83	NA	3	NA	NA	494	NA	0.5904	0.07283	0.09912	0.02783	NA	0.04477	NA	0.001672	NA	NA	0.5904	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Sporichthyaceae"
"Candidatus Planktophila"	"G"	492	21	6	NA	2	NA	8	NA	NA	NA	NA	21	NA	0.0251	0.003035	NA	0.001237	NA	0.004315	NA	NA	NA	NA	0.0251	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Sporichthyaceae"
"uncultured"	"G"	495	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001012	0.001012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Sporichthyaceae"
"Cryptosporangiaceae"	"F"	478	6	5	2	NA	NA	1	NA	NA	NA	NA	6	NA	0.02832	0.002529	0.02832	NA	NA	0.0005394	NA	NA	NA	NA	0.007171	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales"
"Fodinicola"	"G"	480	6	5	2	NA	NA	1	NA	NA	NA	NA	6	NA	0.02832	0.002529	0.02832	NA	NA	0.0005394	NA	NA	NA	NA	0.007171	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Cryptosporangiaceae"
"Frankiaceae"	"F"	481	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales"
"Frankia"	"G"	482	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae"
"Streptomycetales"	"O"	765	162	39	3	13	NA	23	NA	1	NA	NA	162	NA	0.1936	0.01973	0.04248	0.008039	NA	0.01241	NA	0.0005573	NA	NA	0.1936	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Streptomycetaceae"	"F"	766	162	39	3	13	NA	23	NA	1	NA	NA	162	NA	0.1936	0.01973	0.04248	0.008039	NA	0.01241	NA	0.0005573	NA	NA	0.1936	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptomycetales"
"Streptomyces"	"G"	769	162	38	3	13	NA	23	NA	1	NA	NA	162	NA	0.1936	0.01922	0.04248	0.008039	NA	0.01241	NA	0.0005573	NA	NA	0.1936	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Kitasatospora"	"G"	767	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Propionibacteriales"	"O"	704	41	30	NA	12	NA	15	NA	1	NA	NA	41	NA	0.049	0.01517	NA	0.007421	NA	0.008092	NA	0.0005573	NA	NA	0.049	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Propionibacteriaceae"	"F"	714	21	20	NA	9	NA	11	NA	1	NA	NA	21	NA	0.0251	0.01012	NA	0.005565	NA	0.005934	NA	0.0005573	NA	NA	0.0251	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales"
