"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Epidendroideae"	"-"	158332	3	NA	NA	NA	NA	3	1	NA	1	NA	NA	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae"
"Malaxideae"	"-"	158393	2	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae"
"Dendrobiinae"	"-"	158406	2	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae>Malaxideae"
"Dendrobium"	"G"	37818	2	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae>Malaxideae>Dendrobiinae"
"Dendrobium huoshanense"	"S"	154293	2	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae>Malaxideae>Dendrobiinae>Dendrobium"
"Nervilieae"	"-"	158339	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae"
"Epipogiinae"	"-"	1759428	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae>Nervilieae"
"Epipogium"	"G"	449979	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae>Nervilieae>Epipogiinae"
"Epipogium roseum"	"S"	556037	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Orchidaceae>Epidendroideae>Nervilieae>Epipogiinae>Epipogium"
"Asparagaceae"	"F"	40552	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales"
"Asparagoideae"	"-"	703533	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Asparagaceae"
"Asparagus"	"G"	4685	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Asparagaceae>Asparagoideae"
"Asparagus officinalis"	"S"	4686	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Asparagales>Asparagaceae>Asparagoideae>Asparagus"
"Pandanales"	"O"	40550	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae"
"Pandanaceae"	"F"	4724	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Pandanales"
"Pandanus"	"G"	4725	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Pandanales>Pandanaceae"
"Pandanus utilis"	"S"	101712	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>Pandanales>Pandanaceae>Pandanus"
"Alismatales"	"O"	16360	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida"
"Butomaceae"	"F"	50234	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Alismatales"
"Butomus"	"G"	50235	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Alismatales>Butomaceae"
"Butomus umbellatus"	"S"	50236	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Alismatales>Butomaceae>Butomus"
"Magnoliidae"	"-"	232347	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	0.0008059	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae"
"Piperales"	"O"	16736	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	0.0008059	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Magnoliidae"
"Aristolochiaceae"	"F"	16727	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	0.0008059	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Magnoliidae>Piperales"
"Hydnora"	"G"	50132	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	0.0008059	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Magnoliidae>Piperales>Aristolochiaceae"
"Amborellales"	"O"	261009	1	NA	NA	NA	NA	1	1	NA	1	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta"
"Amborellaceae"	"F"	22097	1	NA	NA	NA	NA	1	1	NA	1	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Amborellales"
"Amborella"	"G"	13332	1	NA	NA	NA	NA	1	1	NA	1	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Amborellales>Amborellaceae"
"Amborella trichopoda"	"S"	13333	1	NA	NA	NA	NA	1	1	NA	1	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Amborellales>Amborellaceae>Amborella"
"Araucariales"	"O"	1446378	2	NA	NA	NA	NA	2	NA	NA	1	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae"
"Podocarpaceae"	"F"	3362	2	NA	NA	NA	NA	2	NA	NA	1	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Araucariales"
"Afrocarpus"	"G"	120582	2	NA	NA	NA	NA	2	NA	NA	1	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Araucariales>Podocarpaceae"
"Afrocarpus falcatus"	"S"	56897	2	NA	NA	NA	NA	2	NA	NA	1	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Araucariales>Podocarpaceae>Afrocarpus"
"Calocedrus"	"G"	13386	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Cupressales>Cupressaceae"
"Calocedrus macrolepis"	"S"	103965	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Cupressales>Cupressaceae>Calocedrus"
"Cycadidae"	"-"	1445963	5	NA	NA	NA	NA	5	3	NA	1	NA	5	NA	0.002021	NA	NA	NA	NA	0.002021	0.001079	NA	0.0003734	NA	0.002015	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae"
"Cycadales"	"O"	3297	5	NA	NA	NA	NA	5	3	NA	1	NA	5	NA	0.002021	NA	NA	NA	NA	0.002021	0.001079	NA	0.0003734	NA	0.002015	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Cycadidae"
"Cycadaceae"	"F"	3394	5	NA	NA	NA	NA	5	2	NA	1	NA	5	NA	0.002021	NA	NA	NA	NA	0.002021	0.000719	NA	0.0003734	NA	0.002015	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Cycadidae>Cycadales"
"Cycas"	"G"	3395	5	NA	NA	NA	NA	5	1	NA	1	NA	5	NA	0.002021	NA	NA	NA	NA	0.002021	0.0003595	NA	0.0003734	NA	0.002015	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Cycadidae>Cycadales>Cycadaceae"
"Ophioglossum californicum"	"S"	1267209	5	NA	NA	NA	NA	5	1	NA	2	NA	1	NA	0.002021	NA	NA	NA	NA	0.002021	0.0003595	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Ophioglossidae>Ophioglossales>Ophioglossaceae>Ophioglossoideae>Ophioglossum"
"Isoetales"	"O"	13836	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida"
"Isoetaceae"	"F"	13837	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Isoetales"
"Isoetes"	"G"	13838	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Isoetales>Isoetaceae"
"Marchantiophyta"	"-"	3195	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta"
"Jungermanniopsida"	"C"	186771	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Marchantiophyta"
"Jungermanniidae"	"-"	186782	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Marchantiophyta>Jungermanniopsida"
"Porellales"	"O"	186798	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Marchantiophyta>Jungermanniopsida>Jungermanniidae"
"Radulineae"	"-"	984497	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Marchantiophyta>Jungermanniopsida>Jungermanniidae>Porellales"
"Radulaceae"	"F"	139835	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Marchantiophyta>Jungermanniopsida>Jungermanniidae>Porellales>Radulineae"
"Radula"	"G"	139836	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Marchantiophyta>Jungermanniopsida>Jungermanniidae>Porellales>Radulineae>Radulaceae"
"Radula complanata"	"S"	139838	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Marchantiophyta>Jungermanniopsida>Jungermanniidae>Porellales>Radulineae>Radulaceae>Radula"
"Zygnemophyceae"	"C"	131209	4	NA	NA	NA	NA	2	1	NA	4	NA	3	NA	0.001494	NA	NA	NA	NA	0.0008082	0.0003595	NA	0.001494	NA	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina"
"Zygnematales"	"O"	3176	4	NA	NA	NA	NA	2	1	NA	4	NA	3	NA	0.001494	NA	NA	NA	NA	0.0008082	0.0003595	NA	0.001494	NA	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Zygnemophyceae"
"Mesotaeniaceae"	"F"	31319	3	NA	NA	NA	NA	2	1	NA	3	NA	NA	NA	0.00112	NA	NA	NA	NA	0.0008082	0.0003595	NA	0.00112	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Zygnemophyceae>Zygnematales"
"Cylindrocystis"	"G"	37306	3	NA	NA	NA	NA	2	1	NA	3	NA	NA	NA	0.00112	NA	NA	NA	NA	0.0008082	0.0003595	NA	0.00112	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Zygnemophyceae>Zygnematales>Mesotaeniaceae"
"Cylindrocystis brebissonii"	"S"	102167	3	NA	NA	NA	NA	2	1	NA	3	NA	NA	NA	0.00112	NA	NA	NA	NA	0.0008082	0.0003595	NA	0.00112	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Zygnemophyceae>Zygnematales>Mesotaeniaceae>Cylindrocystis"
"Ulvophyceae"	"C"	33103	21	NA	NA	NA	NA	21	12	NA	14	NA	9	NA	0.008486	NA	NA	NA	NA	0.008486	0.004314	NA	0.005228	NA	0.003627	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta"
"Ignatiales"	"O"	231076	12	NA	NA	NA	NA	12	9	NA	11	NA	5	NA	0.004849	NA	NA	NA	NA	0.004849	0.003236	NA	0.004108	NA	0.002015	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae"
"TCBD clade"	"-"	2546214	8	NA	NA	NA	NA	8	3	NA	2	NA	4	NA	0.003233	NA	NA	NA	NA	0.003233	0.001079	NA	0.0007469	NA	0.001612	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae"
"Bryopsidales"	"O"	33104	8	NA	NA	NA	NA	8	3	NA	2	NA	4	NA	0.003233	NA	NA	NA	NA	0.003233	0.001079	NA	0.0007469	NA	0.001612	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade"
"Bryopsidaceae"	"F"	3127	3	NA	NA	NA	NA	3	1	NA	1	NA	2	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales"
"Bryopsis"	"G"	3128	3	NA	NA	NA	NA	3	1	NA	1	NA	2	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Bryopsidaceae"
"unclassified Bryopsis"	"-"	2562701	3	NA	NA	NA	NA	3	1	NA	1	NA	2	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Bryopsidaceae>Bryopsis"
"Bryopsis sp. MX164"	"S"	1076235	3	NA	NA	NA	NA	3	1	NA	1	NA	2	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Bryopsidaceae>Bryopsis>unclassified&nbsp;Bryopsis"
"Caulerpaceae"	"F"	35432	2	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales"
"Caulerpa"	"G"	76312	2	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Caulerpaceae"
"Caulerpa racemosa"	"S"	76317	2	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Caulerpaceae>Caulerpa"
"Udoteaceae"	"F"	35435	2	NA	NA	NA	NA	2	NA	NA	1	NA	1	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales"
"Avrainvillea"	"G"	336841	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Udoteaceae"
