"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.kreport.cladeReads"	"centrifuge_classification_june_BC02.kreport.cladeReads"	"centrifuge_classification_june_BC03.kreport.cladeReads"	"centrifuge_classification_june_BC04.kreport.cladeReads"	"centrifuge_classification_june_BC05.kreport.cladeReads"	"centrifuge_classification_june_BC06.kreport.cladeReads"	"centrifuge_classification_june_BC08.kreport.cladeReads"	"centrifuge_classification_june_BC09.kreport.cladeReads"	"centrifuge_classification_june_BC10.kreport.cladeReads"	"centrifuge_classification_june_BC11.kreport.cladeReads"	"centrifuge_classification_june_BC12.kreport.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.kreport.cladeReads.."	"centrifuge_classification_june_BC02.kreport.cladeReads.."	"centrifuge_classification_june_BC03.kreport.cladeReads.."	"centrifuge_classification_june_BC04.kreport.cladeReads.."	"centrifuge_classification_june_BC05.kreport.cladeReads.."	"centrifuge_classification_june_BC06.kreport.cladeReads.."	"centrifuge_classification_june_BC08.kreport.cladeReads.."	"centrifuge_classification_june_BC09.kreport.cladeReads.."	"centrifuge_classification_june_BC10.kreport.cladeReads.."	"centrifuge_classification_june_BC11.kreport.cladeReads.."	"centrifuge_classification_june_BC12.kreport.cladeReads.."	"lineage"
"unclassified Rhizobiales"	"-"	119042	65	24	NA	27	1	65	NA	6	NA	NA	60	NA	0.625	0.01197	NA	0.01655	0.625	0.03342	NA	0.003298	NA	NA	0.06593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Pseudorhodoplanes"	"G"	1734920	39	19	NA	19	1	39	NA	6	NA	NA	29	NA	0.625	0.009474	NA	0.01165	0.625	0.02005	NA	0.003298	NA	NA	0.03187	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales"
"Pseudorhodoplanes sinuspersici"	"S"	1235591	39	19	NA	19	1	39	NA	6	NA	NA	29	NA	0.625	0.009474	NA	0.01165	0.625	0.02005	NA	0.003298	NA	NA	0.03187	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales>Pseudorhodoplanes"
"Methyloceanibacter"	"G"	1484898	24	4	NA	4	NA	19	NA	NA	NA	NA	24	NA	0.02637	0.001995	NA	0.002452	NA	0.009769	NA	NA	NA	NA	0.02637	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales"
"Methyloceanibacter caenitepidi"	"S"	1384459	24	4	NA	4	NA	19	NA	NA	NA	NA	24	NA	0.02637	0.001995	NA	0.002452	NA	0.009769	NA	NA	NA	NA	0.02637	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales>Methyloceanibacter"
"Hartmannibacter"	"G"	1572860	7	1	NA	4	NA	7	NA	NA	NA	NA	7	NA	0.007692	0.0004986	NA	0.002452	NA	0.003599	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales"
"Hartmannibacter diazotrophicus"	"S"	1482074	7	1	NA	4	NA	7	NA	NA	NA	NA	7	NA	0.007692	0.0004986	NA	0.002452	NA	0.003599	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales>Hartmannibacter"
"Methylocystaceae"	"F"	31993	23	12	1	8	NA	23	NA	NA	NA	NA	16	1	0.5435	0.005984	0.01356	0.004904	NA	0.01183	NA	NA	NA	NA	0.01758	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Methylocystis"	"G"	133	16	7	1	5	NA	16	NA	NA	NA	NA	16	NA	0.01758	0.00349	0.01356	0.003065	NA	0.008227	NA	NA	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylocystaceae"
"Methylocystis sp. SC2"	"S"	187303	7	4	1	3	NA	6	NA	NA	NA	NA	7	NA	0.01356	0.001995	0.01356	0.001839	NA	0.003085	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylocystaceae>Methylocystis"
"Methylocystis bryophila"	"S"	655015	8	2	NA	2	NA	8	NA	NA	NA	NA	8	NA	0.008791	0.0009973	NA	0.001226	NA	0.004113	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylocystaceae>Methylocystis"
"Methylosinus"	"G"	425	7	5	NA	3	NA	7	NA	NA	NA	NA	NA	1	0.5435	0.002493	NA	0.001839	NA	0.003599	NA	NA	NA	NA	NA	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylocystaceae"
"Methylosinus trichosporium"	"S"	426	7	5	NA	3	NA	7	NA	NA	NA	NA	NA	1	0.5435	0.002493	NA	0.001839	NA	0.003599	NA	NA	NA	NA	NA	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylocystaceae>Methylosinus"
"Beijerinckiaceae"	"F"	45404	16	9	2	6	NA	16	NA	NA	NA	NA	5	NA	0.02712	0.004488	0.02712	0.003678	NA	0.008227	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Beijerinckia"	"G"	532	10	6	2	3	NA	10	NA	NA	NA	NA	2	NA	0.02712	0.002992	0.02712	0.001839	NA	0.005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae"
"Beijerinckia indica"	"S"	533	10	6	2	3	NA	10	NA	NA	NA	NA	2	NA	0.02712	0.002992	0.02712	0.001839	NA	0.005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae>Beijerinckia"
"Methylocella"	"G"	120652	4	3	NA	1	NA	4	NA	NA	NA	NA	2	NA	0.002198	0.001496	NA	0.000613	NA	0.002057	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae"
"Methylocella silvestris"	"S"	199596	4	3	NA	1	NA	4	NA	NA	NA	NA	2	NA	0.002198	0.001496	NA	0.000613	NA	0.002057	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae>Methylocella"
"Aurantimonadaceae"	"F"	255475	9	9	NA	2	NA	8	NA	3	1	NA	8	NA	0.9174	0.004488	NA	0.001226	NA	0.004113	NA	0.001649	0.9174	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Martelella"	"G"	293088	9	9	NA	2	NA	8	NA	3	NA	NA	8	NA	0.008791	0.004488	NA	0.001226	NA	0.004113	NA	0.001649	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae"
"Martelella mediterranea"	"S"	293089	4	4	NA	1	NA	1	NA	3	NA	NA	2	NA	0.002198	0.001995	NA	0.000613	NA	0.0005142	NA	0.001649	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae>Martelella"
"Martelella sp. AD-3"	"S"	686597	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae>Martelella"
"Martelella endophytica"	"S"	1486262	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae>Martelella"
"Xanthobacteraceae"	"F"	335928	14	8	1	9	NA	10	NA	9	NA	NA	14	NA	0.01538	0.003989	0.01356	0.005517	NA	0.005142	NA	0.004947	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Azorhizobium"	"G"	6	7	4	NA	7	NA	2	NA	NA	NA	NA	7	NA	0.007692	0.001995	NA	0.004291	NA	0.001028	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Azorhizobium caulinodans"	"S"	7	7	4	NA	7	NA	2	NA	NA	NA	NA	7	NA	0.007692	0.001995	NA	0.004291	NA	0.001028	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae>Azorhizobium"
"Xanthobacter"	"G"	279	1	1	1	1	NA	NA	NA	NA	NA	NA	1	NA	0.01356	0.0004986	0.01356	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Xanthobacter autotrophicus"	"S"	280	1	1	1	1	NA	NA	NA	NA	NA	NA	1	NA	0.01356	0.0004986	0.01356	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae>Xanthobacter"
"Starkeya"	"G"	152053	9	1	NA	1	NA	7	NA	9	NA	NA	6	NA	0.006593	0.0004986	NA	0.000613	NA	0.003599	NA	0.004947	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Starkeya novella"	"S"	921	9	1	NA	1	NA	7	NA	9	NA	NA	6	NA	0.006593	0.0004986	NA	0.000613	NA	0.003599	NA	0.004947	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae>Starkeya"
"Brucellaceae"	"F"	118882	14	1	1	7	NA	14	NA	3	NA	NA	7	NA	0.01356	0.0004986	0.01356	0.004291	NA	0.007198	NA	0.001649	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Brucella"	"G"	234	14	1	1	5	NA	14	NA	1	NA	NA	5	NA	0.01356	0.0004986	0.01356	0.003065	NA	0.007198	NA	0.0005497	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Brucellaceae"
"Brucella vulpis"	"S"	981386	9	1	NA	5	NA	9	NA	1	NA	NA	1	NA	0.004628	0.0004986	NA	0.003065	NA	0.004628	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Brucellaceae>Brucella"
"Chelatococcaceae"	"F"	2036754	4	1	NA	1	NA	4	NA	NA	NA	NA	1	NA	0.002057	0.0004986	NA	0.000613	NA	0.002057	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Chelatococcus"	"G"	28209	4	1	NA	1	NA	4	NA	NA	NA	NA	1	NA	0.002057	0.0004986	NA	0.000613	NA	0.002057	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Chelatococcaceae"
"Chelatococcus daeguensis"	"S"	444444	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Chelatococcaceae>Chelatococcus"
"Sphingomonadales"	"O"	204457	1660	1092	57	434	3	1660	NA	100	2	NA	1601	2	1.875	0.5445	0.773	0.266	1.875	0.8535	NA	0.05497	1.835	NA	1.759	1.087	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Sphingomonadaceae"	"F"	41297	1414	968	50	382	2	1354	NA	93	1	NA	1414	2	1.554	0.4827	0.6781	0.2341	1.25	0.6962	NA	0.05112	0.9174	NA	1.554	1.087	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales"
"Sphingopyxis"	"G"	165697	759	505	28	211	NA	587	NA	6	NA	NA	759	NA	0.8341	0.2518	0.3797	0.1293	NA	0.3018	NA	0.003298	NA	NA	0.8341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingopyxis sp. LPB0140"	"S"	1913578	446	283	16	112	NA	349	NA	1	NA	NA	446	NA	0.4901	0.1411	0.217	0.06865	NA	0.1794	NA	0.0005497	NA	NA	0.4901	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis fribergensis"	"S"	1515612	185	116	3	56	NA	127	NA	2	NA	NA	185	NA	0.2033	0.05784	0.04068	0.03433	NA	0.0653	NA	0.001099	NA	NA	0.2033	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis macrogoltabida"	"S"	33050	63	50	4	16	NA	56	NA	NA	NA	NA	63	NA	0.06923	0.02493	0.05424	0.009807	NA	0.02879	NA	NA	NA	NA	0.06923	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis alaskensis"	"S"	117207	5	3	NA	1	NA	2	NA	NA	NA	NA	5	NA	0.005494	0.001496	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis terrae"	"S"	33052	4	2	1	NA	NA	4	NA	NA	NA	NA	NA	NA	0.01356	0.0009973	0.01356	NA	NA	0.002057	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis sp. 113P3"	"S"	292913	6	2	NA	2	NA	6	NA	NA	NA	NA	NA	NA	0.003085	0.0009973	NA	0.001226	NA	0.003085	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingopyxis sp. QXT-31"	"S"	1357916	2	1	1	NA	NA	2	NA	NA	NA	NA	NA	NA	0.01356	0.0004986	0.01356	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingopyxis"
"Sphingomonas"	"G"	13687	195	144	7	51	1	195	NA	76	NA	NA	178	1	0.625	0.0718	0.09493	0.03126	0.625	0.1003	NA	0.04177	NA	NA	0.1956	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingomonas sp. KC8"	"S"	1030157	61	30	NA	16	NA	43	NA	NA	NA	NA	61	NA	0.06703	0.01496	NA	0.009807	NA	0.02211	NA	NA	NA	NA	0.06703	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas panacis"	"S"	1560345	19	15	1	3	NA	7	NA	NA	NA	NA	19	NA	0.02088	0.00748	0.01356	0.001839	NA	0.003599	NA	NA	NA	NA	0.02088	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas sp. JJ-A5"	"S"	1921510	24	9	2	4	NA	24	NA	1	NA	NA	13	NA	0.02712	0.004488	0.02712	0.002452	NA	0.01234	NA	0.0005497	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas koreensis"	"S"	93064	13	8	NA	2	NA	13	NA	1	NA	NA	10	NA	0.01099	0.003989	NA	0.001226	NA	0.006684	NA	0.0005497	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas sanxanigenens"	"S"	397260	17	8	1	NA	NA	17	NA	NA	NA	NA	12	NA	0.01356	0.003989	0.01356	NA	NA	0.008741	NA	NA	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas sp. MM-1"	"S"	745310	2	2	NA	NA	1	2	NA	NA	NA	NA	1	NA	0.625	0.0009973	NA	NA	0.625	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas sp. Cra20"	"S"	1327635	12	2	NA	NA	NA	12	NA	NA	NA	NA	7	NA	0.007692	0.0009973	NA	NA	NA	0.00617	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas taxi"	"S"	1549858	2	2	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas hengshuiensis"	"S"	1609977	3	2	NA	1	NA	3	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas sp. LM7"	"S"	1938607	30	2	NA	2	NA	4	NA	30	NA	NA	5	NA	0.01649	0.0009973	NA	0.001226	NA	0.002057	NA	0.01649	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingomonas sp. LK11"	"S"	1390395	2	1	NA	1	NA	2	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Sphingobium"	"G"	165695	193	119	5	53	NA	169	NA	4	1	NA	193	1	0.9174	0.05934	0.06781	0.03249	NA	0.0869	NA	0.002199	0.9174	NA	0.2121	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingobium sp. SYK-6"	"S"	627192	22	14	NA	3	NA	18	NA	NA	NA	NA	22	NA	0.02418	0.006981	NA	0.001839	NA	0.009255	NA	NA	NA	NA	0.02418	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium sp. YBL2"	"S"	484429	21	12	1	3	NA	21	NA	NA	NA	NA	8	NA	0.01356	0.005984	0.01356	0.001839	NA	0.0108	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium hydrophobicum"	"S"	1673076	17	11	NA	1	NA	13	NA	NA	NA	NA	17	NA	0.01868	0.005485	NA	0.000613	NA	0.006684	NA	NA	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium sp. TKS"	"S"	1315974	3	3	NA	NA	NA	3	NA	NA	NA	NA	1	NA	0.001543	0.001496	NA	NA	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingobium yanoikuyae"	"S"	13690	4	2	1	2	NA	4	NA	1	NA	NA	2	NA	0.01356	0.0009973	0.01356	0.001226	NA	0.002057	NA	0.0005497	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Novosphingobium"	"G"	165696	233	109	5	23	1	233	NA	1	NA	NA	157	NA	0.625	0.05435	0.06781	0.0141	0.625	0.1198	NA	0.0005497	NA	NA	0.1725	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Novosphingobium aromaticivorans"	"S"	48935	161	71	2	16	NA	161	NA	1	NA	NA	108	NA	0.1187	0.0354	0.02712	0.009807	NA	0.08278	NA	0.0005497	NA	NA	0.1187	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Novosphingobium"
"Novosphingobium resinovorum"	"S"	158500	51	24	2	5	1	51	NA	NA	NA	NA	33	NA	0.625	0.01197	0.02712	0.003065	0.625	0.02622	NA	NA	NA	NA	0.03626	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Novosphingobium"
"Novosphingobium pentaromativorans"	"S"	205844	2	1	1	NA	NA	NA	NA	NA	NA	NA	2	NA	0.01356	0.0004986	0.01356	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Novosphingobium"
"Blastomonas"	"G"	150203	44	19	1	6	NA	44	NA	1	NA	NA	29	NA	0.03187	0.009474	0.01356	0.003678	NA	0.02262	NA	0.0005497	NA	NA	0.03187	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Blastomonas sp. RAC04"	"S"	1842535	44	19	1	6	NA	44	NA	1	NA	NA	29	NA	0.03187	0.009474	0.01356	0.003678	NA	0.02262	NA	0.0005497	NA	NA	0.03187	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Blastomonas"
"Sphingorhabdus"	"G"	1434046	28	19	NA	7	NA	18	NA	2	NA	NA	28	NA	0.03077	0.009474	NA	0.004291	NA	0.009255	NA	0.001099	NA	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingorhabdus sp. M41"	"S"	1806885	16	10	NA	1	NA	9	NA	1	NA	NA	16	NA	0.01758	0.004986	NA	0.000613	NA	0.004628	NA	0.0005497	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingorhabdus"
"Citromicrobium"	"G"	72173	13	4	NA	4	NA	13	NA	NA	NA	NA	4	NA	0.006684	0.001995	NA	0.002452	NA	0.006684	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Citromicrobium sp. JL477"	"S"	1634516	13	4	NA	4	NA	13	NA	NA	NA	NA	4	NA	0.006684	0.001995	NA	0.002452	NA	0.006684	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Citromicrobium"
"Erythrobacteraceae"	"F"	335929	259	105	5	46	1	259	NA	7	1	NA	159	NA	0.9174	0.05236	0.06781	0.0282	0.625	0.1332	NA	0.003848	0.9174	NA	0.1747	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales"
"Altererythrobacter"	"G"	361177	99	50	5	22	NA	99	NA	NA	NA	NA	70	NA	0.07692	0.02493	0.06781	0.01348	NA	0.0509	NA	NA	NA	NA	0.07692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae"
"Altererythrobacter epoxidivorans"	"S"	361183	39	27	2	16	NA	36	NA	NA	NA	NA	39	NA	0.04286	0.01346	0.02712	0.009807	NA	0.01851	NA	NA	NA	NA	0.04286	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Altererythrobacter"
"Altererythrobacter dongtanensis"	"S"	692370	18	7	1	1	NA	18	NA	NA	NA	NA	9	NA	0.01356	0.00349	0.01356	0.000613	NA	0.009255	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Altererythrobacter"
"Altererythrobacter atlanticus"	"S"	1267766	13	6	NA	2	NA	13	NA	NA	NA	NA	12	NA	0.01319	0.002992	NA	0.001226	NA	0.006684	NA	NA	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Altererythrobacter"
"Altererythrobacter ishigakiensis"	"S"	476157	5	2	NA	NA	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.0009973	NA	NA	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Altererythrobacter"
"Altererythrobacter namhicola"	"S"	645517	9	2	NA	NA	NA	9	NA	NA	NA	NA	2	NA	0.004628	0.0009973	NA	NA	NA	0.004628	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Altererythrobacter"
"Altererythrobacter mangrovi"	"S"	1982042	3	1	1	NA	NA	3	NA	NA	NA	NA	NA	NA	0.01356	0.0004986	0.01356	NA	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Altererythrobacter"
