"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC03.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC03.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Selaginellales"	"O"	3244	4	NA	NA	NA	3	NA	NA	NA	NA	2	4	NA	NA	0.001155	NA	NA	NA	0.0008043	NA	NA	NA	NA	0.0007568	0.001155	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida"
"Selaginellaceae"	"F"	3245	4	NA	NA	NA	3	NA	NA	NA	NA	2	4	NA	NA	0.001155	NA	NA	NA	0.0008043	NA	NA	NA	NA	0.0007568	0.001155	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Selaginellales"
"Selaginella"	"G"	3246	4	NA	NA	NA	3	NA	NA	NA	NA	2	4	NA	NA	0.001155	NA	NA	NA	0.0008043	NA	NA	NA	NA	0.0007568	0.001155	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Selaginellales>Selaginellaceae"
"Selaginella uncinata"	"S"	307165	4	NA	NA	NA	3	NA	NA	NA	NA	2	4	NA	NA	0.001155	NA	NA	NA	0.0008043	NA	NA	NA	NA	0.0007568	0.001155	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Selaginellales>Selaginellaceae>Selaginella"
"Anthocerotophyta"	"-"	13809	12	NA	NA	NA	4	NA	12	1	NA	8	NA	3	NA	0.005096	NA	NA	NA	0.001072	NA	0.005096	0.0003808	NA	0.003027	NA	0.001303	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta"
"Anthocerotopsida"	"C"	402688	12	NA	NA	NA	4	NA	12	1	NA	8	NA	3	NA	0.005096	NA	NA	NA	0.001072	NA	0.005096	0.0003808	NA	0.003027	NA	0.001303	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta"
"Anthocerotidae"	"-"	405585	12	NA	NA	NA	4	NA	12	1	NA	8	NA	3	NA	0.005096	NA	NA	NA	0.001072	NA	0.005096	0.0003808	NA	0.003027	NA	0.001303	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida"
"Anthocerotales"	"O"	13810	12	NA	NA	NA	4	NA	12	1	NA	8	NA	3	NA	0.005096	NA	NA	NA	0.001072	NA	0.005096	0.0003808	NA	0.003027	NA	0.001303	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae"
"Anthocerotaceae"	"F"	13811	12	NA	NA	NA	4	NA	12	1	NA	8	NA	3	NA	0.005096	NA	NA	NA	0.001072	NA	0.005096	0.0003808	NA	0.003027	NA	0.001303	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae>Anthocerotales"
"Anthoceros"	"G"	3233	12	NA	NA	NA	4	NA	12	1	NA	8	NA	3	NA	0.005096	NA	NA	NA	0.001072	NA	0.005096	0.0003808	NA	0.003027	NA	0.001303	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae>Anthocerotales>Anthocerotaceae"
"Anthoceros angustus"	"S"	48387	12	NA	NA	NA	4	NA	12	1	NA	8	NA	3	NA	0.005096	NA	NA	NA	0.001072	NA	0.005096	0.0003808	NA	0.003027	NA	0.001303	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae>Anthocerotales>Anthocerotaceae>Anthoceros"
"Coleochaetophyceae"	"C"	304573	2	NA	NA	NA	1	NA	2	2	NA	2	NA	1	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	0.0007616	NA	0.0007568	NA	0.0004342	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina"
"Coleochaetales"	"O"	204510	2	NA	NA	NA	1	NA	2	2	NA	2	NA	1	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	0.0007616	NA	0.0007568	NA	0.0004342	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Coleochaetophyceae"
"Chaetosphaeridiaceae"	"F"	160437	2	NA	NA	NA	1	NA	2	2	NA	2	NA	1	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	0.0007616	NA	0.0007568	NA	0.0004342	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Coleochaetophyceae>Coleochaetales"
"Chaetosphaeridium"	"G"	96476	2	NA	NA	NA	1	NA	2	2	NA	2	NA	1	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	0.0007616	NA	0.0007568	NA	0.0004342	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Coleochaetophyceae>Coleochaetales>Chaetosphaeridiaceae"
"Chaetosphaeridium globosum"	"S"	96477	2	NA	NA	NA	1	NA	2	2	NA	2	NA	1	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	0.0007616	NA	0.0007568	NA	0.0004342	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Coleochaetophyceae>Coleochaetales>Chaetosphaeridiaceae>Chaetosphaeridium"
"Neoteleostei"	"-"	123365	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha"
"Eurypterygia"	"-"	123366	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei"
"Ctenosquamata"	"-"	123367	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia"
"Acanthomorphata"	"-"	123368	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata"
"Euacanthomorphacea"	"-"	123369	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata"
"Percomorphaceae"	"-"	1489872	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea"
"Eupercaria"	"-"	1489922	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae"
"Eupercaria incertae sedis"	"-"	1489923	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria"
"Sciaenidae"	"F"	30870	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Eupercaria&nbsp;incertae&nbsp;sedis"
"Larimichthys"	"G"	215357	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Eupercaria&nbsp;incertae&nbsp;sedis>Sciaenidae"
"Larimichthys crocea"	"S"	215358	2	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	0.0005173	NA	NA	NA	0.0002681	NA	NA	NA	0.0005173	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Eupercaria&nbsp;incertae&nbsp;sedis>Sciaenidae>Larimichthys"
"Mammalia"	"C"	40674	2	NA	NA	NA	2	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0005362	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota"
"Theria"	"-"	32525	2	NA	NA	NA	2	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0005362	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia"
"Eutheria"	"-"	9347	2	NA	NA	NA	2	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0005362	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria"
"Boreoeutheria"	"-"	1437010	2	NA	NA	NA	2	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0005362	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria"
"Laurasiatheria"	"-"	314145	2	NA	NA	NA	1	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria"
"Carnivora"	"O"	33554	2	NA	NA	NA	1	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria"
"Caniformia"	"-"	379584	2	NA	NA	NA	1	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Carnivora"
"Ailuridae"	"F"	379582	2	NA	NA	NA	1	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Carnivora>Caniformia"
"Ailurus"	"G"	9648	2	NA	NA	NA	1	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Carnivora>Caniformia>Ailuridae"
"Ailurus fulgens"	"S"	9649	2	NA	NA	NA	1	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Carnivora>Caniformia>Ailuridae>Ailurus"
"Ailurus fulgens styani"	"-"	424585	2	NA	NA	NA	1	NA	2	NA	1	1	NA	NA	NA	0.0008493	NA	NA	NA	0.0002681	NA	0.0008493	NA	0.0002587	0.0003784	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Carnivora>Caniformia>Ailuridae>Ailurus>Ailurus&nbsp;fulgens"
"Euarchontoglires"	"-"	314146	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria"
"Primates"	"O"	9443	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires"
"Haplorrhini"	"-"	376913	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates"
"Simiiformes"	"-"	314293	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini"
"Catarrhini"	"-"	9526	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes"
"Hominoidea"	"-"	314295	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini"
"Hominidae"	"F"	9604	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea"
"Homininae"	"-"	207598	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae"
"Homo"	"G"	9605	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae"
"Homo sapiens"	"S"	9606	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"Paussinae"	"-"	71520	3	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	0.0008043	NA	NA	NA	0.0008043	NA	NA	0.0003808	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea>Carabidae"
"Paussini"	"-"	63891	2	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	0.0005362	NA	NA	NA	0.0005362	NA	NA	0.0003808	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea>Carabidae>Paussinae"
"Arthropterus"	"G"	63892	2	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	0.0005362	NA	NA	NA	0.0005362	NA	NA	0.0003808	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea>Carabidae>Paussinae>Paussini"
"Ozaenini"	"-"	63893	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002681	NA	NA	NA	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Adephaga>Caraboidea>Carabidae>Paussinae"
