"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Burkholderia cepacia"	"S"	292	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia multivorans"	"S"	87883	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia sp. A112B2"	"S"	1502835	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Pandoraea"	"G"	93217	4	NA	NA	NA	NA	4	NA	NA	NA	NA	2	NA	0.00224	NA	NA	NA	NA	0.002079	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Pandoraea sp. KBA2RM2"	"S"	474406	4	NA	NA	NA	NA	4	NA	NA	NA	NA	2	NA	0.00224	NA	NA	NA	NA	0.002079	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Pandoraea"
"Polynucleobacter necessarius"	"S"	576610	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Polynucleobacter"
"Polynucleobacter necessarius STIR1"	"-"	452638	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Polynucleobacter>Polynucleobacter&nbsp;necessarius"
"Ralstonia"	"G"	48736	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Ralstonia sp. KACC 91255"	"S"	942514	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Ralstonia"
"environmental samples"	"-"	182689	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter"
"uncultured Achromobacter sp."	"S"	182690	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter>environmental&nbsp;samples"
"Achromobacter sp. PYD-5"	"S"	551300	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter"
"Janthinobacterium"	"G"	29580	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.00156	NA	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"Janthinobacterium sp. 286"	"S"	697390	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"environmental samples"	"-"	88215	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"uncultured Janthinobacterium sp."	"S"	242828	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium>environmental&nbsp;samples"
"unclassified Oxalobacteraceae"	"-"	119059	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.00224	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"Aquaspirillum arcticum"	"S"	87645	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.00224	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>unclassified&nbsp;Oxalobacteraceae"
"Massilia"	"G"	149698	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"Massilia sp. THG-M10"	"S"	1534502	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Comamonas kerstersii"	"S"	225992	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Polaromonas"	"G"	52972	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.00112	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	140984	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"uncultured Polaromonas sp."	"S"	225016	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>environmental&nbsp;samples"
"Verminephrobacter"	"G"	364316	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	565224	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"uncultured Verminephrobacter sp."	"S"	565225	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>environmental&nbsp;samples"
"uncultured bacterium GKS2-122"	"S"	124629	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"Nitrosomonadales"	"O"	32003	3	NA	NA	NA	NA	2	NA	NA	1	NA	3	NA	0.00336	NA	NA	NA	NA	0.00104	NA	NA	0.0005501	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Nitrosomonadaceae"	"F"	206379	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.00112	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales"
"Nitrosomonas"	"G"	914	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.00112	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae"
"Nitrosomonas marina"	"S"	917	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae>Nitrosomonas"
"Nitrosovibrio"	"G"	1232	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae"
"Nitrosovibrio sp. RY3C"	"S"	158584	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae>Nitrosovibrio"
"environmental samples"	"-"	127736	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"uncultured Xanthomonadaceae bacterium"	"S"	211441	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae>environmental&nbsp;samples"
"Frateuria"	"G"	70411	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Frateuria aurantia"	"S"	81475	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae>Frateuria"
"Tahibacter"	"G"	1453544	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Tahibacter aquaticus"	"S"	520092	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae>Tahibacter"
"Enterobacter sp. B2-DHA"	"S"	1446363	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter"
"Klebsiella"	"G"	570	28	NA	NA	NA	NA	1	NA	NA	28	NA	NA	NA	0.0154	NA	NA	NA	NA	0.0005199	NA	NA	0.0154	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Klebsiella pneumoniae"	"S"	573	20	NA	NA	NA	NA	1	NA	NA	20	NA	NA	NA	0.011	NA	NA	NA	NA	0.0005199	NA	NA	0.011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella"
"environmental samples"	"-"	47938	40	NA	NA	NA	NA	1	NA	NA	40	NA	1	NA	0.022	NA	NA	NA	NA	0.0005199	NA	NA	0.022	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"uncultured Enterobacteriaceae bacterium"	"S"	218034	40	NA	NA	NA	NA	1	NA	NA	40	NA	1	NA	0.022	NA	NA	NA	NA	0.0005199	NA	NA	0.022	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>environmental&nbsp;samples"
"Proteus"	"G"	583	5	NA	NA	NA	NA	1	NA	NA	5	NA	NA	NA	0.00275	NA	NA	NA	NA	0.0005199	NA	NA	0.00275	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae"
"Proteus hauseri"	"S"	183417	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae>Proteus"
"Pseudomonas sp. BAB-3159"	"S"	1439490	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"environmental samples"	"-"	62104	3	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.00336	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"uncultured Pseudomonas sp."	"S"	114707	3	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.00336	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>environmental&nbsp;samples"
"Pseudomonas sp. AM4"	"S"	376928	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.00112	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Acinetobacter sp. SRR-55"	"S"	430865	3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.00156	NA	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Acinetobacter sp. zf-104-II"	"S"	394346	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Acinetobacter junii"	"S"	40215	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Pseudoalteromonas sp. ZXY12VA14"	"S"	1797075	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas"
"Vibrio sp. Disc5"	"S"	1729597	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"unclassified Halomonadaceae"	"-"	38769	1	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	0.00112	NA	NA	NA	NA	0.0005199	NA	NA	0.0005501	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"bacterium 44E3"	"S"	414480	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>unclassified&nbsp;Halomonadaceae"
"Cobetia"	"G"	204286	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Cobetia sp."	"S"	1873876	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Cobetia"
"Legionellales"	"O"	118969	5	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	0.005599	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellaceae"	"F"	118968	4	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	0.004479	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales"
"Rickettsiella"	"G"	59195	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00224	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Coxiellaceae"
"Rickettsiella grylli"	"S"	59196	2	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00224	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Coxiellaceae>Rickettsiella"
"Methylococcales"	"O"	135618	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylothermaceae"	"F"	1486721	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"Methylothermus"	"G"	317574	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylothermaceae"
"Methylothermus thermalis"	"S"	317575	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylothermaceae>Methylothermus"
"Aeromonas hydrophila"	"S"	644	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae>Aeromonas"
"Cystobacterineae"	"-"	80811	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales"
"Myxococcaceae"	"F"	31	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Cystobacterineae"
"Myxococcus"	"G"	32	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Cystobacterineae>Myxococcaceae"
"Myxococcus sp. HBUM WH089s-1"	"S"	473246	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Cystobacterineae>Myxococcaceae>Myxococcus"
"Epsilonproteobacteria"	"C"	29547	1	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	0.00112	NA	NA	NA	NA	0.0005199	NA	NA	0.0005501	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions"
"Campylobacterales"	"O"	213849	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0005501	NA	NA	NA	NA	0.0005199	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria"
"Campylobacteraceae"	"F"	72294	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales"
"Arcobacter group"	"-"	2321108	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae"
"Arcobacter"	"G"	28196	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group"
"Arcobacter cryaerophilus"	"S"	28198	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter"
"unclassified Proteobacteria"	"-"	32045	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"unclassified Proteobacteria (miscellaneous)"	"-"	81684	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>unclassified&nbsp;Proteobacteria"
"proteobacterium BAB-3115"	"S"	1439502	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>unclassified&nbsp;Proteobacteria>unclassified&nbsp;Proteobacteria&nbsp;(miscellaneous)"
"Bacillus sp. SGE191(2010)"	"S"	865529	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.00224	NA	NA	NA	NA	0.00104	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
