"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.cladeReads"	"centrifuge_classification_june_BC02.cladeReads"	"centrifuge_classification_june_BC03.cladeReads"	"centrifuge_classification_june_BC04.cladeReads"	"centrifuge_classification_june_BC05.cladeReads"	"centrifuge_classification_june_BC06.cladeReads"	"centrifuge_classification_june_BC07.cladeReads"	"centrifuge_classification_june_BC08.cladeReads"	"centrifuge_classification_june_BC09.cladeReads"	"centrifuge_classification_june_BC10.cladeReads"	"centrifuge_classification_june_BC11.cladeReads"	"centrifuge_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.cladeReads.."	"centrifuge_classification_june_BC02.cladeReads.."	"centrifuge_classification_june_BC03.cladeReads.."	"centrifuge_classification_june_BC04.cladeReads.."	"centrifuge_classification_june_BC05.cladeReads.."	"centrifuge_classification_june_BC06.cladeReads.."	"centrifuge_classification_june_BC07.cladeReads.."	"centrifuge_classification_june_BC08.cladeReads.."	"centrifuge_classification_june_BC09.cladeReads.."	"centrifuge_classification_june_BC10.cladeReads.."	"centrifuge_classification_june_BC11.cladeReads.."	"centrifuge_classification_june_BC12.cladeReads.."	"lineage"
"Candidatus Liberibacter asiaticus str. gxpsy"	"-"	1174529	2	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter>Candidatus&nbsp;Liberibacter&nbsp;asiaticus"
"Candidatus Liberibacter americanus"	"S"	309868	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter"
"Candidatus Liberibacter americanus str. Sao Paulo"	"-"	1261131	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter>Candidatus&nbsp;Liberibacter&nbsp;americanus"
"Rhizobium/Agrobacterium group"	"-"	227290	93	28	5	7	NA	74	1	NA	1	NA	NA	93	1	0.8929	0.01397	0.07123	0.00431	NA	0.03847	0.8929	NA	0.0005501	NA	NA	0.1041	0.5952	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Agrobacterium"	"G"	357	47	11	2	2	NA	30	NA	NA	NA	NA	NA	47	NA	0.05263	0.00549	0.02849	0.001232	NA	0.0156	NA	NA	NA	NA	NA	0.05263	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Agrobacterium sp. RAC06"	"S"	1842536	11	5	NA	1	NA	11	NA	NA	NA	NA	NA	11	NA	0.01232	0.002495	NA	0.0006158	NA	0.005719	NA	NA	NA	NA	NA	0.01232	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium vitis"	"S"	373	17	4	1	NA	NA	10	NA	NA	NA	NA	NA	17	NA	0.01904	0.001996	0.01425	NA	NA	0.005199	NA	NA	NA	NA	NA	0.01904	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium vitis S4"	"-"	311402	17	4	1	NA	NA	10	NA	NA	NA	NA	NA	17	NA	0.01904	0.001996	0.01425	NA	NA	0.005199	NA	NA	NA	NA	NA	0.01904	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>Agrobacterium&nbsp;vitis"
"Rhizobium"	"G"	379	27	9	1	1	NA	27	1	NA	1	NA	NA	27	1	0.8929	0.004492	0.01425	0.0006158	NA	0.01404	0.8929	NA	0.0005501	NA	NA	0.03024	0.5952	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Rhizobium sp. ACO-34A"	"S"	1571470	26	7	1	1	NA	26	NA	NA	NA	NA	NA	24	NA	0.02688	0.003494	0.01425	0.0006158	NA	0.01352	NA	NA	NA	NA	NA	0.02688	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. NT-26"	"S"	1125847	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Neorhizobium"	"G"	1525371	13	7	NA	2	NA	10	NA	NA	NA	NA	NA	13	NA	0.01456	0.003494	NA	0.001232	NA	0.005199	NA	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Neorhizobium sp. SOG26"	"S"	2060726	5	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	0.002599	0.001996	NA	NA	NA	0.002599	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Neorhizobium galegae"	"S"	399	8	2	NA	1	NA	1	NA	NA	NA	NA	NA	8	NA	0.008959	0.0009982	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	0.008959	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Neorhizobium sp. NCHU2750"	"S"	1825976	4	1	NA	1	NA	1	NA	NA	NA	NA	NA	4	NA	0.004479	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Shinella"	"G"	323620	13	6	NA	3	NA	3	NA	NA	NA	NA	NA	13	NA	0.01456	0.002994	NA	0.001847	NA	0.00156	NA	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Shinella sp. HZN7"	"S"	879274	13	6	NA	3	NA	3	NA	NA	NA	NA	NA	13	NA	0.01456	0.002994	NA	0.001847	NA	0.00156	NA	NA	NA	NA	NA	0.01456	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Shinella"
"Sinorhizobium/Ensifer group"	"-"	227292	13	4	NA	NA	NA	13	NA	NA	1	NA	NA	12	NA	0.01344	0.001996	NA	NA	NA	0.006758	NA	NA	0.0005501	NA	NA	0.01344	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Sinorhizobium"	"G"	28105	8	4	NA	NA	NA	8	NA	NA	1	NA	NA	8	NA	0.008959	0.001996	NA	NA	NA	0.004159	NA	NA	0.0005501	NA	NA	0.008959	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group"
"Sinorhizobium sp. RAC02"	"S"	1842534	5	2	NA	NA	NA	5	NA	NA	1	NA	NA	5	NA	0.005599	0.0009982	NA	NA	NA	0.002599	NA	NA	0.0005501	NA	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium"
"Sinorhizobium meliloti"	"S"	382	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.00104	0.0004991	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium"
"Sinorhizobium meliloti AK83"	"-"	693982	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.00104	0.0004991	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium>Sinorhizobium&nbsp;meliloti"
"Phyllobacteriaceae"	"F"	69277	90	54	1	45	NA	90	NA	NA	3	NA	NA	63	NA	0.07055	0.02695	0.01425	0.02771	NA	0.04679	NA	NA	0.00165	NA	NA	0.07055	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Hoeflea"	"G"	274591	25	25	NA	21	NA	16	NA	NA	1	NA	NA	6	NA	0.01293	0.01248	NA	0.01293	NA	0.008318	NA	NA	0.0005501	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Hoeflea sp. IMCC20628"	"S"	1620421	25	25	NA	21	NA	16	NA	NA	1	NA	NA	6	NA	0.01293	0.01248	NA	0.01293	NA	0.008318	NA	NA	0.0005501	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Hoeflea"
"Mesorhizobium"	"G"	68287	33	12	NA	18	NA	32	NA	NA	1	NA	NA	33	NA	0.03696	0.005989	NA	0.01108	NA	0.01664	NA	NA	0.0005501	NA	NA	0.03696	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1"	"S"	2493671	6	3	NA	2	NA	6	NA	NA	NA	NA	NA	1	NA	0.003119	0.001497	NA	0.001232	NA	0.003119	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2"	"S"	2493668	6	2	NA	2	NA	3	NA	NA	NA	NA	NA	6	NA	0.006719	0.0009982	NA	0.001232	NA	0.00156	NA	NA	NA	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium loti"	"S"	381	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium loti NZP2037"	"-"	935546	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium>Mesorhizobium&nbsp;loti"
"Mesorhizobium amorphae"	"S"	71433	4	1	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002079	0.0004991	NA	NA	NA	0.002079	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium amorphae CCNWGS0123"	"-"	1082933	4	1	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002079	0.0004991	NA	NA	NA	0.002079	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium>Mesorhizobium&nbsp;amorphae"
"Mesorhizobium opportunistum"	"S"	593909	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium opportunistum WSM2075"	"-"	536019	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium>Mesorhizobium&nbsp;opportunistum"
"Mesorhizobium japonicum"	"S"	2066070	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium japonicum MAFF 303099"	"-"	266835	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium>Mesorhizobium&nbsp;japonicum"
"Nitratireductor"	"G"	245876	20	8	1	3	NA	20	NA	NA	NA	NA	NA	11	NA	0.01425	0.003993	0.01425	0.001847	NA	0.0104	NA	NA	NA	NA	NA	0.01232	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Nitratireductor basaltis"	"S"	472175	13	5	NA	2	NA	13	NA	NA	NA	NA	NA	1	NA	0.006758	0.002495	NA	0.001232	NA	0.006758	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Nitratireductor"
"Nitratireductor sp. OM-1"	"S"	1756988	7	3	1	1	NA	7	NA	NA	NA	NA	NA	7	NA	0.01425	0.001497	0.01425	0.0006158	NA	0.003639	NA	NA	NA	NA	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Nitratireductor"
"Phyllobacterium"	"G"	28100	12	6	NA	2	NA	12	NA	NA	NA	NA	NA	6	NA	0.006719	0.002994	NA	0.001232	NA	0.006238	NA	NA	NA	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Phyllobacterium zundukense"	"S"	1867719	12	6	NA	2	NA	12	NA	NA	NA	NA	NA	6	NA	0.006719	0.002994	NA	0.001232	NA	0.006238	NA	NA	NA	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Phyllobacterium"
"Aminobacter"	"G"	31988	7	1	NA	NA	NA	7	NA	NA	NA	NA	NA	7	NA	0.007839	0.0004991	NA	NA	NA	0.003639	NA	NA	NA	NA	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Chelativorans"	"G"	449972	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae"
"Chelativorans sp. BNC1"	"S"	266779	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Chelativorans"
"Bradyrhizobiaceae"	"F"	41294	57	48	4	26	NA	33	NA	NA	5	2	1	57	NA	1.786	0.02396	0.05698	0.01601	NA	0.01716	NA	NA	0.00275	1.667	1.786	0.06383	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Bradyrhizobium"	"G"	374	24	24	2	8	NA	7	NA	NA	1	1	NA	12	NA	0.8333	0.01198	0.02849	0.004926	NA	0.003639	NA	NA	0.0005501	0.8333	NA	0.01344	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae"
"Bradyrhizobium icense"	"S"	1274631	6	6	1	NA	NA	2	NA	NA	NA	NA	NA	2	NA	0.01425	0.002994	0.01425	NA	NA	0.00104	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium japonicum"	"S"	375	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001497	0.001497	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium sp. CCGE-LA001"	"S"	1223566	3	2	NA	3	NA	NA	NA	NA	NA	NA	NA	3	NA	0.00336	0.0009982	NA	0.001847	NA	NA	NA	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium sp. SK17"	"S"	2057741	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.00224	0.0009982	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium sp."	"S"	376	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium oligotrophicum"	"S"	44255	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium oligotrophicum S58"	"-"	1245469	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium>Bradyrhizobium&nbsp;oligotrophicum"
"Bradyrhizobium sp. ORS 278"	"S"	114615	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005199	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium sp. ORS 285"	"S"	115808	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 51778"	"S"	1325107	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Bosea"	"G"	85413	25	10	1	4	NA	8	NA	NA	4	NA	NA	25	NA	0.028	0.004991	0.01425	0.002463	NA	0.004159	NA	NA	0.0022	NA	NA	0.028	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae"
"Bosea sp. Tri-49"	"S"	1867715	3	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001847	0.0009982	NA	0.001847	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bosea"
"Bosea sp. AS-1"	"S"	2015316	3	2	NA	NA	NA	2	NA	NA	NA	NA	NA	3	NA	0.00336	0.0009982	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bosea"
"Bosea sp. PAMC 26642"	"S"	1792307	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.00336	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bosea"
"Bosea sp. RAC05"	"S"	1842539	11	1	NA	NA	NA	4	NA	NA	1	NA	NA	11	NA	0.01232	0.0004991	NA	NA	NA	0.002079	NA	NA	0.0005501	NA	NA	0.01232	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bosea"
"Rhodopseudomonas"	"G"	1073	6	5	NA	3	NA	2	NA	NA	NA	1	1	6	NA	1.786	0.002495	NA	0.001847	NA	0.00104	NA	NA	NA	0.8333	1.786	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae"
"Rhodopseudomonas palustris"	"S"	1076	6	5	NA	3	NA	2	NA	NA	NA	1	1	6	NA	1.786	0.002495	NA	0.001847	NA	0.00104	NA	NA	NA	0.8333	1.786	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Rhodopseudomonas"
"Rhodopseudomonas palustris BisB18"	"-"	316056	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.00104	0.0009982	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Rhodopseudomonas>Rhodopseudomonas&nbsp;palustris"
"Rhodopseudomonas palustris BisA53"	"-"	316055	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1.786	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	1.786	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Rhodopseudomonas>Rhodopseudomonas&nbsp;palustris"
"Nitrobacter"	"G"	911	5	3	NA	3	NA	5	NA	NA	NA	NA	NA	2	NA	0.002599	0.001497	NA	0.001847	NA	0.002599	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae"
"Nitrobacter winogradskyi"	"S"	913	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001497	0.001497	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Nitrobacter"
"Nitrobacter winogradskyi Nb-255"	"-"	323098	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001497	0.001497	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Nitrobacter>Nitrobacter&nbsp;winogradskyi"
"Oligotropha"	"G"	40136	4	2	NA	4	NA	1	NA	NA	NA	NA	NA	2	NA	0.002463	0.0009982	NA	0.002463	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae"
"Oligotropha carboxidovorans"	"S"	40137	4	2	NA	4	NA	1	NA	NA	NA	NA	NA	2	NA	0.002463	0.0009982	NA	0.002463	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Oligotropha"
"Oligotropha carboxidovorans OM5"	"-"	504832	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Oligotropha>Oligotropha&nbsp;carboxidovorans"
"Variibacter"	"G"	1649510	5	1	NA	NA	NA	5	NA	NA	NA	NA	NA	4	NA	0.004479	0.0004991	NA	NA	NA	0.002599	NA	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae"
"Variibacter gotjawalensis"	"S"	1333996	5	1	NA	NA	NA	5	NA	NA	NA	NA	NA	4	NA	0.004479	0.0004991	NA	NA	NA	0.002599	NA	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Variibacter"
"unclassified Rhizobiales"	"-"	119042	75	37	2	20	NA	75	NA	1	4	NA	NA	48	NA	1.562	0.01847	0.02849	0.01232	NA	0.03899	NA	1.562	0.0022	NA	NA	0.05375	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
