"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_april_BC01.cladeReads"	"kraken2_16s_classification_april_BC02.cladeReads"	"kraken2_16s_classification_april_BC03.cladeReads"	"kraken2_16s_classification_april_BC04.cladeReads"	"kraken2_16s_classification_april_BC05.cladeReads"	"kraken2_16s_classification_april_BC06.cladeReads"	"kraken2_16s_classification_april_BC07.cladeReads"	"kraken2_16s_classification_april_BC08.cladeReads"	"kraken2_16s_classification_april_BC09.cladeReads"	"kraken2_16s_classification_april_BC10.cladeReads"	"kraken2_16s_classification_april_BC11.cladeReads"	"kraken2_16s_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_april_BC01.cladeReads.."	"kraken2_16s_classification_april_BC02.cladeReads.."	"kraken2_16s_classification_april_BC03.cladeReads.."	"kraken2_16s_classification_april_BC04.cladeReads.."	"kraken2_16s_classification_april_BC05.cladeReads.."	"kraken2_16s_classification_april_BC06.cladeReads.."	"kraken2_16s_classification_april_BC07.cladeReads.."	"kraken2_16s_classification_april_BC08.cladeReads.."	"kraken2_16s_classification_april_BC09.cladeReads.."	"kraken2_16s_classification_april_BC10.cladeReads.."	"kraken2_16s_classification_april_BC11.cladeReads.."	"kraken2_16s_classification_april_BC12.cladeReads.."	"lineage"
"Thalassotalea"	"G"	11506	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	0.0002869	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Colwelliaceae"
"Sinobacterium"	"G"	14627	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	0.0002869	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Spongiibacteraceae"
"Pseudohaliea"	"G"	11535	14	NA	NA	3	14	NA	NA	3	NA	NA	5	2	NA	0.004017	NA	NA	0.001271	0.004017	NA	NA	0.001216	NA	NA	0.001577	0.0009132	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Luminiphilus"	"G"	11533	2	NA	NA	2	2	NA	NA	NA	NA	NA	1	NA	NA	0.0008474	NA	NA	0.0008474	0.0005738	NA	NA	NA	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"uncultured"	"G"	11527	12	NA	NA	5	12	NA	NA	4	NA	1	3	2	NA	0.003443	NA	NA	0.002118	0.003443	NA	NA	0.001621	NA	0.000394	0.0009462	0.0009132	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae"
"Porticoccaceae"	"F"	11538	204	NA	NA	5	204	NA	1	1	NA	1	8	3	NA	0.05853	NA	NA	0.002118	0.05853	NA	0.0004417	0.0004053	NA	0.000394	0.002523	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"Porticoccus"	"G"	11540	145	NA	NA	3	145	NA	1	1	NA	NA	3	NA	NA	0.0416	NA	NA	0.001271	0.0416	NA	0.0004417	0.0004053	NA	NA	0.0009462	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"C1-B045"	"G"	11539	48	NA	NA	2	48	NA	NA	NA	NA	1	3	3	NA	0.01377	NA	NA	0.0008474	0.01377	NA	NA	NA	NA	0.000394	0.0009462	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"Microbulbiferaceae"	"F"	11536	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"Microbulbifer"	"G"	11537	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Microbulbiferaceae"
"Competibacterales"	"O"	26607	264	NA	NA	30	264	NA	5	18	NA	1	43	NA	NA	0.07574	NA	NA	0.01271	0.07574	NA	0.002208	0.007295	NA	0.000394	0.01356	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Competibacteraceae"	"F"	26608	264	NA	NA	30	264	NA	5	18	NA	1	43	NA	NA	0.07574	NA	NA	0.01271	0.07574	NA	0.002208	0.007295	NA	0.000394	0.01356	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales"
"Candidatus Competibacter"	"G"	26609	261	NA	NA	26	261	NA	5	17	NA	1	43	NA	NA	0.07488	NA	NA	0.01102	0.07488	NA	0.002208	0.00689	NA	0.000394	0.01356	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales>Competibacteraceae"
"Plasticicumulans"	"G"	26611	4	NA	NA	4	2	NA	NA	1	NA	NA	NA	NA	NA	0.001695	NA	NA	0.001695	0.0005738	NA	NA	0.0004053	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales>Competibacteraceae"
"Pasteurella"	"G"	3705	5	NA	NA	2	5	NA	NA	1	NA	NA	NA	NA	NA	0.001434	NA	NA	0.0008474	0.001434	NA	NA	0.0004053	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Aggregatibacter"	"G"	3691	2	NA	NA	2	NA	NA	NA	NA	2	1	NA	NA	NA	0.0008474	NA	NA	0.0008474	NA	NA	NA	NA	0.0005232	0.000394	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Phocoenobacter"	"G"	3706	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	0.0004566	NA	NA	0.0004237	NA	NA	NA	0.0004053	NA	NA	NA	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"uncultured"	"G"	3708	3	NA	NA	1	3	NA	NA	NA	NA	NA	1	NA	NA	0.0008607	NA	NA	0.0004237	0.0008607	NA	NA	NA	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Avibacterium"	"G"	3692	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Chelonobacter"	"G"	3696	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Milano-WF1B-03"	"G"	26709	6	NA	NA	2	6	NA	NA	NA	1	1	NA	NA	NA	0.001721	NA	NA	0.0008474	0.001721	NA	NA	NA	0.0002616	0.000394	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methylomonas"	"G"	26703	2	NA	NA	2	1	NA	1	2	NA	NA	1	NA	NA	0.0008474	NA	NA	0.0008474	0.0002869	NA	0.0004417	0.0008106	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Crenothrix"	"G"	26695	3	NA	NA	2	3	NA	NA	2	NA	NA	3	NA	NA	0.0009462	NA	NA	0.0008474	0.0008607	NA	NA	0.0008106	NA	NA	0.0009462	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methyloprofundus"	"G"	26704	2	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005738	NA	NA	0.0004237	0.0005738	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methylobacter"	"G"	26699	3	NA	NA	1	3	NA	NA	NA	NA	NA	3	NA	NA	0.0009462	NA	NA	0.0004237	0.0008607	NA	NA	NA	NA	NA	0.0009462	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Marine Methylotrophic Group 2"	"G"	26698	4	NA	NA	1	4	NA	1	1	NA	NA	4	NA	NA	0.001262	NA	NA	0.0004237	0.001148	NA	0.0004417	0.0004053	NA	NA	0.001262	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methylococcaceae"	"F"	3571	15	NA	NA	3	15	NA	1	3	NA	NA	6	NA	NA	0.004303	NA	NA	0.001271	0.004303	NA	0.0004417	0.001216	NA	NA	0.001892	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"uncultured"	"G"	3586	4	NA	NA	2	3	NA	NA	NA	NA	NA	4	NA	NA	0.001262	NA	NA	0.0008474	0.0008607	NA	NA	NA	NA	NA	0.001262	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae"
"Methylocaldum"	"G"	3573	1	NA	NA	1	NA	NA	1	1	NA	NA	1	NA	NA	0.0004417	NA	NA	0.0004237	NA	NA	0.0004417	0.0004053	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae"
"Run-SP154"	"O"	3725	223	NA	NA	12	223	NA	9	10	1	2	54	6	NA	0.06398	NA	NA	0.005084	0.06398	NA	0.003975	0.004053	0.0002616	0.0007881	0.01703	0.00274	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"PLTA13"	"O"	26796	47	NA	NA	12	35	NA	11	11	NA	7	47	8	NA	0.01482	NA	NA	0.005084	0.01004	NA	0.004859	0.004458	NA	0.002758	0.01482	0.003653	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidithiobacillales"	"O"	3307	37	NA	NA	9	37	NA	2	4	3	1	4	3	NA	0.01062	NA	NA	0.003813	0.01062	NA	0.0008834	0.001621	0.0007849	0.000394	0.001262	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidithiobacillaceae"	"F"	3309	37	NA	NA	9	37	NA	2	4	3	1	4	3	NA	0.01062	NA	NA	0.003813	0.01062	NA	0.0008834	0.001621	0.0007849	0.000394	0.001262	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales"
"Acidithiobacillus"	"G"	3310	26	NA	NA	7	26	NA	2	4	3	NA	3	3	NA	0.007459	NA	NA	0.002966	0.007459	NA	0.0008834	0.001621	0.0007849	NA	0.0009462	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"KCM-B-112"	"G"	26301	11	NA	NA	2	11	NA	NA	NA	NA	1	1	NA	NA	0.003156	NA	NA	0.0008474	0.003156	NA	NA	NA	NA	0.000394	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"Nevskia"	"G"	26819	19	NA	NA	1	19	NA	1	1	NA	2	7	1	NA	0.005451	NA	NA	0.0004237	0.005451	NA	0.0004417	0.0004053	NA	0.0007881	0.002208	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales>Solimonadaceae"
"Hydrocarboniphaga"	"G"	26818	8	NA	NA	1	8	NA	NA	1	NA	NA	1	NA	NA	0.002295	NA	NA	0.0004237	0.002295	NA	NA	0.0004053	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales>Solimonadaceae"
"Salinisphaeraceae"	"F"	3729	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	0.000394	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales"
"Salinisphaera"	"G"	3730	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	0.000394	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales>Salinisphaeraceae"
"Thiomicrospirales"	"O"	26843	31	NA	NA	8	31	NA	NA	3	NA	2	1	3	NA	0.008894	NA	NA	0.00339	0.008894	NA	NA	0.001216	NA	0.0007881	0.0003154	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thioglobaceae"	"F"	26844	21	NA	NA	5	21	NA	NA	3	NA	2	1	3	NA	0.006025	NA	NA	0.002118	0.006025	NA	NA	0.001216	NA	0.0007881	0.0003154	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales"
"SUP05 cluster"	"G"	26850	13	NA	NA	5	13	NA	NA	3	NA	2	1	3	NA	0.00373	NA	NA	0.002118	0.00373	NA	NA	0.001216	NA	0.0007881	0.0003154	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thioglobaceae"
"Thiomicrospiraceae"	"F"	26852	9	NA	NA	2	9	NA	NA	NA	NA	NA	NA	NA	NA	0.002582	NA	NA	0.0008474	0.002582	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales"
"Thiomicrorhabdus"	"G"	26856	4	NA	NA	2	4	NA	NA	NA	NA	NA	NA	NA	NA	0.001148	NA	NA	0.0008474	0.001148	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thiomicrospiraceae"
"Thiocapsa"	"G"	3429	9	NA	NA	1	3	NA	NA	NA	NA	NA	9	NA	NA	0.002839	NA	NA	0.0004237	0.0008607	NA	NA	NA	NA	NA	0.002839	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Isochromatium"	"G"	3420	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	0.0002869	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Halochromatium"	"G"	3419	3	NA	NA	1	3	NA	NA	NA	NA	1	1	NA	NA	0.0008607	NA	NA	0.0004237	0.0008607	NA	NA	NA	NA	0.000394	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Candidatus Thiobios"	"G"	26602	3	NA	NA	1	3	NA	3	NA	NA	1	1	NA	NA	0.001325	NA	NA	0.0004237	0.0008607	NA	0.001325	NA	NA	0.000394	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Sedimenticolaceae"	"F"	26603	2	NA	NA	1	2	NA	1	NA	NA	NA	NA	NA	NA	0.0005738	NA	NA	0.0004237	0.0005738	NA	0.0004417	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales"
"Candidatus Thiodiazotropha"	"G"	26604	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	0.0002869	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Sedimenticolaceae"
"Nitrosococcales"	"O"	26732	29	NA	NA	6	29	NA	1	4	NA	NA	4	1	NA	0.00832	NA	NA	0.002542	0.00832	NA	0.0004417	0.001621	NA	NA	0.001262	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Nitrosococcaceae"	"F"	26737	23	NA	NA	3	23	NA	1	1	NA	NA	NA	1	NA	0.006599	NA	NA	0.001271	0.006599	NA	0.0004417	0.0004053	NA	NA	NA	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales"
"wb1-P19"	"G"	26749	10	NA	NA	2	10	NA	1	NA	NA	NA	NA	NA	NA	0.002869	NA	NA	0.0008474	0.002869	NA	0.0004417	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Nitrosococcaceae"
"AqS1"	"G"	26739	3	NA	NA	1	3	NA	NA	1	NA	NA	NA	NA	NA	0.0008607	NA	NA	0.0004237	0.0008607	NA	NA	0.0004053	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Nitrosococcaceae"
"Methylophagaceae"	"F"	26733	6	NA	NA	3	6	NA	NA	3	NA	NA	4	NA	NA	0.001721	NA	NA	0.001271	0.001721	NA	NA	0.001216	NA	NA	0.001262	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales"
"Methylophaga"	"G"	26735	4	NA	NA	2	4	NA	NA	3	NA	NA	4	NA	NA	0.001262	NA	NA	0.0008474	0.001148	NA	NA	0.001216	NA	NA	0.001262	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Methylophagaceae"
"Marine Methylotrophic Group 3"	"G"	26734	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Methylophagaceae"
"Piscirickettsiales"	"O"	26799	76	NA	NA	5	76	NA	2	4	NA	1	6	1	NA	0.0218	NA	NA	0.002118	0.0218	NA	0.0008834	0.001621	NA	0.000394	0.001892	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Piscirickettsiaceae"	"F"	26800	76	NA	NA	5	76	NA	2	4	NA	1	6	1	NA	0.0218	NA	NA	0.002118	0.0218	NA	0.0008834	0.001621	NA	0.000394	0.001892	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Piscirickettsiales"
"Candidatus Endoecteinascidia"	"G"	26801	73	NA	NA	5	73	NA	2	4	NA	1	6	1	NA	0.02094	NA	NA	0.002118	0.02094	NA	0.0008834	0.001621	NA	0.000394	0.001892	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Piscirickettsiales>Piscirickettsiaceae"
"Cardiobacteriales"	"O"	3409	45	NA	NA	4	45	NA	8	5	NA	NA	2	6	NA	0.01291	NA	NA	0.001695	0.01291	NA	0.003534	0.002027	NA	NA	0.0006308	0.00274	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Cardiobacteriaceae"	"F"	3410	13	NA	NA	4	13	NA	4	NA	NA	NA	NA	1	NA	0.00373	NA	NA	0.001695	0.00373	NA	0.001767	NA	NA	NA	NA	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales"
"Cardiobacterium"	"G"	3411	3	NA	NA	3	3	NA	2	NA	NA	NA	NA	1	NA	0.001271	NA	NA	0.001271	0.0008607	NA	0.0008834	NA	NA	NA	NA	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae"
"uncultured"	"G"	3414	10	NA	NA	1	10	NA	1	NA	NA	NA	NA	NA	NA	0.002869	NA	NA	0.0004237	0.002869	NA	0.0004417	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae"
"Arenicellales"	"O"	11508	69	NA	NA	3	69	NA	2	3	NA	NA	7	1	NA	0.0198	NA	NA	0.001271	0.0198	NA	0.0008834	0.001216	NA	NA	0.002208	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Arenicellaceae"	"F"	11509	69	NA	NA	3	69	NA	2	3	NA	NA	7	1	NA	0.0198	NA	NA	0.001271	0.0198	NA	0.0008834	0.001216	NA	NA	0.002208	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales"
"uncultured"	"G"	14622	62	NA	NA	2	62	NA	2	3	NA	NA	4	1	NA	0.01779	NA	NA	0.0008474	0.01779	NA	0.0008834	0.001216	NA	NA	0.001262	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales>Arenicellaceae"
"HTCC5015"	"G"	26321	4	NA	NA	1	4	NA	NA	NA	NA	NA	2	NA	NA	0.001148	NA	NA	0.0004237	0.001148	NA	NA	NA	NA	NA	0.0006308	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales>Arenicellaceae"
"Halothiobacillales"	"O"	26668	6	NA	NA	3	6	NA	1	NA	NA	2	3	1	NA	0.001721	NA	NA	0.001271	0.001721	NA	0.0004417	NA	NA	0.0007881	0.0009462	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halothiobacillaceae"	"F"	26669	6	NA	NA	3	6	NA	1	NA	NA	2	3	1	NA	0.001721	NA	NA	0.001271	0.001721	NA	0.0004417	NA	NA	0.0007881	0.0009462	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Halothiobacillales"
"Thiovirga"	"G"	26673	4	NA	NA	2	4	NA	NA	NA	NA	1	2	NA	NA	0.001148	NA	NA	0.0008474	0.001148	NA	NA	NA	NA	0.000394	0.0006308	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Halothiobacillales>Halothiobacillaceae"
"Thiofaba"	"G"	26672	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Halothiobacillales>Halothiobacillaceae"
"SAR86 clade"	"O"	26808	20	NA	NA	3	20	NA	NA	NA	NA	2	4	3	NA	0.005738	NA	NA	0.001271	0.005738	NA	NA	NA	NA	0.0007881	0.001262	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"CCD24"	"O"	26591	15	NA	NA	3	14	NA	2	1	NA	NA	15	3	NA	0.004731	NA	NA	0.001271	0.004017	NA	0.0008834	0.0004053	NA	NA	0.004731	0.00137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"B2M28"	"O"	26324	21	NA	NA	3	21	NA	1	1	1	1	14	4	NA	0.006025	NA	NA	0.001271	0.006025	NA	0.0004417	0.0004053	0.0002616	0.000394	0.004416	0.001826	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"OM182 clade"	"O"	26750	2	NA	NA	2	2	NA	NA	1	NA	NA	2	1	NA	0.0008474	NA	NA	0.0008474	0.0005738	NA	NA	0.0004053	NA	NA	0.0006308	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Tenderiales"	"O"	26834	6	NA	NA	2	6	NA	NA	1	NA	1	NA	NA	NA	0.001721	NA	NA	0.0008474	0.001721	NA	NA	0.0004053	NA	0.000394	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Tenderiaceae"	"F"	26835	6	NA	NA	2	6	NA	NA	1	NA	1	NA	NA	NA	0.001721	NA	NA	0.0008474	0.001721	NA	NA	0.0004053	NA	0.000394	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Tenderiales"
"Candidatus Tenderia"	"G"	26836	6	NA	NA	2	6	NA	NA	1	NA	1	NA	NA	NA	0.001721	NA	NA	0.0008474	0.001721	NA	NA	0.0004053	NA	0.000394	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Tenderiales>Tenderiaceae"
"Thiohalorhabdales"	"O"	26837	20	NA	NA	2	20	NA	1	3	NA	NA	1	NA	NA	0.005738	NA	NA	0.0008474	0.005738	NA	0.0004417	0.001216	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiohalorhabdaceae"	"F"	26838	20	NA	NA	2	20	NA	1	3	NA	NA	1	NA	NA	0.005738	NA	NA	0.0008474	0.005738	NA	0.0004417	0.001216	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiohalorhabdales"
"uncultured"	"G"	26842	5	NA	NA	1	5	NA	NA	NA	NA	NA	1	NA	NA	0.001434	NA	NA	0.0004237	0.001434	NA	NA	NA	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiohalorhabdales>Thiohalorhabdaceae"
"Granulosicoccus"	"G"	26839	15	NA	NA	1	15	NA	1	3	NA	NA	NA	NA	NA	0.004303	NA	NA	0.0004237	0.004303	NA	0.0004417	0.001216	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiohalorhabdales>Thiohalorhabdaceae"
"EC3"	"O"	3467	6	NA	NA	2	6	NA	NA	NA	NA	1	1	NA	NA	0.001721	NA	NA	0.0008474	0.001721	NA	NA	NA	NA	0.000394	0.0003154	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"JTB23"	"O"	26683	9	NA	NA	2	9	NA	NA	NA	NA	NA	2	NA	NA	0.002582	NA	NA	0.0008474	0.002582	NA	NA	NA	NA	NA	0.0006308	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thioalkalispiraceae"	"F"	26638	12	NA	NA	1	12	NA	1	1	NA	NA	NA	NA	NA	0.003443	NA	NA	0.0004237	0.003443	NA	0.0004417	0.0004053	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales"
"Thioalkalispira"	"G"	26640	8	NA	NA	1	8	NA	NA	1	NA	NA	NA	NA	NA	0.002295	NA	NA	0.0004237	0.002295	NA	NA	0.0004053	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Thioalkalispiraceae"
"Ectothiorhodospiraceae"	"F"	26627	10	NA	NA	1	10	NA	2	3	NA	NA	1	1	NA	0.002869	NA	NA	0.0004237	0.002869	NA	0.0008834	0.001216	NA	NA	0.0003154	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales"
"uncultured"	"G"	26637	6	NA	NA	1	6	NA	NA	2	NA	NA	NA	1	NA	0.001721	NA	NA	0.0004237	0.001721	NA	NA	0.0008106	NA	NA	NA	0.0004566	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Ectothiorhodospiraceae"
"BD72BR169"	"O"	3404	2	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0008474	NA	NA	0.0008474	0.0002869	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"AT-s2-59"	"O"	26299	2	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005738	NA	NA	0.0004237	0.0005738	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"BD7-8"	"O"	26325	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004237	NA	NA	0.0004237	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"UBA10353 marine group"	"O"	26861	8	NA	NA	1	8	NA	6	3	NA	NA	3	NA	NA	0.00265	NA	NA	0.0004237	0.002295	NA	0.00265	0.001216	NA	NA	0.0009462	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
